Date,Open,High,Low,Close,Volume
20160104,41.080,41.190,40.340,40.680,2896132.000
20160105,40.730,40.950,40.340,40.550,2338858.000
20160106,40.240,40.990,40.050,40.720,1936853.000
20160107,40.040,40.150,38.810,39.005,3183135.000
20160108,39.220,39.705,38.460,38.590,2972902.000
20160111,38.710,38.900,37.410,37.930,2661182.000
20160112,38.430,38.580,37.646,38.200,1777038.000
20160113,38.350,38.460,36.715,36.870,3856074.000
20160114,36.940,37.880,36.550,37.600,2677655.000
20160115,36.670,37.560,36.550,37.120,2772984.000
20160119,37.640,37.930,36.790,37.210,2200169.000
20160120,36.680,37.610,36.120,37.260,2331499.000
20160121,37.350,37.830,36.810,37.220,1945759.000
20160122,37.910,38.180,37.560,37.970,1647683.000
20160125,37.400,38.030,37.400,37.610,1658589.000
20160126,37.890,37.960,37.360,37.520,1581281.000
20160127,37.390,37.920,36.810,37.060,1365581.000
20160128,37.270,37.270,36.010,36.110,3239345.000
20160129,36.440,37.690,36.240,37.650,2410632.000
20160201,37.370,37.945,37.000,37.680,2376998.000
20160202,37.180,37.550,36.950,37.080,1610444.000
20160203,37.270,37.370,36.290,37.210,2009929.000
20160204,37.150,37.790,36.970,37.425,2699772.000
20160205,37.260,37.310,35.830,36.035,4175159.000
20160208,35.610,35.780,34.390,34.800,3608805.000
20160209,34.170,35.770,34.150,35.370,3063057.000
20160210,35.630,36.730,35.530,35.860,2952123.000
20160211,35.120,35.610,34.935,35.330,2779195.000
20160212,35.840,36.230,35.520,36.220,3593071.000
20160216,36.720,37.170,36.400,37.080,2450500.000
20160217,35.220,38.130,34.750,37.870,5051125.000
20160218,37.730,37.960,37.090,37.190,1875191.000
20160219,36.980,37.600,36.850,37.440,2036652.000
20160222,37.880,38.190,37.780,38.020,1511997.000
20160223,37.640,37.960,36.950,37.180,1111409.000
20160224,36.650,37.500,36.470,37.470,1339522.000
20160225,37.620,37.710,36.950,37.620,1304129.000
20160226,37.750,37.920,37.430,37.580,778733.000
20160229,37.590,37.700,37.330,37.330,1717563.000
20160301,37.630,38.660,37.570,38.595,2619409.000
20160302,38.490,39.270,38.410,39.040,3454926.000
20160303,38.920,39.240,38.740,39.200,792616.000
20160304,39.140,39.580,39.020,39.340,933350.000
20160307,39.040,39.680,38.960,39.440,1135785.000
20160308,38.970,39.130,38.010,38.100,1624677.000
20160309,38.310,38.400,37.950,38.120,1493528.000
20160310,38.170,38.510,37.620,37.980,1499899.000
20160311,38.430,39.275,38.320,39.210,1314735.000
20160314,38.980,39.170,38.700,39.020,806496.000
20160315,38.580,38.720,38.080,38.300,921840.000
20160316,38.090,39.105,38.020,38.990,1850065.000
20160317,39.060,39.440,38.590,39.310,1687703.000
20160318,39.330,40.480,39.270,40.180,2054372.000
20160321,40.070,40.140,39.640,39.640,1912214.000
20160322,39.560,40.040,39.445,39.890,1305093.000
20160323,39.900,39.990,39.370,39.470,1422341.000
20160324,39.160,39.460,38.890,39.450,786809.000
