Date,Open,High,Low,Close,Volume
20160104,9.479,9.758,9.409,9.658,32229154.090
20160105,9.678,9.728,9.121,9.220,36919866.490
20160106,8.961,8.981,8.513,8.563,52143916.200
20160107,8.364,8.473,8.195,8.237,32709600.460
20160108,8.483,8.523,7.986,8.035,37332014.310
20160111,8.254,8.254,7.856,7.966,43270174.550
20160112,7.976,7.986,7.069,7.239,85733122.100
20160113,7.288,7.408,7.050,7.089,44321517.880
20160114,7.059,7.338,6.821,7.209,42770929.690
20160115,6.910,7.029,6.741,6.870,50054563.690
20160119,6.950,6.990,6.532,6.721,46782879.550
20160120,6.482,6.776,6.114,6.715,65166766.700
20160121,6.711,7.229,6.681,7.059,43336463.850
20160122,7.249,7.388,6.801,6.845,32032299.690
20160125,6.781,6.970,6.731,6.771,21090058.170
20160126,6.860,7.169,6.736,7.109,34638569.540
20160127,7.040,7.249,6.890,6.930,31938838.910
20160128,7.139,7.159,6.791,6.960,26246799.570
20160129,6.950,7.269,6.950,7.259,33454401.010
20160201,7.348,7.348,7.079,7.169,22343283.915
20160202,6.990,7.040,6.880,6.940,21560340.900
20160203,7.080,7.570,6.850,7.560,32092305.000
20160204,7.640,8.450,7.620,8.305,51899162.000
20160205,8.130,8.500,7.880,8.120,40170028.000
20160208,7.730,8.420,7.690,7.900,34101544.000
20160209,7.720,7.950,7.580,7.810,25627954.000
20160210,7.900,7.910,7.450,7.530,25896537.000
20160211,7.360,7.550,7.110,7.330,28511665.000
20160212,7.530,7.780,7.360,7.680,24761971.000
20160216,7.800,8.130,7.680,8.110,20914456.000
20160217,8.230,8.600,8.200,8.520,28173554.000
20160218,8.510,8.560,8.080,8.116,27268383.000
20160219,8.030,8.090,7.840,7.880,28241790.000
20160222,8.040,8.930,8.040,8.920,51278342.000
20160223,8.750,8.770,8.510,8.530,24949687.000
20160224,8.260,8.785,8.250,8.750,30197674.000
20160225,8.790,8.920,8.550,8.880,26413750.000
20160226,9.120,9.210,8.820,8.860,21271864.000
20160229,8.950,9.110,8.850,8.940,17335361.000
20160301,9.120,9.200,8.920,9.100,15469148.000
20160302,9.150,9.700,9.100,9.620,47378613.000
20160303,9.400,9.700,9.170,9.470,33331597.000
20160304,9.560,10.040,9.420,9.560,39480093.000
20160307,9.660,10.070,9.610,10.050,39809644.000
20160308,9.770,9.900,9.290,9.330,36204842.000
20160309,9.430,9.520,9.120,9.410,20392618.000
20160310,9.380,9.630,9.220,9.596,23749580.000
20160311,9.710,9.850,9.450,9.520,21821647.000
20160314,9.410,9.800,9.360,9.660,18702357.000
20160315,9.500,9.520,9.110,9.160,30250381.000
20160316,9.190,9.770,9.100,9.740,32417831.000
20160317,9.860,10.000,9.730,9.940,32173527.000
20160318,10.000,10.220,9.800,10.020,28709190.000
20160321,9.940,10.040,9.710,9.890,17602494.000
20160322,9.760,9.960,9.680,9.860,18203907.000
20160323,9.690,9.800,9.250,9.330,24039850.000
20160324,9.180,9.610,9.040,9.560,19833533.000
