Date,Open,High,Low,Close,Volume
20160104,40.978,41.238,40.190,40.789,11372040.720
20160105,41.068,41.377,39.841,40.410,10221784.540
20160106,39.941,41.587,39.891,41.118,11732344.660
20160107,40.908,41.407,39.572,40.330,10766044.460
20160108,40.829,41.247,40.150,40.250,8510052.940
20160111,40.390,41.088,39.791,40.968,13567362.640
20160112,40.998,41.985,40.370,41.876,11988707.860
20160113,42.055,42.624,39.552,39.991,12176866.220
20160114,40.120,40.669,38.754,40.440,11297415.300
20160115,39.073,39.781,38.266,38.654,18159617.800
20160119,39.502,39.672,38.106,38.754,9976368.380
20160120,38.425,39.742,36.102,38.954,15203476.920
20160121,38.824,39.891,37.916,39.682,9436504.800
20160122,39.891,40.609,39.462,40.051,7039569.510
20160125,39.911,40.051,38.714,38.774,9545523.340
20160126,38.615,39.642,38.335,39.542,8028750.920
20160127,40.111,40.759,39.373,39.582,10037555.590
20160128,39.522,39.682,37.557,38.026,16645300.710
20160129,37.528,38.979,36.499,38.874,18348000.810
20160201,38.904,39.831,38.525,39.263,11629823.100
20160202,38.764,38.864,36.899,36.929,12060107.560
20160203,37.278,37.508,35.658,37.398,12075653.320
20160204,37.238,38.495,36.600,38.116,8356046.500
20160205,37.627,38.385,36.422,36.640,9595228.570
20160208,36.080,36.160,34.760,35.540,11624063.000
20160209,34.930,36.750,34.920,36.190,10332789.000
20160210,36.600,37.640,36.500,37.120,7539127.000
20160211,36.470,37.220,36.170,36.490,6793496.000
20160212,36.920,37.980,36.420,37.820,8167462.000
20160216,38.190,38.770,37.530,38.610,6655294.000
20160217,38.950,39.830,38.870,39.340,8027130.000
20160218,39.360,39.680,38.960,39.540,9030910.000
20160219,39.140,40.070,39.040,39.760,10895186.000
20160222,40.100,40.930,40.070,40.840,9047458.000
20160223,40.500,40.810,40.170,40.380,6177856.000
20160224,40.020,40.830,39.390,40.660,5796184.000
20160225,40.760,41.380,40.410,41.360,6725436.000
20160226,41.500,41.600,40.380,40.870,6744563.000
20160229,40.770,41.340,40.550,41.010,5003893.000
20160301,41.420,42.020,41.060,41.830,7013055.000
20160302,41.510,41.800,41.290,41.595,7736156.000
20160303,41.520,42.240,41.230,41.870,8150988.000
20160304,42.170,42.170,41.420,41.630,8706029.000
20160307,41.310,42.230,40.900,42.130,6674593.000
20160308,41.300,41.420,40.050,40.770,7945390.000
20160309,40.740,41.720,40.520,41.650,7771436.000
20160310,41.610,42.010,40.910,41.630,5629215.000
20160311,41.890,42.500,41.720,42.470,5398743.000
20160314,42.310,42.700,42.120,42.580,4355575.000
20160315,42.300,42.487,41.980,42.110,4253226.000
20160316,41.820,42.430,41.590,42.320,4563399.000
20160317,42.310,42.320,41.820,42.100,5569271.000
20160318,42.310,43.530,41.750,43.430,9918528.000
20160321,43.320,43.780,43.250,43.470,4623998.000
20160322,41.830,43.020,41.830,42.770,6416053.000
20160323,43.020,43.020,41.580,41.920,9175305.000
20160324,41.910,41.950,40.190,40.490,11777876.000
