Date,Open,High,Low,Close,Volume
20160104,149.193,154.422,148.134,152.212,1646185.096
20160105,152.292,153.392,149.833,151.143,1057036.792
20160106,149.623,149.993,145.715,147.194,865499.607
20160107,144.745,149.404,143.076,148.784,1264663.518
20160108,148.974,149.393,144.816,145.485,909142.077
20160111,146.075,148.064,144.965,146.934,1079187.398
20160112,147.464,148.944,145.680,148.014,958030.481
20160113,148.284,148.834,141.706,142.146,1210509.845
20160114,142.126,142.946,139.107,141.257,1042716.521
20160115,138.138,144.655,137.608,144.195,1177316.491
20160119,145.035,146.387,142.846,144.565,1065940.474
20160120,142.526,145.215,139.237,143.286,581462.968
20160121,143.186,146.352,142.216,143.816,644541.818
20160122,144.885,145.895,142.536,144.375,852578.587
20160125,144.935,146.275,143.186,144.665,768679.685
20160126,145.385,152.652,144.705,151.413,1092226.120
20160127,151.093,154.002,150.123,151.473,948846.029
20160128,152.902,153.642,145.615,148.614,968664.470
20160129,149.813,152.172,148.124,152.023,1098512.930
20160201,152.582,156.281,150.623,154.771,812467.209
20160202,154.322,154.951,150.603,151.703,651951.671
20160203,151.523,152.742,145.925,147.949,1463227.655
20160204,147.404,148.384,145.425,147.724,1410823.533
20160205,146.665,147.484,143.386,143.776,1234659.032
20160208,142.716,143.076,136.008,141.307,1773589.142
20160209,141.097,143.726,139.077,141.447,1200442.261
20160210,141.077,143.466,138.358,138.358,2133737.961
20160211,136.988,142.716,131.540,138.398,2443499.283
20160212,139.487,141.346,137.068,140.717,872081.966
20160216,141.666,148.914,141.127,145.945,1189972.905
20160217,147.134,148.954,142.936,143.406,1346092.429
20160218,143.546,144.685,140.507,143.266,997730.481
20160219,143.466,145.035,141.296,143.496,898499.874
20160222,145.195,148.444,144.935,147.784,763083.642
20160223,148.384,151.283,147.314,147.454,610563.994
20160224,147.284,150.563,145.395,150.373,597588.031
20160225,150.743,151.433,146.994,150.008,611827.374
20160226,150.543,151.573,148.354,149.993,542464.294
20160229,149.943,151.113,148.246,148.394,634377.059
20160301,149.863,153.482,149.193,153.272,583637.799
20160302,152.382,153.762,151.263,152.112,622311.443
20160303,151.283,154.142,149.813,153.832,723447.668
20160304,154.012,154.212,151.113,152.312,654276.440
20160307,152.122,152.822,150.323,151.453,424965.814
20160308,150.533,151.663,149.114,149.623,880777.036
20160309,150.923,154.032,149.743,153.722,587482.267
20160310,153.742,156.231,153.482,156.061,703879.242
20160311,156.781,159.110,155.911,158.530,925094.070
20160314,156.781,160.079,156.781,159.230,634978.119
20160315,158.270,160.079,156.931,158.530,789155.429
20160316,158.460,160.160,157.020,158.960,457591.000
20160317,157.780,158.840,156.300,157.910,525321.000
20160318,158.270,158.720,156.660,157.540,609505.000
20160321,157.480,158.760,157.270,158.700,371733.000
20160322,158.490,159.270,157.420,158.120,360288.000
20160323,158.230,161.920,157.490,161.140,679058.000
20160324,160.990,162.090,159.810,161.750,674856.000
