Date,Open,High,Low,Close,Volume
20160104,13.840,14.280,13.720,14.280,2789031.000
20160105,14.330,14.370,14.030,14.220,2030716.000
20160106,14.010,14.320,13.950,14.260,5936552.000
20160107,14.060,14.310,13.950,13.970,4733996.000
20160108,14.470,15.070,14.240,14.260,7681435.000
20160111,14.300,14.510,13.930,14.060,2749842.000
20160112,14.160,14.230,13.820,14.010,2506574.000
20160113,14.020,14.120,13.100,13.510,5027635.000
20160114,13.540,13.615,13.230,13.400,4219780.000
20160115,13.130,13.415,12.790,13.400,4204798.000
20160119,13.510,13.870,13.510,13.780,4465565.000
20160120,13.620,13.730,13.060,13.530,3204252.000
20160121,13.610,14.065,13.580,13.800,2707688.000
20160122,13.920,14.110,13.910,13.940,2479884.000
20160125,13.890,13.940,13.720,13.770,1759533.000
20160126,13.860,14.090,13.834,14.050,2146413.000
20160127,14.020,14.295,13.920,13.970,2032020.000
20160128,14.090,14.240,13.640,13.830,1701339.000
20160129,13.840,14.070,13.690,14.020,1975247.000
20160201,13.920,14.240,13.920,14.110,1812091.000
20160202,14.010,14.130,13.760,13.865,1241750.000
20160203,13.930,14.010,13.480,13.920,1657550.000
20160204,13.830,14.070,13.830,14.010,1545791.000
20160205,13.990,14.060,13.720,13.720,1147757.000
20160208,13.590,13.705,13.200,13.300,2053674.000
20160209,13.110,13.440,12.630,12.750,3939193.000
20160210,12.880,13.075,12.660,12.830,1711559.000
20160211,12.520,12.690,12.140,12.300,2842040.000
20160212,12.420,12.680,12.340,12.630,1949149.000
20160216,12.710,12.805,12.540,12.585,1987678.000
20160217,12.720,13.270,12.640,12.965,2826576.000
20160218,12.970,13.110,12.940,12.980,1924430.000
20160219,12.950,13.030,12.850,12.920,1664866.000
20160222,13.000,13.390,12.980,13.350,1502697.000
20160223,13.280,13.500,13.280,13.325,1389216.000
20160224,13.160,13.360,13.040,13.340,1121511.000
20160225,13.350,13.555,13.330,13.490,1540800.000
20160226,13.590,13.607,13.350,13.550,1361146.000
20160229,13.530,13.860,13.471,13.700,1663470.000
20160301,13.800,13.900,13.630,13.850,2161578.000
20160302,13.850,14.050,13.800,13.950,1844596.000
20160303,13.930,14.170,13.890,13.925,2627344.000
20160304,13.940,14.330,13.930,14.040,1394960.000
20160307,14.000,14.160,14.000,14.040,1097165.000
20160308,14.000,14.350,14.000,14.220,2004780.000
20160309,14.250,14.490,14.100,14.370,1464544.000
20160310,14.440,14.460,13.990,14.120,781974.000
20160311,14.240,14.410,14.200,14.340,1255111.000
20160314,14.280,14.430,14.160,14.270,1628499.000
20160315,14.230,14.570,14.160,14.530,1457532.000
20160316,14.460,14.710,14.400,14.590,1272008.000
20160317,14.510,14.730,14.430,14.640,1378263.000
20160318,14.700,14.990,14.570,14.950,1676835.000
20160321,14.950,15.270,14.950,15.020,1912940.000
20160322,14.980,15.340,14.910,15.180,1160522.000
20160323,15.130,15.180,14.860,14.890,961422.000
20160324,14.790,15.150,14.700,15.040,1022266.000
