Date,Open,High,Low,Close,Volume
20160104,102.670,102.890,100.970,101.870,2349164.000
20160105,101.790,102.880,101.460,102.380,2232804.000
20160106,100.620,103.060,100.540,102.180,2897118.000
20160107,100.330,100.840,98.830,99.160,2948977.000
20160108,99.480,99.820,98.000,98.150,2009793.000
20160111,98.480,99.720,98.075,99.230,2498414.000
20160112,100.200,101.290,99.420,101.030,2598382.000
20160113,101.390,101.750,98.740,99.260,2606359.000
20160114,99.120,102.470,98.910,101.910,3960782.000
20160115,98.690,101.030,98.450,99.270,4761360.000
20160119,100.050,101.950,99.760,101.400,3083014.000
20160120,99.640,100.190,97.120,99.080,4920273.000
20160121,99.040,99.920,98.000,98.290,4258599.000
20160122,99.790,102.360,99.560,102.260,3281969.000
20160125,102.210,103.150,101.240,101.780,2731649.000
20160126,101.790,103.130,101.450,102.560,2694256.000
20160127,102.670,103.600,101.320,101.990,2688361.000
20160128,103.090,103.590,101.590,103.100,3198594.000
20160129,103.370,105.660,103.240,105.510,3958561.000
20160201,104.310,106.800,104.310,106.250,3362636.000
20160202,105.270,105.620,103.450,103.840,2716968.000
20160203,104.230,104.680,100.620,102.100,4338864.000
20160204,102.180,103.020,101.380,102.750,3715582.000
20160205,102.100,102.620,98.573,99.000,3630650.000
20160208,97.190,97.190,93.350,95.090,6347296.000
20160209,94.050,95.080,91.400,93.320,6443643.000
20160210,94.430,95.750,94.131,94.190,3537010.000
20160211,92.780,93.920,92.250,93.410,3936030.000
20160212,94.430,95.000,93.960,94.700,2775760.000
20160216,96.250,97.100,95.480,96.880,3367665.000
20160217,97.740,99.910,97.730,99.030,3343082.000
20160218,99.620,101.120,98.310,98.510,2380885.000
20160219,98.310,99.020,97.930,98.950,2704193.000
20160222,100.130,100.590,99.570,100.320,1710423.000
20160223,100.340,100.680,99.550,99.670,2074209.000
20160224,98.890,99.620,97.910,99.540,2111710.000
20160225,99.960,100.930,99.160,100.930,2595983.000
20160226,101.260,102.100,100.940,101.110,1874852.000
20160229,100.680,101.740,100.140,100.240,1726904.000
20160301,101.410,103.440,101.000,103.440,1942104.000
20160302,103.480,103.480,101.980,102.650,2216723.000
20160303,102.450,102.850,101.180,102.800,1674250.000
20160304,103.090,103.550,102.545,103.160,1388145.000
20160307,102.730,102.730,101.500,102.380,1643689.000
20160308,102.060,102.940,101.360,102.620,2109315.000
20160309,102.930,103.430,102.620,103.390,2139635.000
20160310,103.640,104.400,102.100,103.590,2202453.000
20160311,104.640,105.800,104.160,105.700,2754760.000
20160314,105.100,106.700,104.970,106.310,2494141.000
20160315,106.060,107.290,105.400,107.060,2204932.000
20160316,107.240,107.920,106.250,107.600,2123703.000
20160317,107.590,108.670,107.190,108.550,2426556.000
20160318,108.680,108.730,107.190,107.750,3651780.000
20160321,107.330,108.850,107.140,108.170,3237711.000
20160322,107.720,108.430,107.280,107.830,1771688.000
20160323,107.530,108.360,107.210,107.640,2929353.000
20160324,108.790,114.440,108.620,114.300,6000094.000
