Date,Open,High,Low,Close,Volume
20160104,91.720,92.000,90.530,91.960,2671117.000
20160105,92.010,92.850,91.320,92.330,1702833.000
20160106,91.080,91.500,90.240,91.020,1520364.000
20160107,89.380,91.400,88.710,89.100,2435662.000
20160108,89.720,90.000,87.630,87.840,2005655.000
20160111,88.070,89.810,87.840,89.390,2225785.000
20160112,89.790,91.055,88.407,89.820,2089621.000
20160113,90.590,91.450,87.990,88.300,3213020.000
20160114,88.920,90.300,87.310,89.800,3801184.000
20160115,87.080,89.360,86.820,89.180,3745748.000
20160119,90.290,91.400,88.360,89.180,3464405.000
20160120,87.880,88.760,84.670,87.950,3388386.000
20160121,88.640,89.930,87.140,87.990,3833822.000
20160122,89.540,89.930,88.480,89.620,4678857.000
20160125,88.390,89.260,86.630,86.780,3698363.000
20160126,87.300,87.580,85.470,86.890,2515619.000
20160127,87.270,87.830,84.510,84.840,2925336.000
20160128,85.590,85.740,82.700,84.530,5099331.000
20160129,85.550,89.080,85.120,88.920,3927618.000
20160201,88.400,90.238,87.890,89.600,2635477.000
20160202,89.280,89.280,87.590,87.940,2694832.000
20160203,88.910,89.250,86.670,87.990,2967095.000
20160204,87.820,87.970,85.780,86.360,3268977.000
20160205,85.500,85.500,77.830,79.210,10323659.000
20160208,77.400,77.595,71.270,74.930,12069271.000
20160209,74.760,77.190,73.040,73.850,6483083.000
20160210,74.990,77.620,73.897,75.530,6228357.000
20160211,74.800,75.530,73.580,74.940,4737960.000
20160212,76.040,77.360,75.400,76.680,3923507.000
20160216,77.130,79.230,77.130,78.870,4301049.000
20160217,79.740,82.080,78.530,81.830,4249142.000
20160218,82.310,82.820,80.135,80.530,3238959.000
20160219,80.320,80.940,79.510,80.870,3794831.000
20160222,82.090,84.160,82.020,83.800,3301240.000
20160223,83.390,84.490,82.860,83.070,2814432.000
20160224,82.220,83.530,80.930,83.420,2545809.000
20160225,84.590,86.720,84.150,86.680,3194435.000
20160226,87.110,87.540,84.100,86.600,3497829.000
20160229,86.010,86.200,85.090,85.140,2566420.000
20160301,85.920,88.395,84.590,88.370,3379324.000
20160302,88.300,88.550,87.260,88.390,2558397.000
20160303,88.490,88.500,85.850,87.210,2902353.000
20160304,87.680,87.940,85.580,86.170,2805741.000
20160307,85.580,85.990,83.970,85.110,2831089.000
20160308,84.250,85.960,83.170,84.350,2789476.000
20160309,84.780,85.290,83.240,85.260,2347002.000
20160310,85.060,86.520,83.590,84.850,2834930.000
20160311,85.200,86.230,84.690,86.000,2789852.000
20160314,86.110,87.750,85.837,87.010,3269989.000
20160315,86.400,87.190,86.210,86.830,2722488.000
20160316,86.700,88.480,86.400,88.210,3184918.000
20160317,88.660,90.210,87.250,90.020,5254515.000
20160318,98.000,98.000,93.110,93.420,12444626.000
20160321,92.690,93.270,91.330,92.500,4484835.000
20160322,92.060,93.420,92.050,92.560,3885100.000
20160323,92.620,92.935,91.930,92.160,2493128.000
20160324,91.500,92.740,91.500,92.520,2983679.000
