Date,Open,High,Low,Close,Volume
20160104,53.500,54.025,53.192,53.995,2291084.133
20160105,54.283,54.392,53.420,53.589,2489272.470
20160106,52.637,53.113,51.000,51.308,3561067.154
20160107,50.038,51.040,49.621,50.008,4804811.265
20160108,50.326,51.129,49.572,49.572,3535036.258
20160111,50.623,51.337,50.008,50.752,3273722.693
20160112,51.080,51.794,50.544,51.228,2347670.712
20160113,51.298,51.923,49.612,49.711,2080874.778
20160114,50.167,50.643,49.503,50.088,2935791.221
20160115,48.005,49.552,46.854,49.413,7991462.170
20160119,49.919,50.574,48.094,48.987,3437073.269
20160120,48.947,50.712,48.600,50.167,4690388.419
20160121,51.089,51.258,49.701,50.117,3732617.329
20160122,51.080,51.387,50.395,50.951,1622449.014
20160125,50.851,51.099,50.355,50.643,2500208.812
20160126,48.927,51.536,48.927,50.871,1940480.747
20160127,50.613,51.784,50.405,50.871,2472284.944
20160128,51.328,51.566,50.718,51.337,2585930.339
20160129,51.645,53.500,50.911,53.420,2775379.709
20160201,52.944,53.262,52.538,52.726,2036341.907
20160202,51.615,52.190,50.851,50.921,2624784.362
20160203,51.516,51.546,50.048,50.961,2158932.925
20160204,50.832,51.724,50.474,51.248,1645260.152
20160205,47.112,51.387,47.112,49.403,2244158.408
20160208,48.848,49.269,47.896,48.759,2814106.951
20160209,48.441,49.721,48.213,48.907,2853913.902
20160210,49.314,49.661,48.521,48.560,1784264.254
20160211,47.955,48.937,47.777,48.491,2189582.053
20160212,49.225,49.393,48.273,49.235,3526706.933
20160216,49.383,51.923,49.274,51.645,4006236.967
20160217,50.703,53.549,50.703,52.300,3651573.872
20160218,52.577,53.157,51.486,51.615,1932509.018
20160219,51.456,51.982,51.250,51.675,2198348.139
20160222,52.706,52.706,51.675,52.170,1568805.197
20160223,51.982,52.300,50.970,51.020,1648932.894
20160224,50.580,51.850,50.100,51.810,2437928.000
20160225,52.390,53.120,51.420,53.020,2131790.000
20160226,53.300,53.620,52.880,53.440,1612201.000
20160229,53.460,53.950,52.990,52.990,1555413.000
20160301,53.950,54.720,53.280,54.700,2041710.000
20160302,54.720,55.740,54.600,55.420,2241066.000
20160303,55.610,55.780,54.650,55.470,1959636.000
20160304,55.670,56.210,55.100,55.770,2193479.000
20160307,55.200,56.490,55.160,56.490,2245254.000
20160308,55.980,56.210,55.055,55.350,2488451.000
20160309,55.710,55.940,54.830,54.910,2089948.000
20160310,55.340,55.830,54.420,55.130,1561435.000
20160311,55.830,56.025,55.410,55.940,1624244.000
20160314,55.570,56.220,55.320,55.670,1201396.000
20160315,55.340,56.140,55.080,56.100,1791431.000
20160316,55.720,56.892,55.570,56.860,1591122.000
20160317,56.450,57.950,56.370,57.870,2269788.000
20160318,57.820,59.060,57.710,59.010,4045572.000
20160321,58.750,58.930,58.150,58.850,2465020.000
20160322,58.640,58.840,57.970,58.520,1657668.000
20160323,58.580,58.580,58.140,58.330,1568714.000
20160324,58.050,58.650,57.670,58.635,1600409.000
