Date,Open,High,Low,Close,Volume
20160104,35.863,35.863,35.080,35.526,3670491.094
20160105,35.496,35.942,35.090,35.912,3472413.884
20160106,35.397,35.506,34.931,35.060,4848309.127
20160107,34.594,34.773,34.020,34.208,4165605.410
20160108,34.446,34.783,34.000,34.079,3691172.826
20160111,34.228,34.416,33.633,33.851,5440918.386
20160112,34.248,34.347,33.465,33.970,3220425.383
20160113,34.030,34.238,33.118,33.158,4254744.048
20160114,33.118,33.371,32.464,33.048,5097673.680
20160115,32.127,32.325,30.878,31.215,8044417.130
20160119,31.651,31.760,30.016,30.214,7835017.290
20160120,29.977,31.423,29.590,31.007,8852628.260
20160121,30.977,32.186,30.918,31.631,5628929.200
20160122,32.226,33.068,32.196,32.920,5001885.722
20160125,32.603,32.672,32.068,32.127,5270246.510
20160126,32.583,33.346,32.196,33.326,4047184.975
20160127,33.197,34.148,33.118,33.445,4669521.026
20160128,33.851,34.634,33.673,34.386,4959316.386
20160129,34.545,35.224,34.436,35.001,5323514.706
20160201,34.456,35.318,34.000,35.120,5653723.670
20160202,33.217,33.296,31.988,32.068,9204968.880
20160203,32.266,33.495,32.176,33.128,7561316.980
20160204,33.059,34.376,33.039,33.940,6314608.630
20160205,34.129,34.208,33.618,33.762,4710405.835
20160208,34.069,34.416,32.751,32.999,4801374.284
20160209,33.138,33.376,32.266,33.276,5330302.228
20160210,33.306,33.762,32.850,32.890,3989279.518
20160211,32.700,32.830,31.500,31.630,6619178.000
20160212,31.690,32.480,31.300,32.430,4044470.000
20160216,32.910,33.850,32.850,33.630,3332728.000
20160217,33.850,34.120,33.300,33.380,3068755.000
20160218,33.400,33.990,33.240,33.900,3380372.000
20160219,33.660,33.780,32.310,32.650,4842048.000
20160222,32.890,33.895,32.800,33.780,4116811.000
20160223,33.770,34.420,33.370,33.780,3229457.000
20160224,33.550,33.910,33.070,33.830,2697798.000
20160225,34.040,34.740,33.750,34.620,3248504.000
20160226,34.720,35.110,34.500,34.790,3479203.000
20160229,34.790,35.410,34.550,34.950,3773622.000
20160301,35.130,35.620,34.560,35.480,3792809.000
20160302,35.280,35.910,35.190,35.820,2864790.000
20160303,36.170,36.860,35.740,36.830,3748345.000
20160304,36.900,37.990,36.900,37.650,4873281.000
20160307,37.170,37.290,36.850,37.150,3262884.000
20160308,37.030,37.270,35.570,36.040,3567383.000
20160309,36.280,36.450,35.800,36.060,2835812.000
20160310,36.110,36.350,35.350,35.770,3031104.000
20160311,36.170,36.625,36.100,36.600,2359780.000
20160314,36.400,36.890,36.190,36.710,2888991.000
20160315,36.300,36.670,36.140,36.560,2492512.000
20160316,36.380,37.590,36.380,37.460,3228855.000
20160317,37.510,38.760,37.460,38.190,3945552.000
20160318,38.190,38.960,37.910,38.070,4127684.000
20160321,37.850,38.280,37.720,38.160,2825403.000
20160322,37.900,37.950,37.550,37.615,1904652.000
20160323,37.480,37.600,36.550,36.585,3695318.000
20160324,36.300,36.730,35.830,36.480,3115133.000
