Date,Open,High,Low,Close,Volume
20160104,60.010,60.350,59.240,60.300,1916417.000
20160105,60.390,60.800,60.000,60.390,1201142.000
20160106,59.430,59.800,58.950,59.550,3123660.000
20160107,58.360,58.700,55.970,55.970,3561581.000
20160108,56.170,56.470,54.600,55.070,2073432.000
20160111,55.300,55.550,54.070,55.220,1919153.000
20160112,55.430,56.500,54.550,54.790,2263902.000
20160113,55.070,55.070,49.850,50.890,9006342.000
20160114,51.080,52.860,50.150,52.650,3900883.000
20160115,50.990,51.360,48.950,49.410,5520232.000
20160119,49.470,49.890,47.080,47.590,3351854.000
20160120,46.810,48.450,45.110,47.910,3450072.000
20160121,47.980,48.550,46.940,47.880,2029833.000
20160122,48.640,49.340,48.470,49.025,1695133.000
20160125,48.810,49.190,47.860,47.975,1563692.000
20160126,48.290,48.670,47.570,48.430,1948614.000
20160127,48.330,48.780,46.240,46.490,2971131.000
20160128,46.950,47.410,45.035,45.270,3001036.000
20160129,45.720,46.830,45.340,46.820,1915514.000
20160201,46.650,47.980,46.020,47.670,1952376.000
20160202,47.000,47.490,45.630,45.890,1669346.000
20160203,46.470,50.910,46.470,49.560,6504731.000
20160204,49.460,50.500,48.615,49.540,2188839.000
20160205,49.060,49.250,45.820,46.170,3305262.000
20160208,45.580,45.780,42.240,43.450,2791550.000
20160209,42.450,44.550,41.600,42.650,3008010.000
20160210,43.270,44.440,42.890,43.720,2377989.000
20160211,42.800,43.690,41.850,43.260,2384233.000
20160212,43.730,45.040,43.010,44.920,1739513.000
20160216,44.980,45.920,44.220,44.890,2408125.000
20160217,45.190,47.120,44.990,46.660,1704128.000
20160218,46.770,48.200,46.770,47.750,2671535.000
20160219,47.570,50.340,47.400,49.920,3580004.000
20160222,49.900,50.766,49.470,50.340,1858487.000
20160223,49.910,50.630,49.270,49.695,1889170.000
20160224,49.250,49.590,48.210,49.180,6457622.000
20160225,49.490,50.290,48.750,49.410,8303207.000
20160226,50.930,51.880,49.220,51.190,10622016.000
20160229,50.960,52.590,50.950,51.770,2649014.000
20160301,52.400,54.365,52.120,54.320,2717038.000
20160302,53.900,54.430,53.620,54.400,1354365.000
20160303,54.090,54.820,53.500,54.790,1270116.000
20160304,55.250,57.120,55.010,56.250,2688013.000
20160307,55.870,58.340,55.480,58.170,2497747.000
20160308,57.670,57.930,56.030,56.845,2208747.000
20160309,57.130,57.420,55.850,56.690,1985663.000
20160310,57.000,57.000,54.570,55.940,2288791.000
20160311,56.900,57.200,56.300,56.620,3143141.000
20160314,56.210,56.830,55.980,56.700,1864150.000
20160315,56.450,56.470,55.540,56.320,1433950.000
20160316,56.220,57.500,56.000,56.970,2113772.000
20160317,56.920,57.343,56.322,57.060,1452241.000
20160318,57.630,58.610,57.300,57.810,2487322.000
20160321,57.690,58.225,57.190,58.160,1246914.000
20160322,57.800,58.600,57.540,57.980,1062269.000
20160323,57.900,58.370,57.150,57.300,1389166.000
20160324,56.960,57.530,56.170,57.360,1056455.000
