Date,Open,High,Low,Close,Volume
20160104,32.197,32.752,31.869,32.167,1977120.039
20160105,32.276,32.584,31.720,32.127,1651354.461
20160106,31.552,31.760,30.857,31.095,1471925.472
20160107,30.718,31.413,30.480,30.658,1626606.969
20160108,30.748,31.006,29.944,29.993,1686477.034
20160111,30.122,30.311,29.457,29.666,1995383.863
20160112,29.974,30.053,28.723,29.209,2689103.194
20160113,29.438,29.894,29.180,29.438,3395356.528
20160114,29.537,30.281,29.060,30.142,2239821.381
20160115,29.477,29.715,28.316,28.634,2614944.243
20160119,28.912,29.338,28.197,28.663,2431968.993
20160120,28.127,28.723,26.927,28.524,2707379.741
20160121,28.485,29.308,28.217,28.386,2289321.745
20160122,28.931,29.239,28.654,29.110,2257803.401
20160125,29.110,29.310,28.780,28.840,2267777.000
20160126,28.850,29.330,28.730,29.160,1659954.000
20160127,29.110,29.450,28.640,28.840,1476071.000
20160128,29.200,29.550,28.475,28.580,1352655.000
20160129,28.790,29.600,28.790,29.570,1317685.000
20160201,29.340,29.930,28.960,29.590,2247361.000
20160202,27.580,27.650,24.220,24.930,11057948.000
20160203,25.720,27.610,25.630,26.880,6964305.000
20160204,26.670,27.420,26.510,26.970,2481434.000
20160205,26.820,28.430,26.820,27.970,4590583.000
20160208,27.500,27.880,26.260,27.000,2640240.000
20160209,26.690,28.020,26.640,27.390,3273849.000
20160210,27.520,28.165,27.290,27.340,1757956.000
20160211,26.870,27.150,25.990,26.360,1710614.000
20160212,26.710,27.100,26.400,26.870,1325710.000
20160216,40.620,41.300,39.450,39.660,61600061.000
20160217,39.750,40.070,39.600,39.605,17673540.000
20160218,39.750,39.900,39.680,39.790,8879540.000
20160219,39.830,40.000,39.720,40.000,7560524.000
20160222,40.120,40.240,39.980,40.030,6215655.000
20160223,40.020,40.160,39.930,39.960,4715690.000
20160224,39.900,40.120,39.860,40.100,2823638.000
20160225,40.130,40.470,40.050,40.290,3742871.000
20160226,40.300,40.600,40.300,40.410,3092404.000
20160229,40.400,40.520,40.350,40.360,2174956.000
20160301,40.440,40.740,40.430,40.735,2048955.000
20160302,40.620,40.800,40.510,40.520,2209448.000
20160303,40.510,40.750,40.330,40.610,2686685.000
20160304,40.570,40.905,40.510,40.845,1806440.000
20160307,40.790,41.150,40.780,40.965,2504707.000
20160308,40.870,40.950,40.600,40.680,3463627.000
20160309,40.740,40.770,40.610,40.660,1961426.000
20160310,40.810,41.190,40.760,41.070,5223876.000
20160311,41.100,41.430,41.030,41.380,2021077.000
20160314,41.170,41.420,41.100,41.350,1810550.000
20160315,41.220,41.350,41.020,41.090,2452168.000
20160316,41.110,41.330,41.110,41.170,1429945.000
20160317,41.150,41.360,41.150,41.220,1806089.000
20160318,41.280,41.290,41.050,41.080,2650764.000
20160321,41.160,41.220,41.080,41.100,2114216.000
20160322,41.100,41.150,40.910,40.920,2464563.000
20160323,40.950,41.200,40.930,40.950,2140749.000
20160324,40.970,41.150,40.950,41.100,1183809.000
