Date,Open,High,Low,Close,Volume
20160104,42.743,42.832,42.188,42.634,2430545.003
20160105,42.634,43.199,41.970,43.159,2174115.556
20160106,42.852,43.535,42.634,43.426,1846887.164
20160107,43.159,43.679,43.010,43.456,3017759.172
20160108,43.337,43.654,43.040,43.109,2012546.552
20160111,43.149,43.456,43.020,43.129,2054494.566
20160112,43.080,43.248,42.594,42.990,1548809.617
20160113,43.149,43.357,42.663,42.733,2010295.612
20160114,42.673,43.575,42.475,43.298,1370343.049
20160115,42.733,43.308,42.525,43.109,1721245.313
20160119,43.535,43.605,42.753,43.060,3729865.604
20160120,43.000,43.109,41.127,41.950,3379374.563
20160121,41.950,42.138,41.385,41.732,1945040.262
20160122,41.970,42.629,41.702,42.574,1691848.956
20160125,42.683,42.703,42.156,42.297,1712491.392
20160126,42.376,43.030,42.168,42.376,1370543.854
20160127,42.396,43.066,42.148,42.812,1712313.572
20160128,43.080,43.704,42.366,43.466,1453002.129
20160129,43.902,44.566,43.694,44.517,1681032.835
20160201,44.328,45.399,44.279,45.230,1693951.929
20160202,45.121,46.083,44.923,45.954,2392144.057
20160203,46.350,47.470,46.310,46.915,4389024.088
20160204,46.736,47.061,45.845,46.092,2865738.901
20160205,45.765,46.320,45.131,46.063,2628119.281
20160208,46.588,46.588,45.141,45.760,2030637.356
20160209,45.518,46.083,45.428,45.666,1911566.940
20160210,45.944,46.063,44.933,45.785,2459366.819
20160211,45.745,46.013,44.928,44.953,1410590.451
20160212,44.903,45.300,44.437,44.824,967751.891
20160216,44.844,45.210,44.507,45.161,1817688.789
20160217,45.141,45.230,44.784,44.913,1491691.624
20160218,44.844,46.172,44.755,45.835,3536108.908
20160219,45.399,46.271,44.695,45.191,3542275.977
20160222,45.151,45.944,45.042,45.805,2048247.212
20160223,45.528,46.211,45.342,46.097,1450061.020
20160224,46.112,47.133,45.904,47.054,2689220.008
20160225,47.232,47.787,47.103,47.708,1850252.613
20160226,47.410,47.539,46.053,46.083,2522303.214
20160229,45.983,47.014,45.874,46.538,2023903.708
20160301,46.766,47.113,46.112,46.519,1844031.857
20160302,46.211,46.568,45.141,46.538,1817455.815
20160303,46.558,46.667,45.815,46.568,1346383.853
20160304,46.360,47.172,46.102,46.905,1734459.431
20160307,46.830,47.440,46.700,47.120,1307497.000
20160308,47.150,47.890,46.940,47.860,1412320.000
20160309,47.800,48.405,47.770,48.260,1241482.000
20160310,48.200,48.360,47.390,47.940,2284596.000
20160311,47.970,48.500,47.870,48.220,1465618.000
20160314,47.970,48.410,47.890,48.320,1072972.000
20160315,48.190,48.530,47.960,48.170,1547845.000
20160316,48.060,48.600,47.540,48.440,1647725.000
20160317,48.320,49.030,48.230,48.900,1265395.000
20160318,49.030,49.420,48.420,48.970,2058624.000
20160321,48.890,49.085,48.160,48.790,1149613.000
20160322,48.850,49.140,48.520,48.860,1523917.000
20160323,48.770,49.170,48.520,48.970,1417573.000
20160324,48.820,49.280,48.680,49.240,993100.000
