Date,Open,High,Low,Close,Volume
20160104,58.371,58.758,57.785,58.748,2081682.286
20160105,58.748,59.205,58.321,58.698,1785784.855
20160106,57.914,58.192,57.537,57.795,1691256.804
20160107,56.713,57.581,56.504,56.802,2170834.272
20160108,57.259,57.378,56.206,56.286,1953664.328
20160111,56.613,56.891,55.869,56.653,1891715.737
20160112,57.219,57.527,56.613,57.398,2098146.292
20160113,57.904,58.420,56.246,56.484,2543170.195
20160114,56.613,57.487,56.107,56.891,2459610.183
20160115,55.620,56.623,55.481,56.216,3132508.566
20160119,56.673,56.881,55.710,56.077,2288538.709
20160120,55.114,55.779,54.161,55.164,2802162.569
20160121,55.342,56.057,54.955,55.412,2220344.403
20160122,56.315,56.911,56.147,56.861,1916689.381
20160125,56.832,57.219,56.032,56.147,2625926.142
20160126,56.623,57.398,56.534,57.110,1457740.942
20160127,57.001,57.854,56.494,57.050,2358752.936
20160128,57.477,58.073,57.001,57.884,1916533.599
20160129,57.566,57.686,56.147,57.507,4131377.682
20160201,56.951,57.149,55.908,56.067,5329819.720
20160202,56.325,58.202,56.037,56.852,4604495.338
20160203,57.983,58.410,55.670,56.911,2323604.862
20160204,56.732,57.696,56.554,57.606,2097387.244
20160205,57.556,58.073,57.348,57.775,2087049.638
20160208,56.981,57.785,56.633,57.576,2427272.533
20160209,57.100,57.945,56.643,57.527,2491967.589
20160210,57.884,58.440,57.020,57.070,2106210.440
20160211,55.610,56.600,55.230,55.600,2815447.000
20160212,56.520,57.380,56.260,57.310,2239281.000
20160216,58.100,58.360,57.350,58.135,2005856.000
20160217,58.730,59.370,58.700,59.065,1938423.000
20160218,59.240,59.415,58.810,59.180,1767812.000
20160219,58.980,59.350,58.540,59.320,2086420.000
20160222,59.810,60.060,59.430,59.710,1727268.000
20160223,59.640,59.830,59.250,59.380,1439311.000
20160224,58.730,59.815,58.460,59.630,1477252.000
20160225,59.720,60.350,59.150,60.340,1588718.000
20160226,60.580,60.770,60.020,60.170,1935283.000
20160229,60.180,60.440,59.520,59.520,1612122.000
20160301,59.920,61.160,59.920,61.060,1985624.000
20160302,61.020,61.450,60.760,61.420,1967208.000
20160303,61.260,61.390,60.750,60.980,2215295.000
20160304,61.230,61.370,60.690,61.020,1922969.000
20160307,60.700,60.980,60.370,60.530,2116696.000
20160308,60.110,60.580,59.320,60.070,2624593.000
20160309,60.430,60.770,59.900,60.400,2393808.000
20160310,60.530,61.020,59.870,60.370,1704262.000
20160311,61.120,62.350,60.950,62.270,2241576.000
20160314,61.840,62.090,61.510,61.630,1804332.000
20160315,61.230,61.660,61.050,61.550,1632089.000
20160316,61.450,62.620,61.230,62.460,2489579.000
20160317,62.330,63.780,61.860,63.390,2519356.000
20160318,63.660,63.950,63.010,63.520,2111545.000
20160321,63.250,63.685,63.120,63.260,1361929.000
20160322,63.060,63.730,62.821,63.340,1557448.000
20160323,63.460,63.670,63.190,63.390,1779456.000
20160324,62.940,62.940,62.340,62.690,1529748.000
