Date,Open,High,Low,Close,Volume
20160104,306.560,309.980,305.100,307.290,2670245.000
20160105,307.890,310.898,306.890,308.600,1887831.000
20160106,304.750,307.410,302.020,303.720,2577264.000
20160107,299.840,306.090,299.030,302.750,2779589.000
20160108,304.560,305.970,298.420,299.030,2323292.000
20160111,300.220,300.500,293.510,299.370,2699137.000
20160112,301.360,302.370,293.470,296.050,2340069.000
20160113,297.640,299.570,282.650,287.190,3356015.000
20160114,287.040,300.680,285.992,298.810,2917254.000
20160115,290.740,296.137,289.070,295.070,3114440.000
20160119,298.210,300.780,288.840,292.050,2623078.000
20160120,286.350,298.770,283.000,293.310,2779193.000
20160121,294.570,301.410,292.000,295.680,2229472.000
20160122,300.950,302.000,295.315,298.000,1893139.000
20160125,298.140,298.980,293.020,296.580,1995325.000
20160126,296.340,297.370,292.660,294.400,1652087.000
20160127,293.750,296.030,288.180,290.310,1905657.000
20160128,291.100,291.740,278.350,281.590,3651302.000
20160129,284.360,286.710,278.910,283.360,3118015.000
20160201,283.400,284.510,277.790,282.270,2053124.000
20160202,278.880,284.960,278.050,279.480,1871202.000
20160203,280.600,282.900,274.470,278.490,2179161.000
20160204,275.380,277.030,267.450,272.630,3642706.000
20160205,270.830,277.680,270.520,273.700,2246372.000
20160208,269.680,272.660,261.590,266.100,3086148.000
20160209,263.080,274.960,262.480,272.750,2729846.000
20160210,274.050,282.320,274.050,279.360,2796648.000
20160211,273.460,277.450,271.829,274.440,2153091.000
20160212,277.300,280.000,272.230,279.680,2368993.000
20160216,282.650,285.000,279.240,284.200,1885354.000
20160217,287.000,288.580,282.750,283.170,2574116.000
20160218,280.590,285.290,276.710,277.790,2368582.000
20160219,278.700,279.750,273.220,275.200,3296457.000
20160222,279.560,286.690,279.560,285.600,2643237.000
20160223,285.520,288.840,283.630,286.640,2230198.000
20160224,285.480,286.610,281.890,284.780,2137252.000
20160225,285.890,297.180,285.010,296.340,3639030.000
20160226,299.120,301.320,296.140,298.115,3140855.000
20160229,296.250,297.800,290.050,290.050,1958414.000
20160301,293.150,295.700,290.250,295.370,2043389.000
20160302,295.340,296.700,290.213,292.480,2156627.000
20160303,291.000,293.210,286.100,289.800,2241140.000
20160304,289.140,289.510,285.530,288.190,2184130.000
20160307,285.890,288.890,283.010,288.170,2497720.000
20160308,287.980,288.600,284.400,284.430,1389514.000
20160309,288.000,290.000,286.250,289.940,2312990.000
20160310,292.490,293.750,287.540,289.370,2030636.000
20160311,290.530,299.120,290.215,298.710,2254019.000
20160314,297.500,297.800,291.600,293.370,2034482.000
20160315,290.000,290.480,281.250,283.000,4217099.000
20160316,283.000,283.570,269.680,272.920,7564866.000
20160317,273.350,276.090,265.600,272.700,4994340.000
20160318,274.020,274.730,267.280,268.400,5387103.000
20160321,268.800,275.810,268.585,274.610,2299887.000
20160322,273.610,282.450,271.790,277.960,2931464.000
20160323,276.090,282.590,276.010,281.480,2955370.000
20160324,279.770,281.280,278.050,279.460,2048891.000
