Date,Open,High,Low,Close,Volume
20160104,39.114,39.303,38.817,39.293,956016.649
20160105,39.421,40.472,39.293,40.303,1584961.011
20160106,40.006,40.323,39.649,39.847,959628.781
20160107,39.402,39.739,39.303,39.610,1396424.391
20160108,39.659,39.808,38.767,38.837,691385.256
20160111,38.936,39.342,38.470,39.114,1082407.871
20160112,39.312,39.362,38.510,38.837,1116488.155
20160113,38.847,39.134,38.054,38.093,1631841.242
20160114,38.212,38.450,37.420,37.449,1712272.434
20160115,36.885,37.598,36.676,37.469,1658797.422
20160119,37.816,38.103,37.630,37.885,1562357.166
20160120,37.677,37.846,36.290,36.617,2132388.763
20160121,36.825,37.132,36.181,36.597,1526263.785
20160122,36.944,37.618,36.815,37.420,755391.155
20160125,37.380,37.895,37.152,37.330,1166730.169
20160126,37.439,38.381,37.325,38.371,897575.816
20160127,38.341,38.341,37.648,37.885,1262848.309
20160128,37.757,38.510,37.459,37.757,1802995.244
20160129,38.173,38.876,37.905,38.817,1741850.024
20160201,38.520,39.689,38.331,39.263,1557116.950
20160202,39.223,39.332,38.629,38.797,1430427.572
20160203,38.956,39.303,38.510,39.243,1433576.133
20160204,39.015,39.610,38.658,39.312,1394587.924
20160205,38.510,39.005,36.493,36.666,3192587.162
20160208,36.617,36.756,34.655,35.279,2688004.237
20160209,34.922,35.497,34.754,35.140,1790680.348
20160210,35.358,36.632,35.289,35.993,1564133.049
20160211,35.339,35.715,35.150,35.448,1374433.187
20160212,35.685,35.794,35.140,35.725,1595485.692
20160216,36.032,36.320,35.675,36.280,1396136.821
20160217,36.520,36.780,36.040,36.250,1926859.000
20160218,36.230,36.470,36.000,36.350,1430319.000
20160219,36.280,36.490,35.980,36.180,2013500.000
20160222,36.330,36.880,36.290,36.450,1582999.000
20160223,36.270,37.000,36.090,36.190,1522246.000
20160224,36.120,36.430,35.455,36.050,1702485.000
20160225,36.250,36.770,36.250,36.620,1338705.000
20160226,36.650,36.780,36.390,36.480,909356.000
20160229,36.400,37.150,36.340,36.610,1227516.000
20160301,36.910,37.885,36.590,37.870,1001965.000
20160302,37.700,38.330,37.635,38.320,864988.000
20160303,38.400,38.590,37.950,38.570,639982.000
20160304,38.540,38.620,38.170,38.530,581761.000
20160307,38.270,38.630,38.230,38.590,659941.000
20160308,38.610,38.710,38.240,38.300,675792.000
20160309,38.360,38.880,38.040,38.500,634291.000
20160310,38.760,38.920,38.050,38.460,587526.000
20160311,38.920,39.300,38.600,39.270,587934.000
20160314,39.170,39.590,38.880,39.130,467455.000
20160315,38.950,39.320,38.890,39.270,396227.000
20160316,39.100,39.710,38.890,39.665,490260.000
20160317,39.800,40.680,39.550,40.530,620629.000
20160318,40.550,40.860,40.240,40.270,1114076.000
20160321,40.190,40.530,40.110,40.280,909254.000
20160322,40.130,40.660,39.955,40.450,1141092.000
20160323,40.380,40.710,40.250,40.350,823547.000
20160324,40.260,40.440,39.940,40.380,682301.000
