Date,Open,High,Low,Close,Volume
20160104,78.063,78.838,77.130,77.954,665446.210
20160105,77.964,79.870,77.964,79.294,466290.861
20160106,78.302,78.818,77.170,78.252,666813.843
20160107,76.713,78.093,76.306,76.475,554229.515
20160108,77.170,77.746,75.412,75.531,781253.181
20160111,76.624,77.110,75.948,76.862,748203.098
20160112,77.209,77.438,76.425,77.259,435940.892
20160113,78.004,78.629,77.173,77.904,841868.415
20160114,78.014,79.364,77.140,78.788,816146.320
20160115,77.388,78.153,76.902,77.716,526317.992
20160119,78.560,79.046,77.527,77.974,943223.115
20160120,77.199,77.577,75.154,76.107,580967.914
20160121,76.216,77.478,76.117,76.663,503883.143
20160122,77.646,79.116,77.398,78.927,558581.477
20160125,78.858,79.175,77.447,77.507,580521.710
20160126,77.785,79.285,77.626,78.649,499806.223
20160127,78.570,79.841,77.944,78.371,510555.216
20160128,78.828,79.404,78.401,78.887,490660.340
20160129,79.235,80.744,79.185,80.734,403598.948
20160201,80.278,80.913,80.034,80.377,568244.919
20160202,79.255,79.533,78.441,78.778,524882.835
20160203,79.185,79.573,77.656,78.868,495510.843
20160204,78.560,79.086,77.468,78.063,533930.924
20160205,78.272,79.036,77.617,77.934,477280.796
20160208,76.792,77.011,74.975,75.660,817862.469
20160209,74.509,76.414,74.379,75.988,779724.489
20160210,72.284,72.284,63.909,65.761,2872704.088
20160211,64.520,67.519,64.153,66.466,1925144.270
20160212,66.704,67.628,65.940,66.605,893974.352
20160216,66.595,67.211,65.980,66.744,710143.765
20160217,67.558,69.137,67.449,68.750,799439.024
20160218,68.641,68.735,67.611,67.945,871966.605
20160219,67.945,69.842,67.657,69.812,920399.577
20160222,70.319,70.706,69.772,70.090,625688.540
20160223,69.772,70.587,69.524,69.663,717264.061
20160224,69.345,70.587,68.889,70.110,647236.251
20160225,70.160,72.520,70.050,72.480,736494.000
20160226,72.620,73.410,72.310,72.730,578260.000
20160229,72.510,72.840,71.150,71.150,623189.000
20160301,71.720,73.600,71.630,73.360,758452.000
20160302,72.970,73.980,72.300,73.280,817831.000
20160303,73.270,74.320,72.840,74.150,715746.000
20160304,74.320,74.810,73.620,74.130,711092.000
20160307,73.740,74.110,71.970,73.470,872424.000
20160308,72.650,75.560,72.380,75.210,921945.000
20160309,75.320,76.800,75.030,76.630,969020.000
20160310,76.840,77.470,75.920,76.790,758928.000
20160311,77.610,77.980,77.031,77.610,601884.000
20160314,77.210,77.860,77.130,77.440,509132.000
20160315,77.120,78.720,76.560,78.680,622413.000
20160316,78.530,78.800,77.750,77.940,599799.000
20160317,77.790,78.860,77.320,78.510,535590.000
20160318,78.700,78.950,77.720,78.010,713229.000
20160321,78.020,78.920,77.990,78.360,511196.000
20160322,77.640,79.260,77.590,78.610,398651.000
20160323,78.700,78.880,77.900,77.960,546832.000
20160324,77.670,77.910,76.410,77.180,583913.000
