Date,Open,High,Low,Close,Volume
20160104,60.566,60.665,59.611,60.357,3011106.003
20160105,60.397,60.655,60.078,60.227,2673540.198
20160106,59.481,59.889,59.292,59.561,2555207.064
20160107,58.486,59.352,58.009,58.138,3691442.442
20160108,58.496,58.646,57.840,57.919,2684025.716
20160111,58.089,58.367,57.283,57.701,2848398.280
20160112,58.128,58.437,57.512,58.357,2704448.745
20160113,58.516,59.044,57.522,57.621,4027721.758
20160114,57.671,58.874,57.671,58.118,2937866.607
20160115,56.706,58.258,56.487,57.820,4664444.462
20160119,58.715,59.044,57.760,58.148,2916836.409
20160120,57.203,58.178,56.845,57.691,4487563.710
20160121,57.910,58.357,57.522,57.830,3672657.330
20160122,58.606,58.695,57.890,58.228,2571626.755
20160125,58.009,58.168,57.323,57.372,3331114.620
20160126,57.750,58.377,57.581,57.870,1882863.999
20160127,57.880,59.069,57.671,58.118,2770581.464
20160128,58.526,59.191,58.118,58.914,3072221.565
20160129,59.372,60.297,59.123,60.277,3032583.180
20160201,59.830,60.516,59.511,60.218,2337225.720
20160202,59.700,60.188,59.452,59.670,2312309.990
20160203,59.979,59.989,57.989,59.322,4476667.080
20160204,60.163,61.879,60.163,61.725,5262758.590
20160205,61.770,63.192,61.770,63.023,4333147.890
20160208,62.625,63.212,62.033,63.023,2815061.060
20160209,62.486,62.943,62.128,62.695,3349819.378
20160210,62.943,63.610,62.565,62.665,2874848.013
20160211,61.521,62.332,61.392,61.988,2831835.495
20160212,62.695,63.978,62.535,63.580,3323331.944
20160216,64.137,64.386,63.511,64.227,3173713.539
20160217,64.356,64.953,64.356,64.684,3132189.183
20160218,64.575,64.665,63.739,63.968,3744954.040
20160219,63.560,64.107,63.471,63.660,3088404.965
20160222,64.167,64.266,63.866,64.107,2273813.107
20160223,63.978,63.978,63.232,63.411,1835117.780
20160224,63.023,63.794,62.456,63.600,2139561.097
20160225,63.920,64.440,63.720,64.420,1753696.000
20160226,64.530,64.720,64.200,64.300,2027717.000
20160229,64.120,64.310,63.450,63.460,1705928.000
20160301,63.840,64.810,63.590,64.810,1883658.000
20160302,64.730,65.420,64.640,65.400,2033061.000
20160303,65.400,65.470,65.000,65.320,1819232.000
20160304,65.300,65.590,64.850,65.360,1441352.000
20160307,64.810,65.320,64.750,65.020,1419320.000
20160308,64.760,65.035,64.530,64.590,1581559.000
20160309,64.790,64.920,64.330,64.530,1381938.000
20160310,64.590,65.020,63.730,64.250,2798151.000
20160311,64.930,65.718,64.710,65.500,2053177.000
20160314,65.190,65.410,64.530,64.940,1576421.000
20160315,64.510,66.055,64.380,65.930,2221635.000
20160316,65.720,66.530,65.470,66.290,2000100.000
20160317,66.330,67.450,66.070,67.220,1890151.000
20160318,67.400,67.760,66.660,67.230,2247291.000
20160321,66.930,67.190,66.590,66.830,1161740.000
20160322,66.900,67.240,66.600,66.920,1312493.000
20160323,66.910,67.010,66.510,66.670,1784338.000
20160324,66.470,66.500,65.940,66.180,1242273.000
