Date,Open,High,Low,Close,Volume
20160104,64.758,64.768,63.271,64.419,717594.336
20160105,64.448,65.277,63.984,64.299,456021.190
20160106,63.500,63.780,62.223,62.642,450427.552
20160107,61.514,62.173,60.636,60.865,575982.850
20160108,61.185,61.504,59.498,59.657,598225.560
20160111,59.907,60.331,58.869,59.348,535349.322
20160112,59.727,60.321,59.198,60.007,479855.021
20160113,60.416,60.576,58.550,58.719,474320.536
20160114,59.688,60.775,58.929,60.097,859339.084
20160115,58.190,60.556,57.472,58.570,1139419.944
20160119,59.937,60.097,57.172,57.891,941800.058
20160120,57.442,57.941,55.396,57.322,1304500.636
20160121,57.332,57.332,55.655,57.082,1113506.310
20160122,58.041,60.012,58.021,59.857,1014493.876
20160125,59.578,60.236,58.719,59.079,1048174.455
20160126,58.929,60.007,58.729,59.847,586573.776
20160127,59.568,60.476,59.258,59.638,676211.473
20160128,59.947,60.057,58.649,59.099,634301.552
20160129,59.418,60.536,59.029,60.476,551945.600
20160201,59.887,60.586,59.418,60.306,889563.979
20160202,59.837,60.047,58.200,58.590,1066393.482
20160203,59.278,59.388,57.591,59.298,825389.202
20160204,59.208,60.855,59.104,59.688,498239.515
20160205,59.069,60.236,55.905,56.114,1515370.678
20160208,55.276,55.475,52.850,53.659,2060386.109
20160209,53.230,54.847,53.090,54.198,1280249.762
20160210,54.707,56.414,54.647,54.767,1187887.319
20160211,56.084,58.662,54.347,56.613,2327800.234
20160212,57.981,58.290,57.062,57.392,1613791.747
20160216,58.270,58.699,56.773,58.370,1096664.608
20160217,58.789,59.428,58.304,58.699,1082082.163
20160218,58.570,59.288,58.270,58.470,900298.133
20160219,58.390,58.689,57.931,58.620,1132284.022
20160222,59.338,61.314,59.049,60.955,824599.493
20160223,60.686,61.883,60.636,60.945,694739.158
20160224,60.336,62.652,59.987,62.512,912239.318
20160225,62.602,63.750,62.063,63.670,869901.876
20160226,63.880,64.299,63.011,63.740,707476.273
20160229,63.800,64.119,62.822,62.882,986420.274
20160301,63.460,64.798,63.271,64.728,1088459.159
20160302,64.469,64.858,63.880,64.498,618827.508
20160303,64.448,64.858,64.099,64.718,649541.280
20160304,64.708,64.878,63.720,63.830,759606.362
20160307,63.470,63.850,62.861,63.361,879810.547
20160308,62.961,63.261,62.312,62.842,919647.011
20160309,63.311,63.580,62.752,63.231,449278.482
20160310,63.430,63.989,62.512,63.001,549405.876
20160311,63.660,63.840,63.341,63.650,371589.188
20160314,63.780,64.470,63.115,64.170,469199.000
20160315,63.660,64.150,63.410,63.620,417237.000
20160316,63.340,64.100,63.010,63.760,428296.000
20160317,63.630,64.520,63.200,64.360,537489.000
20160318,64.680,65.380,64.460,64.570,583240.000
20160321,64.260,64.692,63.960,64.490,566220.000
20160322,64.160,64.460,63.935,64.220,440062.000
20160323,64.070,64.220,63.220,63.340,420195.000
20160324,63.230,63.380,62.690,63.150,384737.000
