Date,Open,High,Low,Close,Volume
20160104,185.760,187.070,182.490,184.560,1399749.000
20160105,185.360,187.650,184.000,184.830,950080.000
20160106,183.540,186.950,182.566,184.070,1096217.000
20160107,180.850,181.130,174.370,174.370,1804798.000
20160108,175.040,175.770,167.760,168.130,1571479.000
20160111,169.600,169.600,158.940,161.650,1743664.000
20160112,162.990,167.340,160.570,166.130,1320390.000
20160113,166.610,167.030,156.740,157.920,1392328.000
20160114,158.390,169.840,155.280,167.290,2398810.000
20160115,156.270,163.880,155.890,158.680,2321291.000
20160119,162.660,163.710,152.230,156.750,2211812.000
20160120,153.900,162.680,149.630,159.890,2821136.000
20160121,159.680,161.450,155.275,155.450,1671904.000
20160122,158.690,159.480,155.380,159.250,1032167.000
20160125,158.650,160.150,154.190,154.540,1153426.000
20160126,155.130,156.320,150.060,152.650,1449311.000
20160127,152.960,157.370,149.200,151.120,2026473.000
20160128,151.960,154.380,142.960,145.620,2722349.000
20160129,147.800,147.800,141.160,145.920,2850599.000
20160201,144.180,146.800,139.340,143.450,2547017.000
20160202,141.640,143.650,137.050,137.360,2326723.000
20160203,132.500,147.300,130.510,146.210,5340157.000
20160204,143.680,152.420,143.640,146.030,2736732.000
20160205,144.660,146.890,139.080,142.270,1911582.000
20160208,138.020,141.405,136.440,139.140,1936885.000
20160209,136.970,142.160,134.440,136.460,2271831.000
20160210,138.200,144.450,136.760,138.820,1696213.000
20160211,134.520,137.630,134.070,135.360,1259561.000
20160212,136.910,141.260,134.310,141.110,1478518.000
20160216,143.100,144.570,140.420,142.390,1391493.000
20160217,143.890,149.160,141.790,148.580,2014584.000
20160218,148.520,149.400,142.780,143.150,1653857.000
20160219,142.250,146.140,140.500,145.890,1314218.000
20160222,147.790,148.670,144.250,145.320,962870.000
20160223,144.160,147.690,141.850,142.060,1215095.000
20160224,140.720,142.490,135.760,141.960,1563404.000
20160225,142.090,144.990,139.000,140.540,1211773.000
20160226,141.400,141.770,137.940,140.140,1352075.000
20160229,138.910,142.820,138.910,140.800,1219366.000
20160301,142.470,151.190,140.060,150.830,2100673.000
20160302,149.140,152.500,148.950,151.590,1804453.000
20160303,150.750,151.190,145.670,145.880,1266878.000
20160304,146.490,148.377,144.120,144.480,1246859.000
20160307,143.160,150.200,142.110,149.600,1023930.000
20160308,147.190,147.385,140.790,141.030,1705332.000
20160309,141.620,142.890,137.270,140.460,1947770.000
20160310,141.730,141.730,135.000,136.750,1705694.000
20160311,138.220,139.800,136.710,139.280,1507823.000
20160314,139.150,139.210,134.490,134.500,1443830.000
20160315,133.750,134.590,130.520,134.440,2060802.000
20160316,134.440,136.740,129.710,130.850,1412543.000
20160317,130.560,131.590,124.160,127.910,2584292.000
20160318,128.580,129.520,124.770,128.450,2366056.000
20160321,128.380,131.800,128.055,131.060,1417970.000
20160322,129.910,135.920,129.720,135.710,1937381.000
20160323,134.960,135.860,131.220,133.720,2204976.000
20160324,132.880,136.370,130.370,133.190,1102870.000
