Date,Open,High,Low,Close,Volume
20160104,52.762,52.832,52.183,52.552,1713511.347
20160105,52.552,52.842,51.944,52.273,1167304.459
20160106,51.484,51.814,50.880,51.105,1894288.232
20160107,50.327,50.346,49.288,49.877,2359845.875
20160108,50.197,50.506,48.889,48.969,1481730.680
20160111,49.059,49.428,47.711,48.101,2403637.501
20160112,48.630,48.679,47.786,48.380,1625144.181
20160113,48.679,48.839,47.252,47.282,1232370.050
20160114,46.913,48.340,46.683,47.901,1375049.574
20160115,46.853,48.071,46.843,47.801,1649914.730
20160119,48.370,48.380,46.883,47.332,1065599.457
20160120,46.324,46.923,45.006,46.484,1776160.786
20160121,46.434,46.883,45.725,46.244,1790730.571
20160122,47.093,47.452,46.484,46.823,1270984.691
20160125,46.703,46.873,45.815,45.855,1178754.568
20160126,46.154,46.633,45.995,46.544,1745846.188
20160127,46.444,47.053,45.955,46.224,1535427.518
20160128,46.683,46.793,45.835,46.094,1488352.220
20160129,46.404,47.043,46.344,46.973,2462011.754
20160201,46.494,46.823,45.885,46.593,2930992.726
20160202,46.005,46.104,45.276,45.416,2354961.800
20160203,45.895,46.084,44.608,45.765,2142402.603
20160204,45.765,47.072,44.947,46.553,1718602.761
20160205,43.858,45.865,42.571,45.246,3258533.996
20160208,44.308,44.856,43.958,44.667,2839565.992
20160209,44.288,46.005,44.239,45.685,1758017.913
20160210,45.515,46.084,45.146,45.545,2136276.596
20160211,44.557,45.366,44.198,44.926,1752597.006
20160212,45.625,46.094,45.306,45.535,1592558.130
20160216,46.114,46.284,45.166,45.905,2217406.209
20160217,46.074,46.214,45.775,45.915,1760349.203
20160218,45.935,45.975,45.465,45.785,1166549.912
20160219,45.725,46.084,45.256,46.035,1487991.614
20160222,46.324,46.863,45.965,46.044,1201064.661
20160223,46.005,46.164,45.156,45.456,2314073.975
20160224,44.857,45.426,44.557,45.306,1897782.036
20160225,45.505,46.324,45.146,46.309,1068746.663
20160226,46.523,46.913,46.064,46.583,958070.107
20160229,46.773,46.968,46.314,46.324,1034061.016
20160301,46.603,47.986,46.464,47.821,1611290.579
20160302,47.751,47.901,47.402,47.771,1095633.125
20160303,47.891,48.156,47.442,48.121,814426.753
20160304,48.061,48.470,47.811,48.031,916109.212
20160307,47.851,48.270,47.811,48.081,749305.819
20160308,47.721,48.041,47.512,47.642,1491024.829
20160309,47.761,48.021,47.452,47.557,884289.411
20160310,47.572,47.691,46.733,47.312,1365394.599
20160311,47.801,48.160,47.452,47.971,1257266.157
20160314,47.921,48.595,47.741,48.430,1769581.350
20160315,48.060,48.520,47.730,48.500,1431059.000
20160316,48.210,48.980,48.155,48.780,1560838.000
20160317,48.840,50.080,48.810,49.920,1921139.000
20160318,49.880,50.280,49.740,50.130,1759268.000
20160321,50.150,50.290,49.570,49.900,692525.000
20160322,49.930,50.040,49.550,49.760,777259.000
20160323,49.770,49.940,49.200,49.350,649312.000
20160324,49.090,49.240,48.690,49.080,732726.000
