Date,Open,High,Low,Close,Volume
20160104,157.902,158.140,155.012,157.088,4128466.230
20160105,157.902,159.143,156.164,157.058,2502196.929
20160106,153.940,156.834,153.820,155.499,3192068.495
20160107,152.410,155.370,151.804,151.914,3493946.407
20160108,151.993,153.801,149.421,149.659,3615267.170
20160111,150.364,150.553,143.145,146.591,4322089.262
20160112,147.465,150.191,145.905,149.749,3940828.720
20160113,150.096,151.775,144.277,144.495,3581958.514
20160114,145.012,154.228,143.502,152.122,5012734.780
20160115,146.760,151.248,146.670,150.295,5658862.780
20160119,152.539,153.532,147.186,150.196,3994146.543
20160120,147.971,155.807,146.988,153.949,6611922.240
20160121,153.681,153.949,149.202,151.725,4370716.361
20160122,155.370,155.876,153.165,155.002,3595627.718
20160125,155.102,156.909,151.943,152.370,4195170.507
20160126,152.490,154.188,150.027,152.728,3473578.049
20160127,154.387,154.387,147.842,149.471,3479944.023
20160128,150.305,150.772,144.406,147.177,3780032.638
20160129,148.339,151.943,144.247,151.556,6074175.015
20160201,150.265,152.668,148.309,151.546,4291378.213
20160202,149.232,150.503,147.445,149.073,3463640.305
20160203,149.461,150.146,146.044,149.590,3873658.410
20160204,149.500,150.911,147.684,148.875,3333899.668
20160205,147.802,148.353,142.678,144.038,5969293.570
20160208,142.509,143.611,139.162,142.012,4179968.520
20160209,141.010,144.624,139.828,142.231,3928387.080
20160210,144.207,146.114,142.956,143.810,4051963.473
20160211,140.770,143.500,140.030,141.460,3830314.000
20160212,143.130,144.970,141.140,144.720,2757107.000
20160216,146.890,148.060,145.660,147.150,2414012.000
20160217,148.220,151.530,147.400,151.070,3273862.000
20160218,150.790,152.360,149.080,149.360,2593906.000
20160219,148.980,151.760,148.250,150.120,2623553.000
20160222,148.660,149.850,146.940,148.570,3496321.000
20160223,148.150,149.750,146.860,147.260,3066977.000
20160224,145.500,147.280,143.910,147.110,2923942.000
20160225,147.360,148.400,145.260,146.750,3184903.000
20160226,148.510,149.500,146.950,147.600,3120076.000
20160229,146.960,147.680,142.220,142.280,3837255.000
20160301,144.300,148.460,142.280,148.400,4133755.000
20160302,148.620,148.630,146.210,147.500,2897469.000
20160303,147.220,147.490,145.320,145.840,2585149.000
20160304,146.930,147.329,144.523,145.970,3184220.000
20160307,144.410,147.890,144.410,147.280,2968879.000
20160308,146.840,147.480,144.320,144.630,2564944.000
20160309,144.000,144.080,139.910,140.900,5710385.000
20160310,141.410,143.489,139.020,141.030,4175155.000
20160311,142.930,145.000,142.170,144.570,4441063.000
20160314,143.860,145.312,143.190,144.610,2589837.000
20160315,144.840,145.300,142.800,143.210,2672116.000
20160316,143.000,147.000,141.930,143.990,5867847.000
20160317,143.720,145.800,141.840,144.160,4337401.000
20160318,144.970,146.400,142.500,145.500,6033776.000
20160321,145.300,147.970,145.010,147.010,2937729.000
20160322,147.050,151.000,146.830,150.650,3453854.000
20160323,150.310,151.910,148.130,148.790,2826403.000
20160324,148.170,150.960,147.600,149.225,2528331.000
