Date,Open,High,Low,Close,Volume
20160104,103.051,103.467,101.772,103.447,758805.268
20160105,103.616,104.617,102.268,103.001,766000.089
20160106,101.633,101.633,99.075,99.471,1679874.296
20160107,97.171,98.574,95.971,96.328,1568566.287
20160108,97.072,98.311,93.948,94.127,1457947.365
20160111,95.228,95.366,93.304,94.841,1810178.256
20160112,95.991,96.160,93.909,95.337,926598.701
20160113,95.525,95.644,91.470,91.638,1863605.442
20160114,92.164,95.416,90.597,94.305,1441366.468
20160115,92.967,93.264,89.893,92.045,1384370.232
20160119,93.730,93.849,90.914,91.767,965361.622
20160120,90.042,91.827,88.247,90.835,1334530.633
20160121,91.311,92.412,89.665,89.804,1403351.051
20160122,91.370,92.818,91.301,92.456,1300836.654
20160125,91.599,92.362,89.467,89.576,1422864.901
20160126,90.230,92.193,89.873,91.579,1888470.447
20160127,91.063,93.929,89.953,90.339,2200744.648
20160128,90.032,92.064,80.711,86.195,4846583.881
20160129,86.690,89.923,86.452,89.883,1879053.150
20160201,88.683,89.050,86.760,87.018,1659823.424
20160202,85.471,85.758,82.219,83.200,2255592.314
20160203,84.172,84.787,80.503,84.103,2661056.088
20160204,84.093,85.481,83.527,84.737,1898309.059
20160205,84.569,85.253,81.792,82.090,1757886.095
20160208,80.642,80.820,78.648,80.097,2189390.404
20160209,78.590,79.809,78.133,78.530,1740729.969
20160210,79.980,81.470,79.210,80.300,1976316.000
20160211,77.050,78.140,75.970,76.240,2323859.000
20160212,78.890,80.390,76.160,80.140,2121835.000
20160216,81.620,83.290,80.610,82.920,1828748.000
20160217,84.030,85.430,83.750,84.940,1750163.000
20160218,85.000,85.480,83.620,84.280,2243932.000
20160219,83.540,83.910,82.120,82.690,1748424.000
20160222,84.300,85.190,83.970,84.540,1920393.000
20160223,84.220,84.590,83.030,83.440,1628531.000
20160224,82.150,83.800,80.390,83.440,1276289.000
20160225,83.740,84.819,82.960,84.370,1276258.000
20160226,85.230,87.360,84.990,86.490,1432439.000
20160229,86.080,86.490,83.930,83.930,1455943.000
20160301,85.010,88.160,84.840,88.030,1654953.000
20160302,88.040,88.220,86.870,87.890,1139340.000
20160303,88.120,89.920,87.500,89.550,1841610.000
20160304,89.700,90.700,89.050,90.440,1507842.000
20160307,89.240,89.930,88.670,89.760,1220578.000
20160308,88.460,89.680,87.750,88.830,1793805.000
20160309,89.600,89.600,87.770,88.650,1300483.000
20160310,89.620,89.970,86.800,88.450,1086950.000
20160311,90.040,92.690,89.960,92.600,1218131.000
20160314,91.940,92.440,90.190,91.830,1243491.000
20160315,90.680,90.750,88.820,90.080,1520875.000
20160316,89.160,91.731,89.070,91.460,1171473.000
20160317,91.040,94.120,91.020,93.380,1144927.000
20160318,93.910,95.240,93.230,94.320,1630246.000
20160321,93.860,94.530,92.990,94.120,929786.000
20160322,89.380,93.889,89.380,93.350,1020251.000
20160323,93.480,94.180,92.370,92.750,1415050.000
20160324,91.400,92.010,90.650,91.970,1519381.000
