Date,Open,High,Low,Close,Volume
20160104,96.290,96.780,95.090,96.760,2529824.000
20160105,96.940,98.750,96.680,98.620,2393068.000
20160106,98.150,98.650,97.520,98.260,1959940.000
20160107,96.900,97.330,95.340,95.790,2911110.000
20160108,95.820,96.490,93.900,94.200,1683095.000
20160111,94.730,95.000,93.840,94.497,1394513.000
20160112,95.110,95.180,93.780,94.500,1576827.000
20160113,94.850,95.070,92.100,92.150,1819140.000
20160114,92.740,93.050,91.700,92.170,2292202.000
20160115,90.510,91.630,87.850,88.390,4897554.000
20160119,89.760,93.530,89.330,90.850,3736458.000
20160120,90.010,90.180,86.210,89.000,3879408.000
20160121,88.870,91.160,88.210,90.020,2802546.000
20160122,90.910,93.600,90.330,93.240,3073289.000
20160125,93.280,93.410,90.920,91.150,2401160.000
20160126,92.000,93.690,91.780,92.410,2450215.000
20160127,92.060,93.460,91.420,92.480,1762590.000
20160128,92.630,93.460,92.340,92.460,1812829.000
20160129,93.640,94.500,92.870,94.370,2052877.000
20160201,93.600,93.940,92.830,93.130,2365373.000
20160202,92.480,92.840,91.140,91.350,1711612.000
20160203,91.970,91.970,88.400,90.490,4158290.000
20160204,90.320,91.840,90.000,91.100,2267730.000
20160205,90.700,91.080,88.560,88.830,1833012.000
20160208,88.410,88.560,84.540,85.420,2837131.000
20160209,84.560,85.900,83.910,85.600,2529395.000
20160210,85.850,87.130,85.360,85.840,1453017.000
20160211,84.650,84.650,83.070,83.620,2725550.000
20160212,85.090,85.820,83.750,85.660,1962292.000
20160216,87.090,87.630,85.980,86.410,1412537.000
20160217,86.930,87.390,86.110,86.190,2130321.000
20160218,86.090,88.010,85.780,87.490,2494069.000
20160219,87.410,87.920,86.510,87.280,1884866.000
20160222,88.020,89.820,87.960,89.245,2452315.000
20160223,88.870,89.360,87.570,88.010,1757633.000
20160224,87.570,89.430,87.010,88.990,3675002.000
20160225,89.270,90.140,88.930,89.450,4012224.000
20160226,88.800,91.800,87.285,90.000,4496184.000
20160229,90.180,93.250,90.010,92.190,3238521.000
20160301,92.750,94.800,91.640,94.680,2914986.000
20160302,94.390,94.700,93.730,94.610,1511178.000
20160303,94.800,95.320,94.130,95.300,1747882.000
20160304,95.120,96.340,95.100,95.930,1848715.000
20160307,95.460,96.200,95.160,95.590,1793355.000
20160308,95.020,95.630,94.365,94.580,1516161.000
20160309,94.780,95.180,94.233,94.550,1750777.000
20160310,95.310,95.817,93.680,94.710,1615093.000
20160311,95.550,98.560,95.410,98.440,2309360.000
20160314,97.690,98.310,96.690,98.060,1866583.000
20160315,97.070,98.640,97.010,98.420,1961326.000
20160316,98.110,99.990,97.750,99.820,1690787.000
20160317,99.720,102.900,99.470,101.730,3242679.000
20160318,102.200,102.245,100.140,100.510,2829900.000
20160321,100.010,100.660,99.760,100.320,1587271.000
20160322,100.080,100.390,99.455,99.950,1153238.000
20160323,100.000,100.960,99.570,99.580,1110497.000
20160324,99.400,100.620,98.860,100.350,1226510.000
