Date,Open,High,Low,Close,Volume
20160104,658.200,658.200,627.500,636.730,8981635.000
20160105,644.700,646.910,627.650,633.780,5536278.000
20160106,622.310,639.790,620.300,632.810,5077598.000
20160107,622.380,630.000,605.210,607.840,6728543.000
20160108,618.670,624.140,606.000,607.050,5251926.000
20160111,612.720,619.858,598.570,617.740,4691233.000
20160112,625.250,625.990,612.240,617.930,4380184.000
20160113,620.880,620.900,579.160,581.990,7217940.000
20160114,580.450,602.270,569.880,593.000,6954686.000
20160115,573.000,584.620,565.090,570.000,7327631.000
20160119,577.090,584.000,566.450,574.480,4554940.000
20160120,565.500,578.450,547.040,571.590,7720403.000
20160121,574.700,588.832,568.210,574.650,4605775.000
20160122,589.820,600.100,584.108,596.210,4918057.000
20160125,597.950,608.620,594.510,596.550,4130474.000
20160126,601.960,604.518,590.300,601.250,3619010.000
20160127,601.250,603.400,578.780,583.350,4771107.000
20160128,609.500,638.280,597.500,635.312,10145233.000
20160129,571.980,593.000,570.000,585.370,13355172.000
20160201,578.170,581.800,570.310,574.810,6069176.000
20160202,570.000,571.690,550.070,552.060,6026563.000
20160203,553.500,556.000,521.780,530.790,9755061.000
20160204,524.220,538.990,519.010,536.240,5921466.000
20160205,529.280,530.000,499.190,502.010,9453885.000
20160208,486.990,493.500,475.130,488.090,9581472.000
20160209,478.220,498.424,474.000,482.420,6916512.000
20160210,491.760,504.670,486.000,490.500,5993129.000
20160211,492.380,509.300,484.000,503.540,6883398.000
20160212,510.700,516.750,501.493,506.950,5164682.000
20160216,519.900,524.450,511.550,520.740,4804411.000
20160217,528.220,537.480,519.250,534.100,4545982.000
20160218,540.730,541.200,523.730,525.000,4542061.000
20160219,521.090,536.000,515.350,534.880,4882334.000
20160222,542.200,560.650,541.000,559.480,5202135.000
20160223,555.550,556.920,545.303,552.940,3904463.000
20160224,545.870,554.275,533.140,554.040,5984201.000
20160225,555.520,559.390,545.260,555.140,4444928.000
20160226,560.120,562.500,553.170,555.170,4699607.000
20160229,554.270,564.810,552.510,552.880,3489927.000
20160301,556.310,579.250,556.000,579.040,4857986.000
20160302,581.750,585.000,573.610,580.220,4455466.000
20160303,577.470,579.870,573.110,577.490,2650360.000
20160304,581.070,581.400,571.050,575.140,3270370.000
20160307,574.510,574.510,555.550,562.800,4792958.000
20160308,557.870,571.480,554.740,560.260,4560952.000
20160309,559.760,560.500,550.120,559.480,4273179.000
20160310,566.900,567.334,547.860,558.930,3833966.000
20160311,566.940,570.060,562.730,569.590,3525839.000
20160314,565.900,576.890,563.050,573.380,3259230.000
20160315,571.000,581.680,567.000,577.020,3705193.000
20160316,576.640,581.330,571.140,574.333,3344303.000
20160317,569.510,571.400,555.010,559.440,5634288.000
20160318,562.220,562.460,546.000,552.110,6795686.000
20160321,548.890,555.250,538.580,553.980,4992611.000
20160322,545.110,562.760,545.050,560.660,3716725.000
20160323,560.810,572.500,558.100,569.840,3822799.000
20160324,567.110,583.550,566.130,582.950,4922119.000
