Date,Open,High,Low,Close,Volume
20160104,59.000,59.220,58.160,58.700,781241.000
20160105,58.650,58.930,56.620,56.760,1813254.000
20160106,49.655,52.130,47.910,50.850,6848050.000
20160107,49.820,51.290,48.740,49.070,2461132.000
20160108,49.310,49.980,48.700,48.780,1822871.000
20160111,49.150,49.510,47.680,48.530,1854345.000
20160112,48.890,48.940,47.250,48.010,1447033.000
20160113,48.380,48.520,46.810,46.910,1314513.000
20160114,46.960,48.250,46.090,47.550,1042780.000
20160115,47.580,47.590,45.510,46.540,1232271.000
20160119,46.750,46.900,43.530,44.550,1831848.000
20160120,43.780,46.580,43.620,46.030,2878973.000
20160121,46.010,47.200,45.520,45.800,1145131.000
20160122,46.370,46.670,45.500,45.670,805449.000
20160125,45.490,45.750,44.790,45.190,1007663.000
20160126,45.180,45.820,44.680,45.490,970888.000
20160127,45.320,45.690,43.580,44.070,1766856.000
20160128,42.970,42.990,40.440,41.520,2858387.000
20160129,41.680,43.290,41.600,43.250,1934510.000
20160201,42.910,45.840,42.510,45.160,3018923.000
20160202,44.630,44.680,42.715,43.460,3206164.000
20160203,44.160,44.840,43.540,44.470,3111113.000
20160204,44.220,46.940,44.100,46.360,3246382.000
20160205,46.220,46.850,45.480,45.730,3177343.000
20160208,45.290,46.830,44.480,44.720,3726615.000
20160209,44.330,46.970,44.030,46.420,2403763.000
20160210,46.580,47.710,46.350,46.750,1394166.000
20160211,45.820,47.360,45.620,46.800,1778182.000
20160212,47.150,48.420,46.500,48.160,1833991.000
20160216,48.590,49.890,48.400,49.230,1743917.000
20160217,49.560,50.880,49.210,49.650,2104815.000
20160218,49.500,50.530,49.330,49.950,1412171.000
20160219,49.620,49.620,47.390,47.950,1457559.000
20160222,48.750,50.110,48.750,49.830,1694903.000
20160223,50.100,52.410,49.820,50.370,1943656.000
20160224,49.650,51.545,49.100,51.340,1616536.000
20160225,51.570,52.440,51.120,51.940,1264091.000
20160226,52.110,52.500,51.150,51.660,1192655.000
20160229,51.870,52.430,51.420,51.460,889691.000
20160301,53.090,53.800,51.960,52.520,2400846.000
20160302,52.380,52.880,51.130,51.550,1841865.000
20160303,51.520,53.090,51.370,52.960,1425407.000
20160304,53.230,53.750,52.480,52.740,1182506.000
20160307,52.400,53.050,52.280,52.860,928305.000
20160308,51.310,51.560,49.060,49.520,2040394.000
20160309,49.980,50.310,49.440,50.060,842536.000
20160310,50.320,50.500,49.420,50.050,804407.000
20160311,50.480,51.190,50.120,51.100,977699.000
20160314,50.900,51.190,49.780,49.830,764714.000
20160315,49.460,49.590,47.740,48.450,1454869.000
20160316,48.400,48.455,46.930,48.070,2143296.000
20160317,47.820,47.990,47.060,47.420,2221652.000
20160318,47.530,48.700,47.445,48.510,1897422.000
20160321,48.480,49.290,48.400,49.160,1558393.000
20160322,48.780,49.310,48.660,48.730,923337.000
20160323,48.480,48.525,47.720,47.960,832573.000
20160324,47.850,48.040,47.070,47.985,741720.000
