Date,Open,High,Low,Close,Volume
20160104,26.349,27.462,26.160,27.174,2672555.130
20160105,27.174,27.462,26.826,27.342,3029792.546
20160106,26.886,27.312,26.329,26.806,2128758.133
20160107,26.389,27.849,26.389,27.412,3811932.381
20160108,27.223,27.412,25.267,25.356,4866621.646
20160111,25.485,25.863,24.820,25.704,2605734.272
20160112,26.091,26.290,25.485,25.858,2189795.025
20160113,25.912,26.121,25.118,25.346,2273567.222
20160114,25.276,26.160,24.849,25.892,1737522.963
20160115,25.227,25.505,24.114,25.366,3316331.468
20160119,25.614,25.823,24.502,25.038,2682377.691
20160120,24.661,25.689,23.797,25.386,4049612.250
20160121,25.396,26.240,25.227,25.962,2678460.241
20160122,26.369,26.508,25.286,25.664,1542875.102
20160125,25.575,25.664,24.631,24.840,1807291.734
20160126,25.008,25.773,24.969,25.515,1856370.406
20160127,25.505,26.040,25.197,25.525,1531719.298
20160128,25.962,26.091,25.197,25.346,1744573.129
20160129,25.505,26.290,25.416,26.051,1781495.113
20160201,25.952,26.409,25.555,26.170,1929150.403
20160202,26.081,26.667,25.858,26.210,2634964.536
20160203,26.419,27.034,25.664,26.538,2353788.333
20160204,26.230,26.598,25.036,25.217,2423787.163
20160205,25.217,25.594,24.075,24.244,2707353.914
20160208,23.946,24.487,23.482,24.462,2953379.617
20160209,24.204,24.760,23.290,23.965,2130279.557
20160210,24.154,24.293,23.598,23.618,1604996.758
20160211,23.201,24.393,23.201,23.926,2163954.968
20160212,24.105,24.701,23.876,24.611,1701243.840
20160216,24.949,25.366,24.363,25.177,1357211.728
20160217,25.416,26.051,25.237,25.684,1668456.555
20160218,25.634,26.627,25.435,26.419,1877482.456
20160219,26.121,26.339,25.535,26.319,1539855.540
20160222,26.528,27.755,26.518,27.601,2380838.430
20160223,27.769,28.107,27.352,27.516,2033343.621
20160224,27.263,27.685,26.786,27.601,2302883.618
20160225,27.591,28.087,27.134,27.998,2564106.684
20160226,27.869,28.355,27.293,28.286,3330191.593
20160229,28.415,29.299,28.107,28.852,5070432.164
20160301,28.991,29.239,28.673,29.140,4710667.786
20160302,31.110,31.450,28.411,30.420,11802735.000
20160303,30.290,31.340,29.640,31.150,4532715.000
20160304,31.170,32.810,30.750,32.270,4290322.000
20160307,32.220,32.830,31.595,31.980,3033244.000
20160308,31.900,32.550,31.560,31.560,1630568.000
20160309,31.700,32.260,31.480,31.850,1922937.000
20160310,31.970,32.500,31.865,32.200,1552722.000
20160311,32.450,32.480,32.030,32.450,1398851.000
20160314,32.240,32.600,32.100,32.230,1834971.000
20160315,32.120,32.215,30.810,31.250,2130745.000
20160316,31.180,31.940,30.920,31.640,1671640.000
20160317,31.590,31.930,31.160,31.840,1848145.000
20160318,32.070,32.380,31.570,31.700,2102843.000
20160321,31.700,31.950,31.050,31.060,1647379.000
20160322,32.050,32.510,31.650,31.660,3077835.000
20160323,31.500,31.620,30.630,30.840,1596701.000
20160324,30.740,31.540,30.580,31.420,1410745.000
