Date,Open,High,Low,Close,Volume
20160104,90.393,90.573,89.407,90.433,1225128.022
20160105,90.403,91.131,89.905,90.941,1483352.763
20160106,90.084,90.368,88.968,89.566,1366461.120
20160107,87.972,88.659,87.842,88.261,1850041.979
20160108,88.500,88.789,86.517,86.686,1040098.938
20160111,87.224,87.394,85.231,86.118,1058183.194
20160112,86.896,86.995,85.411,86.856,866932.356
20160113,87.404,87.593,85.152,85.610,1061471.604
20160114,85.809,87.792,85.451,87.065,978322.066
20160115,87.344,87.344,84.783,85.790,1495502.563
20160119,86.457,86.786,85.271,85.680,947979.224
20160120,84.285,85.540,83.527,84.644,1482814.465
20160121,84.933,85.710,83.946,84.325,818626.962
20160122,85.620,86.387,85.401,86.098,854595.462
20160125,85.889,86.377,84.922,85.471,1348946.187
20160126,85.889,86.447,85.351,85.730,1016641.966
20160127,85.720,86.098,84.952,85.640,1329368.764
20160128,86.100,88.000,85.430,86.060,874490.000
20160129,86.730,87.980,86.340,87.730,1526709.000
20160201,87.530,87.975,86.990,87.580,752293.000
20160202,86.490,87.010,85.910,86.200,795730.000
20160203,87.060,88.110,86.310,87.720,1333255.000
20160204,87.450,89.040,87.145,88.940,1147401.000
20160205,89.200,92.890,89.200,92.880,2122641.000
20160208,92.270,93.700,91.950,92.990,1798313.000
20160209,92.470,93.500,92.270,92.870,1970200.000
20160210,93.040,94.790,92.650,92.820,1380677.000
20160211,91.310,93.250,90.750,92.650,1367057.000
20160212,93.700,94.980,93.700,93.800,1473003.000
20160216,94.220,95.000,93.900,94.135,1521264.000
20160217,95.090,95.582,94.710,94.990,1995715.000
20160218,94.750,95.270,93.990,94.550,1585036.000
20160219,94.280,94.420,92.980,93.550,1098078.000
20160222,94.340,94.710,93.410,93.760,1180069.000
20160223,93.210,95.020,93.210,94.090,2192672.000
20160224,93.080,95.130,92.920,94.650,1566338.000
20160225,94.910,95.460,94.520,95.300,1054632.000
20160226,95.680,96.510,95.180,95.750,1322004.000
20160229,95.760,96.450,95.250,95.270,1491160.000
20160301,95.990,96.810,95.690,95.950,1655269.000
20160302,95.980,97.410,95.470,97.370,1260302.000
20160303,97.130,98.360,97.050,98.210,984569.000
20160304,98.000,99.460,97.880,98.920,1341394.000
20160307,98.330,99.290,98.020,99.170,854128.000
20160308,98.470,99.610,98.195,98.430,994033.000
20160309,98.740,98.950,98.300,98.710,879014.000
20160310,99.190,99.540,97.620,98.570,867077.000
20160311,99.630,100.590,98.960,100.480,975198.000
20160314,99.630,100.650,99.630,99.780,1284193.000
20160315,98.800,99.940,98.800,99.890,928717.000
20160316,99.110,100.550,99.050,99.790,1200779.000
20160317,99.940,102.580,99.570,101.990,1791089.000
20160318,102.370,102.480,100.980,101.500,2536068.000
20160321,100.830,101.860,100.830,101.580,1979165.000
20160322,101.310,102.230,100.961,101.470,2329313.000
20160323,101.240,101.370,100.040,100.490,2363183.000
20160324,100.030,101.320,99.670,101.130,2074006.000
