Date,Open,High,Low,Close,Volume
20160104,43.929,44.783,43.423,44.118,4388627.230
20160105,43.185,43.711,41.834,43.215,5057619.555
20160106,41.825,41.825,38.171,38.246,6870343.202
20160107,37.099,38.347,35.967,36.285,6939755.688
20160108,36.593,37.318,34.816,36.364,10001436.030
20160111,36.404,36.593,34.116,34.816,8146465.760
20160112,35.292,35.431,33.937,35.163,8732373.520
20160113,35.679,36.950,35.104,35.342,8280153.491
20160114,35.620,37.367,34.995,36.747,5873291.850
20160115,34.985,35.679,33.317,35.064,9801435.080
20160119,35.243,35.431,33.555,34.240,7953550.160
20160120,33.270,35.360,32.195,34.610,8270622.000
20160121,34.330,37.590,34.120,37.250,6916549.000
20160122,38.990,40.060,37.640,39.390,6474254.000
20160125,38.350,40.640,37.380,37.440,5239581.000
20160126,38.350,38.820,37.080,38.000,7081446.000
20160127,37.670,40.260,37.400,38.610,5433779.000
20160128,40.760,40.980,38.980,40.590,4062484.000
20160129,40.980,42.560,40.920,42.500,4395610.000
20160201,41.270,41.750,40.240,40.820,4700394.000
20160202,39.570,40.070,38.450,38.560,5977781.000
20160203,39.730,41.300,37.760,41.230,5179585.000
20160204,42.060,43.800,40.490,40.735,7261441.000
20160205,40.300,40.310,38.460,39.045,6182781.000
20160208,38.150,38.370,36.860,37.570,5971099.000
20160209,36.710,37.130,34.290,35.580,7223444.000
20160210,35.410,36.330,35.010,35.320,5061975.000
20160211,34.510,35.060,33.230,34.380,5551095.000
20160212,34.970,36.940,34.660,36.520,5495494.000
20160216,37.190,37.880,36.640,37.480,4027334.000
20160217,38.220,40.340,37.910,40.060,4723805.000
20160218,40.730,40.890,37.920,38.800,6316850.000
20160219,37.900,37.970,36.273,37.330,5340433.000
20160222,38.340,39.750,38.340,39.620,4264446.000
20160223,38.710,39.780,37.860,37.890,5060368.000
20160224,37.000,38.730,36.210,38.570,7265138.000
20160225,37.930,38.940,36.090,37.790,7630141.000
20160226,39.090,40.480,38.400,39.460,5116402.000
20160229,39.490,39.520,37.690,38.260,4616667.000
20160301,38.470,38.690,36.260,38.620,5631438.000
20160302,38.330,42.010,38.180,41.960,6261319.000
20160303,41.920,45.600,41.710,45.090,9777434.000
20160304,45.630,48.940,45.160,48.040,8571481.000
20160307,48.030,51.110,47.620,51.020,10180832.000
20160308,50.320,50.470,46.160,46.180,7394622.000
20160309,47.250,47.690,45.010,46.220,6313776.000
20160310,45.900,46.650,44.720,46.250,4866108.000
20160311,47.380,49.040,47.350,48.940,5055471.000
20160314,47.380,48.900,47.380,48.190,4575850.000
20160315,47.030,48.020,46.830,47.920,4979787.000
20160316,48.510,49.980,48.110,49.260,5512398.000
20160317,49.950,51.020,49.460,50.470,4482270.000
20160318,51.270,51.834,48.530,49.610,5154450.000
20160321,49.770,50.750,48.790,49.880,3226312.000
20160322,49.060,51.320,48.925,50.260,3629111.000
20160323,49.280,49.730,47.650,47.860,5423627.000
20160324,47.010,48.860,46.580,48.850,4253318.000
