Date,Open,High,Low,Close,Volume
20160104,48.456,49.945,48.007,49.136,5185825.220
20160105,49.375,49.435,47.698,48.466,3803578.958
20160106,46.758,47.048,43.672,43.772,9744776.783
20160107,41.914,42.853,39.756,40.056,12998352.590
20160108,40.565,41.854,39.756,40.495,10936160.850
20160111,40.515,40.575,37.478,37.708,9304776.000
20160112,38.527,38.637,36.120,37.294,23978120.130
20160113,38.098,38.268,33.962,34.831,15038553.220
20160114,35.091,35.641,33.623,34.961,14478447.600
20160115,32.924,33.892,31.815,32.015,14008615.520
20160119,32.015,32.804,30.416,30.826,12146316.940
20160120,30.207,31.155,28.129,30.486,14190028.490
20160121,30.326,33.773,29.997,33.503,10896045.950
20160122,34.901,36.360,34.482,35.431,12592337.370
20160125,34.552,35.611,32.214,32.274,8193386.147
20160126,33.213,34.672,32.434,34.552,9557507.870
20160127,33.972,36.599,33.483,35.491,10244014.360
20160128,37.808,38.727,36.460,37.209,10723087.610
20160129,37.618,39.276,37.339,39.047,8742781.340
20160201,38.497,38.637,36.719,38.188,9210739.472
20160202,37.608,40.565,37.588,39.217,16215108.310
20160203,39.896,42.473,39.107,42.443,13733136.710
20160204,42.473,44.011,40.555,41.344,12239982.400
20160205,40.225,41.674,39.406,40.715,8064803.490
20160208,37.848,40.305,37.498,40.006,7961996.610
20160209,38.857,39.486,37.009,37.189,11555105.550
20160210,37.109,38.038,36.000,37.349,10615737.420
20160211,35.910,36.510,34.632,35.641,15834440.390
20160212,36.450,38.218,35.750,37.778,7027777.110
20160216,38.877,39.157,37.668,39.027,5621390.174
20160217,39.756,41.784,39.506,40.445,9609314.140
20160218,41.254,41.254,36.889,36.969,11124318.210
20160219,35.930,35.960,34.202,35.311,12275565.300
20160222,36.370,37.389,36.130,37.299,6277986.080
20160223,36.709,37.009,35.111,35.251,5634343.571
20160224,34.362,36.330,33.783,36.160,8290440.330
20160225,37.119,38.567,36.889,37.598,8009848.360
20160226,38.517,39.426,37.928,37.968,6743539.620
20160229,38.128,38.348,36.819,37.898,6770835.435
20160301,39.117,40.595,37.608,40.066,10503308.530
20160302,39.796,42.643,39.686,42.593,9554798.030
20160303,42.063,43.402,41.704,42.943,8904071.050
20160304,43.392,45.849,42.153,45.190,12886032.730
20160307,44.980,45.810,44.200,45.100,9522650.000
20160308,44.550,44.640,41.000,41.160,7130430.000
20160309,42.010,43.490,40.630,42.310,7364883.000
20160310,41.800,42.550,40.020,42.530,5852861.000
20160311,44.330,47.130,44.040,46.300,11132969.000
20160314,45.250,47.150,45.050,46.310,5892559.000
20160315,45.590,47.080,44.810,47.020,5204083.000
20160316,47.320,49.080,46.500,48.730,7420786.000
20160317,49.510,50.410,48.960,49.250,6199270.000
20160318,49.870,49.940,47.840,48.760,7631067.000
20160321,48.830,49.140,47.070,48.600,5018583.000
20160322,48.050,49.170,47.860,47.980,4039321.000
20160323,47.470,48.310,46.160,46.290,5315890.000
20160324,44.880,46.500,44.340,46.290,7476686.000
