Date,Open,High,Low,Close,Volume
20160104,7.600,7.650,7.285,7.575,1487421.000
20160105,7.570,7.570,7.095,7.155,1291566.000
20160106,7.010,7.310,6.930,7.190,1500023.000
20160107,7.050,7.070,6.570,6.700,2028750.000
20160108,6.730,6.920,6.460,6.600,2294527.000
20160111,7.090,7.680,6.310,6.380,5598422.000
20160112,7.240,7.690,6.810,7.400,6040508.000
20160113,7.400,7.510,7.000,7.100,2754900.000
20160114,7.180,7.340,6.940,7.300,1554512.000
20160115,7.030,7.630,6.930,7.630,2761594.000
20160119,7.870,8.005,6.990,7.110,2968668.000
20160120,7.000,7.670,6.870,7.540,2525311.000
20160121,7.550,7.815,7.460,7.630,1818475.000
20160122,7.770,7.870,7.410,7.755,1599039.000
20160125,7.650,7.820,7.610,7.655,1153253.000
20160126,7.780,8.090,7.620,7.990,1710429.000
20160127,7.910,8.010,7.260,7.610,2640279.000
20160128,7.660,7.820,7.485,7.610,1544917.000
20160129,7.600,7.940,7.600,7.940,1415293.000
20160201,7.870,7.880,7.280,7.290,2398214.000
20160202,7.170,7.400,6.800,6.920,1959750.000
20160203,7.010,7.110,6.750,7.060,1640051.000
20160204,7.020,7.300,6.995,7.090,969573.000
20160205,7.180,7.210,6.800,6.950,759200.000
20160208,8.800,8.850,8.200,8.620,13737167.000
20160209,8.430,8.720,8.430,8.550,3346824.000
20160210,8.590,8.705,8.530,8.540,4148990.000
20160211,8.460,8.630,8.335,8.580,2596583.000
20160212,8.540,8.675,8.470,8.600,1955017.000
20160216,8.750,8.940,8.580,8.830,1772104.000
20160217,8.900,8.935,8.730,8.820,1853124.000
20160218,8.810,8.880,8.680,8.790,1740657.000
20160219,8.730,8.830,8.620,8.680,1514252.000
20160222,8.720,8.740,8.440,8.450,1288351.000
20160223,8.450,8.500,8.250,8.355,1440791.000
20160224,8.250,8.400,8.200,8.230,988776.000
20160225,8.260,8.290,8.005,8.250,1042543.000
20160226,8.230,8.302,8.060,8.100,1037871.000
20160229,8.140,8.250,8.080,8.190,1194391.000
20160301,8.300,8.400,8.250,8.290,959659.000
20160302,8.290,8.420,8.280,8.360,747024.000
20160303,8.350,8.570,8.350,8.525,769392.000
20160304,8.550,8.560,8.420,8.510,1057532.000
20160307,8.500,8.690,8.440,8.520,974048.000
20160308,8.500,8.530,8.200,8.310,971780.000
20160309,8.350,8.470,8.280,8.310,792534.000
20160310,8.330,8.350,8.200,8.200,951873.000
20160311,8.250,8.380,8.210,8.380,631661.000
20160314,8.270,8.480,8.210,8.400,676965.000
20160315,8.370,8.430,8.180,8.180,847543.000
20160316,8.200,8.310,8.170,8.280,558920.000
20160317,8.240,8.340,8.180,8.270,966216.000
20160318,8.300,8.400,8.220,8.370,1186083.000
20160321,8.350,8.430,8.230,8.400,708966.000
20160322,8.390,8.410,8.300,8.390,454718.000
20160323,8.350,8.390,8.210,8.250,1509459.000
20160324,8.230,8.320,8.160,8.260,918487.000
