Date,Open,High,Low,Close,Volume
20160104,37.713,37.782,36.681,37.316,8253591.980
20160105,37.951,37.951,36.642,36.830,10567022.595
20160106,36.384,36.503,35.789,36.493,17735250.320
20160107,35.501,36.711,35.144,35.967,9771686.810
20160108,36.473,36.493,35.253,35.422,7417237.130
20160111,35.610,36.354,35.501,35.908,7939635.180
20160112,36.315,37.535,36.285,36.820,6755695.940
20160113,37.088,37.237,34.415,34.579,10970094.510
20160114,34.638,35.372,33.894,35.114,9026072.170
20160115,34.033,35.065,33.239,34.628,11440103.400
20160119,35.293,35.333,34.415,34.866,5357437.860
20160120,34.281,34.777,33.190,34.420,7792368.610
20160121,35.144,35.164,34.102,34.291,8396535.510
20160122,34.797,35.913,34.539,35.630,6439031.270
20160125,35.471,35.590,34.350,34.440,8325967.590
20160126,34.569,35.174,34.549,35.025,5387428.680
20160127,34.965,35.117,33.651,33.795,7110622.590
20160128,34.251,34.331,32.902,33.507,13263213.500
20160129,33.200,34.598,32.287,34.489,18963658.240
20160201,34.321,34.975,34.152,34.390,7895585.940
20160202,33.964,34.301,32.853,33.150,7958242.370
20160203,33.537,33.577,32.069,32.843,10099501.840
20160204,32.873,32.982,31.077,31.672,17226807.740
20160205,31.514,31.543,30.145,30.284,16677510.200
20160208,29.510,29.569,27.903,28.478,16749142.940
20160209,28.240,29.510,27.824,28.567,13664205.090
20160210,28.825,30.303,28.816,29.907,13827075.730
20160211,29.361,30.472,29.242,30.274,14955565.590
20160212,28.528,28.806,26.276,27.893,41013267.090
20160216,28.329,29.411,28.320,29.183,15029244.120
20160217,29.500,29.778,29.083,29.202,13551389.830
20160218,29.659,29.758,28.558,28.647,7908239.950
20160219,28.617,30.105,28.419,29.946,10533101.440
20160222,30.264,31.593,30.235,31.266,10292223.560
20160223,31.097,31.652,30.303,30.492,9327238.315
20160224,30.194,31.514,29.996,31.464,8011304.255
20160225,31.603,32.357,31.494,32.059,8396672.407
20160226,32.119,32.362,31.395,31.623,6733654.380
20160229,31.474,31.960,31.067,31.414,6060738.341
20160301,31.702,32.139,31.196,31.940,7251121.989
20160302,31.801,31.851,31.256,31.752,7883247.097
20160303,31.553,31.637,30.770,31.276,5046794.540
20160304,31.583,31.603,30.462,30.938,5891150.417
20160307,30.750,31.226,30.264,30.720,7380842.320
20160308,30.452,30.899,30.264,30.522,6209578.161
20160309,30.601,30.799,30.125,30.601,6077072.925
20160310,30.651,31.256,30.452,30.998,7201560.380
20160311,31.256,31.776,31.216,31.266,7337133.722
20160314,31.385,32.411,31.315,32.148,6498019.965
20160315,32.079,32.605,31.871,32.228,5173465.747
20160316,32.218,32.644,31.940,32.525,4964211.216
20160317,32.416,32.813,31.762,32.347,4906616.135
20160318,32.416,32.416,31.504,31.930,8449413.686
20160321,31.970,32.059,31.553,31.771,2596996.260
20160322,31.633,32.307,31.603,32.277,4087399.205
20160323,32.218,32.555,32.158,32.317,3826306.569
20160324,32.178,32.287,31.652,31.950,3534760.443
