Date,Open,High,Low,Close,Volume
20160104,141.980,142.050,139.408,141.811,2729332.708
20160105,142.817,142.887,136.757,137.016,3585401.648
20160106,134.116,135.611,131.844,132.850,4853773.516
20160107,130.319,133.329,127.767,128.604,4465624.402
20160108,129.601,133.020,127.637,127.727,5907234.766
20160111,128.564,129.551,125.006,127.598,3717486.521
20160112,129.432,131.236,126.436,129.491,3855675.892
20160113,127.328,129.561,122.674,122.923,4622053.875
20160114,123.780,126.262,119.873,124.767,6058991.688
20160115,119.813,123.382,118.906,119.604,7053592.034
20160119,122.475,124.388,118.617,119.654,5295043.293
20160120,117.650,125.166,116.783,123.421,9011281.100
20160121,124.388,125.584,122.943,124.119,4640894.840
20160122,126.083,126.083,123.820,124.099,5679093.120
20160125,123.840,124.568,123.591,124.129,5981143.361
20160126,124.588,126.093,123.591,123.990,11028451.400
20160127,123.152,124.996,119.694,121.936,5413857.273
20160128,122.534,126.132,121.597,125.973,4871359.590
20160129,128.913,133.897,127.687,133.159,9098008.740
20160201,132.900,138.232,132.521,137.196,4355377.686
20160202,135.063,137.136,131.265,132.810,5039233.151
20160203,136.996,137.156,129.860,130.847,5356421.680
20160204,130.966,136.817,130.069,135.671,5179542.775
20160205,136.368,136.548,126.561,127.916,6129177.188
20160208,126.431,126.571,118.817,121.458,8301611.540
20160209,119.554,125.305,118.378,119.315,5212704.564
20160210,122.086,123.315,118.189,118.817,3952275.924
20160211,116.126,117.262,113.873,115.886,6197345.819
20160212,117.381,121.936,115.348,121.259,3651312.575
20160216,122.863,126.382,122.544,125.813,3415095.735
20160217,126.581,130.388,126.292,130.249,3065248.129
20160218,131.325,131.555,125.664,126.641,3789499.740
20160219,126.621,128.365,124.538,128.245,2775201.009
20160222,129.571,131.993,129.063,130.219,2033419.836
20160223,129.730,130.069,127.618,127.717,1816581.410
20160224,126.093,130.817,125.006,129.910,2299584.109
20160225,130.348,132.053,128.265,132.033,2437397.477
20160226,133.767,134.525,131.814,132.671,2550581.574
20160229,132.910,137.465,132.462,133.438,2928030.519
20160301,134.923,138.193,134.176,137.973,4161124.845
20160302,137.385,137.545,134.604,136.508,4272513.661
20160303,137.296,138.392,133.857,136.877,5156159.503
20160304,145.518,147.372,141.252,145.518,7098972.260
20160307,144.282,145.758,140.106,143.036,3852500.674
20160308,141.801,142.518,138.940,139.169,3088444.482
20160309,140.286,142.100,140.008,141.492,2934661.293
20160310,142.987,145.319,141.531,143.943,5233602.440
20160311,145.508,149.405,145.000,148.329,5367583.161
20160314,146.625,148.698,146.515,147.651,2702597.998
20160315,147.741,149.485,145.598,148.010,2954999.289
20160316,147.460,149.280,146.840,148.620,3247264.000
20160317,147.370,151.720,147.370,151.560,4203987.000
20160318,151.720,153.000,150.870,152.420,4419009.000
20160321,152.590,153.000,150.830,152.920,2599353.000
20160322,152.400,155.640,151.550,154.780,3126670.000
20160323,154.820,155.380,152.300,153.000,2542506.000
20160324,151.810,153.290,151.120,153.000,2355608.000
