Date,Open,High,Low,Close,Volume
20160104,67.793,67.883,66.479,67.285,7824251.580
20160105,67.076,67.415,65.384,66.260,10035343.070
20160106,65.240,65.550,64.240,64.430,9200475.000
20160107,63.310,64.260,63.084,63.850,10496710.000
20160108,64.180,64.410,63.570,63.630,9375209.000
20160111,63.740,64.210,63.100,64.040,7739410.000
20160112,64.800,64.900,63.593,64.430,6915561.000
20160113,63.650,64.370,62.230,62.840,10704836.000
20160114,62.740,63.750,62.370,63.300,5938748.000
20160115,62.010,63.060,61.500,62.910,7920323.000
20160119,63.410,63.790,62.240,62.650,6244496.000
20160120,61.540,63.540,61.280,63.050,8580175.000
20160121,63.000,64.320,62.510,62.620,8166102.000
20160122,58.390,58.890,54.140,55.030,41862277.000
20160125,54.460,55.770,54.140,55.010,17883643.000
20160126,55.200,55.740,54.940,55.080,12026154.000
20160127,55.370,55.820,54.420,54.510,10365132.000
20160128,54.500,54.760,52.150,52.870,17052967.000
20160129,53.150,53.705,53.050,53.500,12614723.000
20160201,53.410,54.990,53.000,54.685,9291337.000
20160202,54.330,54.410,53.490,53.660,10346929.000
20160203,54.000,54.290,52.830,54.120,8868081.000
20160204,54.080,54.460,53.810,54.380,6631718.000
20160205,54.720,54.850,53.810,53.970,8451573.000
20160208,53.220,53.450,52.230,52.400,10754916.000
20160209,52.260,53.020,51.910,52.630,8049471.000
20160210,53.000,53.430,52.280,52.310,6317933.000
20160211,51.190,51.590,50.270,51.130,8639712.000
20160212,51.880,52.730,51.640,52.650,5572815.000
20160216,53.000,53.490,52.720,53.180,6339082.000
20160217,53.500,54.000,53.300,53.600,8079995.000
20160218,53.500,54.345,53.430,54.160,8097324.000
20160219,54.300,55.030,54.030,54.710,6022828.000
20160222,55.210,55.630,54.960,55.620,5985510.000
20160223,55.520,55.600,54.960,55.110,5544108.000
20160224,54.540,54.870,53.560,54.630,5295367.000
20160225,54.780,55.390,54.300,55.390,4102366.000
20160226,55.710,55.900,55.150,55.370,5482752.000
20160229,55.300,56.150,54.810,55.570,8575895.000
20160301,56.030,56.840,55.620,56.790,8685248.000
20160302,56.880,57.230,56.570,57.110,6991602.000
20160303,57.160,58.180,57.130,58.070,6006393.000
20160304,58.440,58.660,57.810,58.290,5055583.000
20160307,58.000,59.480,57.630,58.995,8892091.000
20160308,58.840,60.000,58.710,59.430,9835910.000
20160309,59.730,59.790,58.520,59.030,6013090.000
20160310,59.290,59.460,58.050,58.750,5870660.000
20160311,59.550,59.910,59.015,59.450,7011058.000
20160314,59.500,59.940,59.010,59.570,3885528.000
20160315,59.360,59.410,58.625,59.230,3485269.000
20160316,58.910,59.900,58.720,59.710,4451718.000
20160317,59.550,60.500,59.320,60.070,3890355.000
20160318,60.310,61.445,60.010,61.250,5330685.000
20160321,60.990,61.380,60.850,61.200,3269263.000
20160322,60.770,60.900,59.910,60.610,3776983.000
20160323,60.700,60.910,60.280,60.620,3286681.000
20160324,60.220,60.539,59.590,60.490,3184483.000
