Date,Open,High,Low,Close,Volume
20160104,140.084,140.401,138.132,139.212,5127660.180
20160105,139.697,140.430,138.488,139.777,3120232.884
20160106,137.557,138.072,136.001,137.527,3935962.262
20160107,135.050,135.417,131.295,131.721,6342228.560
20160108,132.474,133.861,128.610,128.778,5260878.800
20160111,129.650,129.799,127.738,128.957,5060514.600
20160112,130.374,130.958,128.451,130.681,3485284.400
20160113,131.483,131.661,126.579,126.906,4553293.030
20160114,128.402,128.877,124.656,127.946,5451276.610
20160115,124.646,125.969,123.358,124.478,6010223.687
20160119,125.895,126.073,123.963,124.874,4828608.400
20160120,122.863,123.794,118.701,121.060,6995802.930
20160121,121.535,124.835,120.425,122.298,5153575.640
20160122,123.279,124.528,122.189,123.447,4944227.368
20160125,122.794,124.092,122.262,122.843,4198032.820
20160126,123.834,126.975,123.358,126.846,5125943.710
20160127,118.801,119.009,113.965,115.501,26723515.030
20160128,116.026,116.948,114.005,116.928,9657183.390
20160129,117.067,119.078,116.938,119.029,7870601.220
20160201,118.404,121.169,117.562,120.455,6367796.640
20160202,118.592,119.177,116.294,116.442,8240351.740
20160203,117.711,121.010,116.066,120.762,7051653.970
20160204,120.009,123.765,119.900,122.477,5509068.940
20160205,122.496,123.031,119.920,121.426,5823334.956
20160208,119.563,120.217,116.175,118.424,5895808.717
20160209,116.898,118.880,116.348,117.780,3833298.850
20160210,118.160,119.460,116.270,116.380,4601193.000
20160211,113.180,113.400,102.100,108.421,32414456.000
20160212,105.120,109.840,105.000,108.640,12351612.000
20160216,109.730,112.760,109.000,112.610,6057147.000
20160217,114.160,116.830,113.990,116.360,6170778.000
20160218,116.910,118.230,116.680,117.570,6133307.000
20160219,117.310,117.350,114.420,115.230,6110601.000
20160222,116.500,118.978,116.030,117.390,4506731.000
20160223,116.970,118.500,115.930,116.890,3521375.000
20160224,115.370,115.960,112.500,115.570,6396784.000
20160225,116.180,117.600,115.780,116.820,4444417.000
20160226,117.750,119.450,117.450,118.160,3451021.000
20160229,118.480,119.470,117.500,118.140,3190358.000
20160301,119.010,120.990,118.250,119.940,4226297.000
20160302,119.700,120.750,118.500,119.590,3910193.000
20160303,118.840,119.760,118.250,119.600,3017318.000
20160304,120.170,122.230,119.820,121.070,4178070.000
20160307,120.800,123.323,120.520,122.900,4122109.000
20160308,122.100,122.970,121.310,122.350,4686454.000
20160309,122.380,123.270,122.020,122.830,3149868.000
20160310,123.140,123.830,121.430,122.930,3868853.000
20160311,124.130,125.500,123.860,124.630,2718402.000
20160314,124.040,127.000,123.855,126.360,3442434.000
20160315,125.550,126.370,124.210,126.330,3312952.000
20160316,126.240,128.130,125.750,127.580,3946287.000
20160317,128.000,131.600,127.420,130.700,5328122.000
20160318,131.240,134.680,131.010,133.990,7543036.000
20160321,133.460,136.790,133.310,135.870,5238860.000
20160322,135.190,136.130,134.770,135.120,4419019.000
20160323,134.990,135.000,132.740,132.900,4029220.000
20160324,131.640,132.230,130.020,132.120,4219192.000
