Date,Open,High,Low,Close,Volume
20160104,29.248,30.402,29.101,29.982,5986866.200
20160105,30.050,30.520,29.825,30.451,4320611.632
20160106,29.864,30.060,29.091,29.243,7486565.857
20160107,28.915,30.001,28.739,29.551,5769356.000
20160108,29.072,29.131,28.015,28.338,6601822.810
20160111,28.446,28.954,28.338,28.778,5534460.840
20160112,28.964,29.669,28.749,29.473,4634382.730
20160113,29.541,29.620,28.456,28.612,5688942.487
20160114,26.460,26.646,25.051,25.854,19497110.153
20160115,24.797,26.768,24.758,26.519,14148748.250
20160119,26.460,26.509,24.846,25.286,9873502.910
20160120,25.140,26.313,24.856,25.961,7245383.950
20160121,26.030,27.086,25.883,26.675,5511111.650
20160122,27.076,27.389,26.480,26.665,4055121.420
20160125,26.264,26.832,26.264,26.470,4836176.696
20160126,25.335,27.517,25.335,27.428,3913129.240
20160127,27.350,27.820,26.607,26.685,5455478.613
20160128,26.744,26.969,26.313,26.382,5338571.241
20160129,26.607,27.526,26.577,27.301,5202743.516
20160201,27.233,28.074,27.067,27.927,3952378.372
20160202,27.810,28.015,27.311,27.702,3463740.482
20160203,27.673,27.829,26.910,27.712,3769691.973
20160204,27.213,27.908,26.900,27.732,4771426.254
20160205,27.781,28.030,27.164,27.590,4206430.284
20160208,27.370,28.201,27.340,28.001,6152023.928
20160209,27.859,28.201,26.910,27.321,4990804.200
20160210,27.331,27.583,26.607,26.714,6271483.891
20160211,26.382,26.802,26.137,26.333,5221924.429
20160212,25.824,27.575,25.531,27.507,5735586.037
20160216,27.673,28.935,27.409,28.822,5555512.160
20160217,29.150,29.669,29.042,29.365,4838530.571
20160218,29.042,30.236,28.925,30.011,5900490.683
20160219,29.150,29.610,28.710,29.287,8012340.932
20160222,29.385,30.520,29.326,30.070,4468070.977
20160223,30.334,30.764,30.001,30.236,4951832.660
20160224,29.610,30.901,28.749,30.793,7711151.700
20160225,31.498,31.752,29.815,31.537,9290369.018
20160226,31.419,31.957,30.686,31.742,6735423.927
20160229,31.860,32.124,31.370,31.684,3749285.231
20160301,32.036,32.349,31.635,32.329,4713925.499
20160302,32.339,32.515,31.733,32.373,4099826.352
20160303,32.544,32.828,31.997,32.799,4268578.237
20160304,32.632,33.224,32.456,32.838,3953838.051
20160307,32.877,33.845,32.525,33.581,3706572.758
20160308,33.777,34.188,33.014,33.258,4473722.007
20160309,33.591,33.689,33.102,33.386,3635770.682
20160310,33.601,33.699,33.014,33.611,4333721.983
20160311,33.826,33.845,33.082,33.356,4909629.956
20160314,33.092,33.288,32.632,32.740,5645787.396
20160315,32.560,32.670,31.700,31.790,6800600.000
20160316,31.780,32.170,31.630,32.035,5287535.000
20160317,31.860,32.580,31.600,32.240,7289722.000
20160318,32.350,32.560,32.160,32.500,4795410.000
20160321,32.360,32.580,32.050,32.210,3051739.000
20160322,32.250,32.400,31.510,31.780,3305703.000
20160323,32.000,32.055,31.390,31.420,2242949.000
20160324,31.440,31.660,31.000,31.270,2524232.000
