Date,Open,High,Low,Close,Volume
20160104,49.474,49.922,48.687,49.743,1022319.929
20160105,50.112,50.132,48.876,49.135,953876.245
20160106,48.398,48.956,47.775,47.959,1034209.069
20160107,47.122,47.431,46.285,46.295,1108983.670
20160108,46.554,46.574,45.269,45.329,1267533.081
20160111,44.920,45.189,43.276,44.362,1959138.423
20160112,44.681,45.558,44.322,45.299,1694954.191
20160113,45.388,45.468,42.718,42.768,1605646.286
20160114,42.778,42.867,40.575,40.845,3674915.312
20160115,39.728,39.728,36.749,37.845,4255427.383
20160119,38.284,39.240,37.726,37.915,1706733.214
20160120,37.287,38.762,35.922,38.353,2243898.859
20160121,41.622,42.469,40.506,41.323,3638641.982
20160122,42.349,43.306,41.253,42.070,1464353.252
20160125,42.080,42.743,41.692,42.040,1299024.665
20160126,42.927,42.987,41.771,42.110,1735001.306
20160127,42.529,43.126,41.761,42.001,1338537.540
20160128,43.126,44.661,38.334,39.808,3626981.474
20160129,39.808,40.177,38.413,39.798,3800500.557
20160201,39.230,39.430,38.503,39.161,1886166.385
20160202,38.951,39.051,37.860,38.204,1795459.706
20160203,38.702,38.862,37.178,38.334,2224351.426
20160204,38.363,40.406,38.144,40.277,3299277.737
20160205,39.938,40.855,39.340,39.778,2343220.169
20160208,38.762,39.051,37.716,38.563,1630171.485
20160209,38.204,39.061,37.985,38.523,1194842.036
20160210,38.732,40.207,38.573,39.390,1760368.867
20160211,38.423,38.842,37.945,38.363,1488333.203
20160212,39.161,39.878,38.792,39.450,1197022.755
20160216,39.998,40.187,39.405,39.798,1860452.463
20160217,40.267,42.808,40.137,42.628,1849807.749
20160218,42.857,42.957,41.721,42.130,1480784.326
20160219,41.980,42.330,41.440,42.220,886577.000
20160222,42.780,44.130,42.740,44.040,1521614.000
20160223,43.820,44.380,42.710,42.840,1049035.000
20160224,41.990,42.030,40.760,41.720,1972554.000
20160225,41.940,42.450,41.680,42.440,1039134.000
20160226,42.920,43.270,42.220,42.540,1305586.000
20160229,42.610,43.170,42.520,42.520,750099.000
20160301,43.010,44.190,42.600,44.180,1085637.000
20160302,43.890,44.620,43.310,44.490,1219189.000
20160303,44.360,44.570,43.720,44.550,761588.000
20160304,44.510,45.073,44.000,44.910,1042144.000
20160307,44.590,45.360,44.480,45.010,915592.000
20160308,45.010,45.010,42.630,42.710,1144340.000
20160309,42.980,43.540,42.480,43.460,976779.000
20160310,43.620,44.025,43.000,43.600,920220.000
20160311,44.410,45.470,44.220,45.050,1267879.000
20160314,44.790,45.680,44.690,44.930,875433.000
20160315,44.610,44.650,43.820,44.040,493661.000
20160316,43.990,45.590,43.850,45.290,738820.000
20160317,45.230,46.870,44.960,46.590,1246663.000
20160318,46.800,48.220,46.630,47.160,1256649.000
20160321,47.140,47.480,46.790,47.220,835276.000
20160322,46.410,47.960,46.410,47.710,1308596.000
20160323,47.370,47.500,45.940,46.140,1049568.000
20160324,45.840,46.830,45.408,46.780,605923.000
