Date,Open,High,Low,Close,Volume
20160104,97.182,97.560,94.680,96.863,1166686.820
20160105,96.743,97.271,95.876,96.913,876206.085
20160106,95.817,96.335,94.700,95.019,1204640.432
20160107,93.993,95.149,92.777,93.046,929252.155
20160108,93.455,94.053,92.448,92.687,664943.431
20160111,93.594,93.943,92.508,93.554,500252.186
20160112,94.232,94.740,93.225,94.202,410459.733
20160113,94.362,94.660,90.944,91.193,490612.638
20160114,90.684,93.176,90.684,92.388,440502.008
20160115,91.222,92.897,89.937,91.631,589822.845
20160119,92.857,92.857,91.452,92.289,540384.316
20160120,91.302,92.309,89.768,91.531,601235.450
20160121,91.262,92.070,89.937,90.326,589969.335
20160122,91.701,92.219,90.884,91.890,336620.655
20160125,91.810,92.887,90.993,91.860,506798.913
20160126,92.279,94.441,92.279,93.415,576110.258
20160127,93.026,94.202,91.761,92.468,405467.330
20160128,92.687,94.820,92.687,94.471,686515.114
20160129,95.438,97.570,94.471,97.411,758152.661
20160201,96.683,97.232,95.029,95.926,664582.116
20160202,94.969,96.006,94.675,95.468,485640.579
20160203,95.976,96.923,94.870,96.006,642279.776
20160204,96.365,97.012,95.004,95.926,798179.620
20160205,95.448,96.564,94.312,96.096,779541.945
20160208,95.169,95.348,93.226,93.973,925440.931
20160209,93.674,96.385,93.514,95.557,832404.275
20160210,95.986,96.464,94.541,94.930,703873.461
20160211,93.734,95.677,93.525,95.194,786622.465
20160212,96.594,97.092,95.348,96.654,528135.808
20160216,97.411,98.188,96.863,97.840,684019.615
20160217,98.368,99.962,97.919,99.474,536250.000
20160218,99.254,100.959,98.856,100.829,1004130.442
20160219,101.008,101.935,99.932,101.646,728438.190
20160222,102.045,102.832,101.905,102.424,365065.124
20160223,102.344,102.713,101.188,102.404,512000.017
20160224,101.826,102.394,100.859,102.015,398149.981
20160225,102.404,103.061,101.098,103.021,407307.824
20160226,101.656,102.354,99.514,99.763,732824.774
20160229,99.115,100.161,98.099,98.128,927727.983
20160301,99.314,99.434,96.972,97.321,976699.923
20160302,94.401,95.936,91.860,95.877,1636034.717
20160303,95.667,96.743,94.491,96.494,994006.862
20160304,95.119,97.770,94.053,97.680,1259217.873
20160307,96.860,98.140,95.660,97.530,742962.000
20160308,97.070,98.690,96.600,98.020,572927.000
20160309,98.010,98.960,96.940,97.340,326824.000
20160310,97.790,98.480,97.040,97.510,469435.000
20160311,98.180,98.620,97.520,97.890,508347.000
20160314,97.360,98.750,97.340,97.370,598129.000
20160315,96.880,97.700,95.720,95.780,1028134.000
20160316,95.600,96.040,94.310,95.350,545128.000
20160317,95.500,98.120,94.990,97.830,690013.000
20160318,97.900,98.270,97.650,97.700,554212.000
20160321,97.540,98.130,97.341,97.730,397423.000
20160322,97.340,98.250,96.990,97.460,537905.000
20160323,97.520,97.820,96.490,96.620,342046.000
20160324,96.350,97.240,96.040,96.450,295109.000
