Date,Open,High,Low,Close,Volume
20160104,37.859,38.785,37.481,38.138,790587.940
20160105,38.357,38.595,37.371,38.148,978584.827
20160106,37.779,38.038,37.093,37.610,717001.729
20160107,37.093,38.058,36.973,37.391,823595.073
20160108,37.322,38.167,36.694,36.824,1312463.951
20160111,37.132,37.336,36.147,36.555,777428.225
20160112,37.640,40.442,37.292,38.377,1910092.835
20160113,38.287,38.357,36.963,37.033,998131.914
20160114,36.894,37.461,35.829,36.436,1239947.637
20160115,35.789,36.884,34.406,35.789,951757.121
20160119,36.177,36.356,35.331,35.709,907103.578
20160120,35.331,36.257,34.634,35.978,730567.380
20160121,36.177,37.132,35.729,36.137,918999.279
20160122,36.625,36.824,36.117,36.615,568051.736
20160125,36.476,36.605,35.849,35.928,352096.897
20160126,36.008,37.411,36.008,37.192,373999.156
20160127,37.132,37.531,36.525,36.894,449336.677
20160128,37.182,37.441,36.675,37.123,334747.333
20160129,37.272,38.625,37.272,38.625,453494.576
20160201,38.217,39.043,38.028,39.023,822602.333
20160202,38.814,39.163,38.526,39.013,695485.382
20160203,39.203,39.242,38.108,38.844,710186.129
20160204,38.297,38.396,36.879,37.521,867355.357
20160205,37.521,37.978,36.864,37.172,664510.341
20160208,36.844,37.093,36.276,36.943,625963.443
20160209,36.645,37.073,36.023,36.157,429727.380
20160210,36.406,37.152,36.326,36.446,474379.005
20160211,36.078,36.476,35.689,35.998,421292.268
20160212,36.197,36.535,35.774,36.078,628651.979
20160216,36.436,37.710,36.217,37.426,914797.197
20160217,37.590,38.128,37.262,37.590,831754.849
20160218,37.262,38.078,36.267,37.839,1090057.945
20160219,37.590,37.759,36.943,37.570,676974.157
20160222,37.381,38.098,37.381,37.926,604915.179
20160223,38.347,38.794,37.819,38.506,715068.527
20160224,38.357,39.730,38.177,39.591,699053.257
20160225,39.849,39.889,39.098,39.640,609705.151
20160226,39.740,40.258,39.521,40.138,480016.775
20160229,40.078,40.675,39.919,40.258,470891.416
20160301,40.178,41.521,39.849,41.502,865618.124
20160302,41.312,41.472,40.695,41.402,622370.343
20160303,41.054,41.830,41.034,41.671,1288084.052
20160304,42.198,43.761,42.178,42.696,1696103.591
20160307,42.885,45.910,42.258,45.283,2144484.094
20160308,45.413,45.691,44.288,44.378,790846.124
20160309,44.567,44.816,43.950,44.656,510006.446
20160310,45.005,45.701,44.258,45.433,998964.620
20160311,45.642,45.846,45.283,45.393,669837.296
20160314,45.691,45.791,44.218,44.666,833196.655
20160315,44.497,44.726,43.771,43.910,648488.541
20160316,43.090,44.140,43.040,43.870,855915.000
20160317,43.780,44.890,43.330,44.750,797438.000
20160318,44.730,45.230,44.350,44.650,713907.000
20160321,44.480,45.300,44.380,45.230,657928.000
20160322,45.040,45.330,44.430,44.800,647775.000
20160323,44.690,44.690,43.460,43.780,834545.000
20160324,43.510,44.540,43.240,44.220,726031.000
