Date,Open,High,Low,Close,Volume
20160104,43.672,43.910,43.066,43.901,738397.369
20160105,43.920,44.209,43.742,44.099,533005.775
20160106,43.682,44.467,43.453,44.189,652421.071
20160107,43.463,44.388,43.275,43.722,1475286.831
20160108,44.875,44.994,43.871,43.950,1052263.681
20160111,44.090,44.745,43.722,44.070,1104634.121
20160112,44.258,44.596,44.030,44.368,683467.490
20160113,44.557,45.014,43.771,43.970,887632.497
20160114,44.060,44.239,43.692,44.070,673239.913
20160115,43.135,43.920,42.857,43.871,904595.957
20160119,44.248,44.368,43.434,43.920,655421.379
20160120,43.374,43.930,42.191,43.503,989991.902
20160121,43.483,43.920,43.016,43.026,709847.282
20160122,43.583,44.268,43.523,44.199,852508.539
20160125,43.930,43.930,42.638,42.976,915083.939
20160126,42.966,43.742,42.867,43.652,824406.057
20160127,43.473,44.050,43.275,43.463,1013505.240
20160128,43.493,46.028,43.483,45.123,1878115.533
20160129,45.392,47.578,45.262,47.568,1539506.070
20160201,47.320,47.320,46.286,46.932,1043045.519
20160202,46.515,47.379,46.028,47.330,762941.041
20160203,47.588,48.005,46.892,47.528,822957.172
20160204,47.439,47.667,46.743,47.240,889308.754
20160205,47.270,48.383,47.210,47.767,1263976.918
20160208,47.330,47.369,46.266,46.783,1131305.697
20160209,46.336,48.642,46.177,48.254,1133011.108
20160210,48.433,48.960,48.075,48.234,808994.047
20160211,47.399,47.966,47.111,47.260,664724.040
20160212,47.550,48.140,47.380,47.820,699607.000
20160216,48.280,48.490,47.390,47.890,583953.000
20160217,48.080,48.275,47.310,47.780,1038583.000
20160218,47.750,47.940,47.250,47.610,638708.000
20160219,47.720,48.060,46.660,47.650,578344.000
20160222,48.050,48.370,47.270,47.420,780251.000
20160223,47.330,47.630,47.010,47.550,564480.000
20160224,47.190,48.680,47.190,48.400,543315.000
20160225,48.570,48.840,48.340,48.770,342851.000
20160226,49.000,49.380,48.700,48.780,433660.000
20160229,48.840,49.500,48.820,49.050,615519.000
20160301,49.450,50.370,49.190,50.070,849703.000
20160302,49.890,50.560,49.570,49.970,703273.000
20160303,49.950,50.580,49.740,50.530,391697.000
20160304,50.360,51.090,50.190,50.840,495162.000
20160307,50.710,50.980,49.990,50.530,665887.000
20160308,50.170,50.820,50.030,50.580,760895.000
20160309,50.710,51.310,50.620,51.150,888924.000
20160310,51.410,51.610,51.000,51.480,618473.000
20160311,51.940,52.190,51.740,51.990,479285.000
20160314,51.840,52.410,51.580,52.050,657055.000
20160315,51.710,52.460,51.420,52.240,725739.000
20160316,52.010,53.000,52.010,52.700,632706.000
20160317,52.840,54.190,52.735,54.070,731010.000
20160318,52.440,53.100,51.961,52.210,1467900.000
20160321,52.210,52.570,52.200,52.440,509184.000
20160322,52.150,52.880,52.130,52.680,414819.000
20160323,52.530,52.790,52.050,52.080,440815.000
20160324,51.910,52.180,51.470,51.850,480122.000
