Date,Open,High,Low,Close,Volume
20160104,67.450,67.910,66.380,67.030,6096612.000
20160105,67.500,68.900,67.410,68.340,7144347.000
20160106,67.300,68.290,66.840,67.160,5749582.000
20160107,65.850,66.690,64.950,65.290,7549528.000
20160108,65.600,65.750,63.500,63.630,8131936.000
20160111,63.710,63.990,61.980,62.950,8499675.000
20160112,63.250,63.797,62.120,63.440,6790633.000
20160113,63.600,64.490,61.180,61.190,8802525.000
20160114,61.320,63.905,60.890,63.500,7078760.000
20160115,61.690,62.920,61.070,62.780,9500867.000
20160119,63.540,64.430,62.560,63.220,6573716.000
20160120,62.240,64.580,61.800,63.560,7929105.000
20160121,63.580,63.970,62.490,63.120,5210014.000
20160122,64.460,64.890,63.650,64.410,6076551.000
20160125,64.230,64.420,62.640,62.920,6273599.000
20160126,62.920,63.050,61.920,62.690,4990880.000
20160127,62.940,62.960,61.160,61.760,7116905.000
20160128,63.960,64.250,60.000,61.160,16055507.000
20160129,61.650,62.640,61.160,62.090,8148111.000
20160201,61.870,62.360,60.040,60.800,9096088.000
20160202,60.030,60.300,58.460,58.860,9045048.000
20160203,59.200,60.180,57.940,60.100,7694577.000
20160204,59.620,60.750,59.190,59.700,7220859.000
20160205,59.560,60.060,58.990,59.650,6349762.000
20160208,59.040,61.170,58.770,60.720,9785890.000
20160209,60.270,61.980,60.030,61.020,5939438.000
20160210,61.490,62.420,60.920,61.070,5046419.000
20160211,59.880,60.250,58.930,59.540,5924895.000
20160212,60.200,60.410,59.150,60.190,4986009.000
20160216,62.720,62.760,61.350,62.190,6656144.000
20160217,62.890,64.020,61.960,63.910,6265322.000
20160218,63.950,64.020,62.900,63.320,5829538.000
20160219,62.920,64.540,62.910,63.800,5345485.000
20160222,64.010,64.420,63.330,63.690,5179923.000
20160223,63.280,63.350,62.020,62.080,5658795.000
20160224,61.840,62.360,60.833,62.240,4326197.000
20160225,62.630,63.060,62.290,63.050,4194194.000
20160226,63.350,63.580,62.240,62.240,4765694.000
20160229,62.400,62.740,61.920,61.930,5494665.000
20160301,62.310,64.240,61.900,64.220,4566506.000
20160302,64.180,65.090,63.710,64.890,5766215.000
20160303,64.490,65.240,63.640,65.010,7316476.000
20160304,65.000,65.290,64.170,64.700,5995187.000
20160307,64.500,66.630,64.450,66.480,6277916.000
20160308,66.110,66.360,65.720,66.250,5335776.000
20160309,66.660,66.695,64.941,65.540,4847755.000
20160310,66.240,66.260,64.480,64.930,5410384.000
20160311,65.180,65.600,64.540,64.940,6172195.000
20160314,64.680,64.702,64.010,64.140,4883935.000
20160315,63.970,64.280,63.320,63.680,4651248.000
20160316,63.380,64.320,62.210,62.660,6855722.000
20160317,62.520,62.610,60.980,61.470,8332726.000
20160318,61.540,62.760,61.000,62.670,8578472.000
20160321,62.530,62.875,62.120,62.690,3648213.000
20160322,62.580,63.250,62.380,62.800,4742055.000
20160323,63.080,63.090,62.255,62.330,3208933.000
20160324,62.160,62.560,61.730,62.550,3985603.000
