Date,Open,High,Low,Close,Volume
20160104,7.600,7.870,7.330,7.770,866717.000
20160105,7.850,7.850,7.215,7.470,745501.000
20160106,7.340,7.590,7.170,7.340,978295.000
20160107,7.120,7.160,6.500,6.650,1072749.000
20160108,6.650,6.820,6.620,6.670,660086.000
20160111,6.650,6.690,5.250,5.330,2350494.000
20160112,5.230,5.250,4.310,4.480,2297832.000
20160113,4.540,5.330,3.970,4.090,2019857.000
20160114,4.180,4.650,3.970,4.210,1506478.000
20160115,4.010,4.200,3.750,3.920,1341165.000
20160119,3.980,4.030,3.440,3.470,1514612.000
20160120,3.360,3.530,2.830,3.370,1515011.000
20160121,3.320,3.720,3.130,3.370,2031586.000
20160122,3.570,4.070,3.250,3.455,2451221.000
20160125,3.660,4.300,3.610,3.730,2528744.000
20160126,3.790,4.185,3.530,4.015,1716852.000
20160127,4.050,4.380,3.840,4.010,1905709.000
20160128,4.260,4.260,3.800,3.990,876942.000
20160129,4.000,4.600,4.000,4.450,1667630.000
20160201,4.530,4.740,4.135,4.560,1094481.000
20160202,4.440,4.440,4.100,4.260,784537.000
20160203,4.310,4.400,3.770,4.180,1017133.000
20160204,4.110,4.640,4.110,4.600,1093246.000
20160205,4.550,4.660,4.120,4.240,736685.000
20160208,4.140,4.250,3.860,3.910,761580.000
20160209,3.950,3.960,3.350,3.380,1051396.000
20160210,4.300,4.430,3.280,3.360,2657775.000
20160211,2.900,2.970,2.150,2.360,3980848.000
20160212,2.420,2.570,2.270,2.370,1408349.000
20160216,2.440,2.500,2.250,2.300,1288892.000
20160217,2.250,2.640,2.200,2.480,1701452.000
20160218,2.410,2.450,2.200,2.300,1801482.000
20160219,2.220,2.370,2.010,2.030,1929675.000
20160222,2.100,2.340,2.100,2.140,2233374.000
20160223,2.190,2.250,2.020,2.110,1415628.000
20160224,2.110,2.315,2.100,2.290,1526210.000
20160225,2.310,2.370,2.170,2.300,1674775.000
20160226,2.330,2.390,2.180,2.210,2363068.000
20160229,2.290,2.460,2.260,2.420,3124711.000
20160301,2.480,2.500,2.220,2.430,2028332.000
20160302,2.470,2.470,2.340,2.430,2088759.000
20160303,2.390,3.345,2.350,3.230,6042747.000
20160304,3.300,4.100,3.060,3.400,8419057.000
20160307,3.650,4.950,3.500,4.780,6354098.000
20160308,4.590,4.830,4.050,4.540,4317974.000
20160309,4.720,6.240,4.410,5.874,15513813.000
20160310,5.830,7.130,5.460,6.370,13572277.000
20160311,6.420,7.070,6.310,6.540,8878828.000
20160314,6.090,6.250,4.160,4.450,10592683.000
20160315,4.305,4.470,3.920,4.010,4599092.000
20160316,2.140,2.490,2.000,2.190,10039012.000
20160317,2.530,2.690,2.200,2.365,6193731.000
20160318,2.480,2.520,2.250,2.450,4185062.000
20160321,2.400,2.540,2.230,2.520,2471574.000
20160322,2.500,2.700,2.320,2.660,1766898.000
20160323,2.460,2.490,2.350,2.400,2025884.000
20160324,2.320,2.785,2.290,2.555,2513566.000
