Date,Open,High,Low,Close,Volume
20160104,42.311,42.480,41.623,42.092,1842385.735
20160105,42.440,42.545,40.976,41.404,1707897.647
20160106,40.568,40.607,39.611,40.040,1431398.076
20160107,39.103,39.133,37.439,37.580,2223462.003
20160108,38.227,38.406,36.374,36.444,2304491.501
20160111,36.773,37.350,36.255,36.743,2568894.194
20160112,37.370,37.520,36.334,37.251,1985164.702
20160113,35.349,36.803,32.858,33.705,8366770.100
20160114,33.755,33.785,31.922,32.729,6135256.691
20160115,31.135,31.355,30.169,30.946,4117377.749
20160119,31.384,31.414,29.900,30.219,4531631.609
20160120,29.791,30.448,28.486,30.010,3137158.941
20160121,30.099,30.514,29.079,29.093,3975983.593
20160122,29.860,30.229,28.635,28.974,4182451.732
20160125,28.805,28.884,28.048,28.117,3635692.467
20160126,28.546,28.874,28.346,28.635,2302373.251
20160127,28.675,29.661,28.675,28.874,2512826.927
20160128,29.362,29.502,28.187,28.346,2358376.295
20160129,28.476,29.283,28.277,29.243,4464370.471
20160201,28.924,29.731,28.705,29.641,1902375.188
20160202,29.333,29.432,28.386,28.605,2167453.341
20160203,28.874,28.894,27.570,28.346,2295186.604
20160204,28.247,29.641,27.918,29.621,2767699.396
20160205,29.591,30.090,29.223,29.323,2784169.610
20160208,28.884,29.163,28.277,28.914,2136866.350
20160209,28.556,29.860,28.426,29.482,3212611.840
20160210,29.651,30.453,29.343,30.239,4529913.236
20160211,28.894,31.026,28.645,30.040,4236882.409
20160212,30.508,31.715,30.159,31.604,3313476.213
20160216,32.121,32.331,31.454,32.271,2633475.906
20160217,32.749,34.382,32.749,33.446,2904298.742
20160218,33.655,33.705,32.420,32.500,2859337.694
20160219,32.331,32.440,31.484,32.171,1959127.704
20160222,32.829,33.237,32.370,32.759,1557819.140
20160223,32.599,33.157,31.740,31.992,1972102.576
20160224,31.623,32.360,31.035,32.291,1869476.231
20160225,32.440,32.968,31.633,32.470,1551588.499
20160226,32.890,33.420,32.610,33.040,1775779.000
20160229,33.070,33.740,32.510,32.670,1992244.000
20160301,33.850,34.675,33.120,34.160,3050096.000
20160302,34.210,34.740,33.960,34.720,1482761.000
20160303,34.740,35.710,34.590,35.070,1624762.000
20160304,35.080,35.280,34.050,35.000,1569681.000
20160307,34.790,35.460,34.670,35.450,1257034.000
20160308,35.000,35.340,33.860,34.400,1888990.000
20160309,34.700,35.270,34.530,35.110,1901552.000
20160310,35.180,35.230,33.960,34.640,1892636.000
20160311,35.120,35.980,34.840,35.930,1393813.000
20160314,35.690,36.030,35.420,35.940,1487557.000
20160315,35.430,35.760,35.190,35.660,1037887.000
20160316,35.540,37.160,35.500,37.100,1800034.000
20160317,37.100,37.745,36.550,37.620,1410559.000
20160318,37.870,38.570,37.430,37.970,2207471.000
20160321,37.930,38.249,37.215,37.780,1039959.000
20160322,37.370,37.800,36.940,37.550,964964.000
20160323,37.380,37.540,36.580,36.730,1049799.000
20160324,36.170,36.920,35.810,36.910,1328634.000
