Date,Open,High,Low,Close,Volume
20160104,40.508,41.197,39.759,41.127,11242118.860
20160105,40.948,41.517,40.449,41.427,5770899.389
20160106,40.788,41.197,38.422,39.251,11710282.631
20160107,38.492,41.577,37.943,40.469,9715700.756
20160108,41.028,41.187,39.750,39.940,5871599.775
20160111,41.117,41.117,38.592,39.051,31391862.910
20160112,39.940,40.329,39.410,40.259,21897722.210
20160113,40.678,41.307,40.219,40.289,16940977.440
20160114,40.309,41.018,40.009,40.938,8804806.000
20160115,40.209,40.928,39.930,40.189,10253913.490
20160119,40.658,41.108,40.239,40.648,10473474.258
20160120,40.009,40.608,39.620,40.209,7761999.688
20160121,40.029,40.868,39.790,40.588,9123603.880
20160122,40.938,41.776,40.858,41.726,5657230.187
20160125,41.507,42.305,41.427,41.577,6579051.204
20160126,41.687,41.687,40.768,40.978,6417871.587
20160127,40.678,41.137,39.890,40.009,11754385.972
20160128,39.750,40.029,38.592,39.720,22593074.100
20160129,40.309,40.329,39.351,39.920,6935919.100
20160201,39.790,40.239,39.590,40.089,8121607.601
20160202,39.989,40.069,39.386,39.720,5473202.725
20160203,39.820,39.980,38.512,39.021,5578558.790
20160204,39.510,39.510,38.712,38.812,7670180.013
20160205,38.931,38.941,37.843,37.933,8131456.217
20160208,37.833,37.843,36.036,36.426,10212891.370
20160209,36.306,36.955,36.116,36.715,4944442.161
20160210,36.835,37.933,36.835,37.394,6339152.080
20160211,37.763,37.913,36.610,36.915,4895738.918
20160212,37.184,38.642,37.184,38.492,5850624.670
20160216,38.582,38.941,38.417,38.901,3263135.390
20160217,39.361,40.179,39.281,40.009,6477826.630
20160218,39.760,39.900,39.166,39.311,3082368.910
20160219,39.181,39.590,38.822,39.331,3445369.286
20160222,39.720,39.840,39.251,39.450,3300139.261
20160223,39.221,39.410,38.921,39.221,2933895.098
20160224,38.572,39.001,38.402,38.921,3663996.772
20160225,39.231,39.500,38.941,39.430,3268169.442
20160226,39.440,39.770,39.081,39.101,3555965.155
20160229,39.001,39.151,38.233,38.412,5488739.849
20160301,38.692,39.410,38.472,39.341,6545618.788
20160302,39.550,40.019,39.450,39.820,7505194.734
20160303,39.590,39.690,39.006,39.231,4426881.158
20160304,39.021,39.630,39.021,39.391,4632486.665
20160307,39.191,39.720,39.061,39.680,8272206.052
20160308,39.470,39.670,39.040,39.045,4621361.000
20160309,39.160,39.500,39.060,39.220,3501277.000
20160310,39.630,39.930,39.080,39.410,8472364.000
20160311,39.670,39.800,38.925,39.400,6111289.000
20160314,39.200,39.710,39.180,39.420,8312726.000
20160315,39.100,39.430,38.030,38.120,6761855.000
20160316,38.090,38.420,37.440,38.050,9873267.000
20160317,38.220,38.410,37.860,38.250,25736541.000
20160318,38.540,39.240,38.470,39.100,10250289.000
20160321,39.400,40.115,39.280,39.840,12708309.000
20160322,39.800,40.230,39.700,40.195,6911303.000
20160323,40.110,40.285,39.980,40.050,7709080.000
20160324,39.840,40.340,39.710,40.070,8971036.000
