Date,Open,High,Low,Close,Volume
20160104,35.510,36.080,34.517,36.070,1778186.000
20160105,36.320,36.320,35.065,35.400,1276045.000
20160106,34.730,34.810,33.060,33.510,2557927.000
20160107,32.400,33.560,31.230,31.520,3085955.000
20160108,31.750,32.104,29.920,30.690,2885701.000
20160111,30.910,31.330,29.550,30.080,2349374.000
20160112,30.360,30.860,28.840,29.310,2539262.000
20160113,29.560,29.690,26.870,27.190,4133558.000
20160114,27.250,27.350,25.080,26.905,6195654.000
20160115,25.890,26.500,24.590,25.230,5129190.000
20160119,25.910,26.190,24.210,24.720,3672094.000
20160120,24.060,25.080,22.935,24.880,4966670.000
20160121,24.880,25.920,24.840,25.270,2433615.000
20160122,25.960,27.100,25.860,26.080,3388603.000
20160125,25.900,26.070,25.250,25.360,2010909.000
20160126,25.590,28.040,25.590,27.520,4058348.000
20160127,27.300,28.100,26.590,26.670,2557036.000
20160128,26.960,27.190,25.080,25.880,2372470.000
20160129,26.050,26.550,25.310,26.270,3792631.000
20160201,25.930,26.740,25.620,26.460,2803884.000
20160202,25.930,25.960,23.790,24.290,3292935.000
20160203,24.420,25.460,23.392,25.300,2657314.000
20160204,25.170,26.605,25.070,26.550,2632054.000
20160205,26.160,26.400,25.330,25.905,3446605.000
20160208,25.360,25.800,23.970,24.610,3392799.000
20160209,24.240,25.470,24.050,24.900,3358922.000
20160210,24.900,26.310,24.900,25.680,3027071.000
20160211,25.020,25.820,24.270,24.720,2669055.000
20160212,24.890,26.130,24.520,26.000,2059857.000
20160216,26.580,27.860,25.340,27.600,2191300.000
20160217,27.890,30.970,27.760,29.660,4180996.000
20160218,29.690,29.690,28.250,29.230,1848232.000
20160219,28.870,29.200,28.040,29.060,1717026.000
20160222,29.600,30.500,29.190,29.690,2169416.000
20160223,29.600,30.870,29.390,30.000,3104035.000
20160224,24.900,25.460,21.910,22.040,25420150.000
20160225,22.060,24.523,21.730,23.770,9205696.000
20160226,23.940,25.190,23.650,24.704,3686204.000
20160229,24.970,26.440,24.750,25.650,3698068.000
20160301,26.120,26.740,25.200,26.620,3157806.000
20160302,26.800,27.880,25.770,27.790,3151846.000
20160303,27.840,28.790,27.830,28.240,2399386.000
20160304,28.000,29.380,27.850,28.520,2624403.000
20160307,28.340,28.640,27.350,28.140,2754608.000
20160308,27.930,28.170,26.400,26.420,2148725.000
20160309,26.780,27.250,25.960,26.610,2454709.000
20160310,26.700,27.170,25.050,25.870,2277565.000
20160311,26.670,27.500,26.080,27.470,2037054.000
20160314,27.070,27.770,26.390,27.000,2245915.000
20160315,26.820,26.860,25.574,26.300,2221190.000
20160316,26.080,27.379,25.940,27.130,1523293.000
20160317,27.140,28.610,27.100,28.610,2298133.000
20160318,28.840,30.840,28.510,29.000,3058413.000
20160321,28.890,29.470,28.160,29.000,1608823.000
20160322,28.900,29.790,28.410,29.020,1673093.000
20160323,28.740,29.060,27.390,27.530,1416213.000
20160324,27.260,27.330,26.429,27.050,1968050.000
