Date,Open,High,Low,Close,Volume
20160104,47.984,48.372,47.498,48.372,2904392.822
20160105,48.412,48.581,47.011,47.666,3347567.063
20160106,47.169,47.617,46.802,47.617,3374983.835
20160107,47.120,47.378,46.355,46.682,3150235.234
20160108,46.832,47.110,46.086,46.185,2376715.153
20160111,46.265,46.612,45.798,46.156,1205761.697
20160112,46.315,46.764,46.046,46.603,1166717.207
20160113,46.563,46.812,45.867,45.967,2213282.851
20160114,45.927,46.215,45.679,45.887,2080574.699
20160115,45.013,45.896,44.983,45.619,3273651.721
20160119,46.017,46.243,45.768,46.017,1834935.331
20160120,45.440,45.887,44.228,45.559,2819916.006
20160121,45.470,45.709,44.685,44.884,2567012.245
20160122,45.380,45.440,44.884,45.072,1771161.741
20160125,44.854,45.639,44.854,45.361,1904833.749
20160126,45.371,45.937,45.256,45.609,1394126.951
20160127,45.629,45.793,44.884,45.192,962785.429
20160128,45.400,45.937,45.162,45.758,1313647.148
20160129,45.987,46.320,45.728,46.126,1619378.797
20160201,46.255,47.219,46.136,46.861,2350076.327
20160202,46.384,46.523,45.977,46.036,1123447.748
20160203,46.136,46.295,45.321,46.046,1190826.446
20160204,45.838,46.474,45.738,46.424,1829318.174
20160205,47.130,47.289,46.225,46.444,1900951.159
20160208,46.046,46.613,45.822,46.384,2444028.718
20160209,45.858,47.607,45.838,47.328,1779019.970
20160210,47.438,47.686,47.229,47.299,1467539.370
20160211,46.504,47.666,46.126,46.941,1820335.034
20160212,47.199,47.945,46.633,47.885,1139279.648
20160216,48.303,48.770,47.905,48.491,1201325.726
20160217,48.730,49.197,48.452,48.750,1571461.412
20160218,48.690,48.690,48.193,48.303,1336805.705
20160219,48.362,48.919,48.193,48.630,1043928.249
20160222,48.909,49.277,48.869,49.068,868353.390
20160223,48.869,49.227,48.561,48.715,1041131.922
20160224,48.571,49.197,48.243,49.147,726407.669
20160225,49.038,49.823,48.750,49.803,846191.997
20160226,49.724,49.873,48.377,48.780,1419663.094
20160229,48.730,48.804,48.223,48.233,829752.027
20160301,48.471,48.949,48.253,48.710,1292299.742
20160302,48.600,48.920,48.360,48.455,1269415.000
20160303,48.390,49.330,48.010,49.220,1132362.000
20160304,49.130,49.492,48.910,49.410,635471.000
20160307,49.280,49.510,48.970,49.080,684346.000
20160308,49.030,49.210,48.650,48.960,653308.000
20160309,49.120,49.720,48.960,49.655,800269.000
20160310,49.770,50.490,49.580,50.040,751379.000
20160311,50.350,50.600,50.150,50.340,735360.000
20160314,50.150,50.750,50.080,50.670,925283.000
20160315,50.280,50.900,50.080,50.250,1311587.000
20160316,49.870,50.040,48.800,49.700,2016104.000
20160317,49.830,50.420,49.700,50.190,1844200.000
20160318,50.230,50.250,49.020,49.530,2612824.000
20160321,49.420,50.055,49.220,49.660,1017759.000
20160322,49.640,49.820,49.400,49.520,707531.000
20160323,49.380,50.060,49.120,49.820,1221761.000
20160324,49.640,49.950,49.420,49.590,1663549.000
