Date,Open,High,Low,Close,Volume
20160104,84.751,85.038,83.940,84.514,1924275.801
20160105,84.643,86.271,84.643,86.246,1939585.525
20160106,85.603,86.285,85.266,85.523,1974678.638
20160107,84.544,84.890,82.792,83.396,2717037.378
20160108,83.900,83.960,82.000,82.248,1808219.067
20160111,82.752,83.346,82.446,82.832,1307404.457
20160112,83.336,83.732,82.683,83.218,1703433.976
20160113,83.594,84.900,81.169,81.941,2916913.597
20160114,82.169,83.791,81.436,83.069,1678536.856
20160115,81.377,82.209,77.597,78.309,6351331.262
20160119,79.091,80.555,78.408,78.626,3676104.230
20160120,78.349,78.675,74.928,77.409,4388353.170
20160121,77.636,79.229,77.220,78.289,2363526.295
20160122,79.556,81.100,79.071,80.773,2040558.459
20160125,80.734,81.327,80.288,80.377,1723073.244
20160126,81.654,83.514,81.347,82.743,2668724.972
20160127,82.515,83.653,81.703,82.406,1783140.274
20160128,81.644,85.088,81.644,83.910,2690536.624
20160129,84.613,85.405,84.088,85.256,2635289.584
20160201,84.732,86.355,84.662,85.919,2288513.456
20160202,85.335,85.949,84.761,85.326,1924357.223
20160203,85.415,86.023,83.544,85.899,2319998.783
20160204,85.603,85.949,84.761,85.316,1645318.207
20160205,84.831,85.227,82.604,83.158,2088660.945
20160208,83.791,83.791,79.210,80.852,2489944.720
20160209,79.912,81.862,79.447,81.377,2279701.538
20160210,81.595,82.367,80.818,80.981,1360028.248
20160211,79.259,81.179,79.160,80.644,1971489.249
20160212,81.990,82.367,81.288,82.267,1847114.213
20160216,83.307,83.495,82.594,83.109,1193593.725
20160217,83.297,84.108,83.079,83.791,1867743.866
20160218,84.227,85.979,83.504,85.157,2206360.940
20160219,84.712,85.068,83.851,84.563,1964011.079
20160222,85.227,86.592,84.860,85.820,2004216.837
20160223,85.385,85.810,84.949,85.454,1938680.021
20160224,85.019,86.018,84.702,85.405,1809817.999
20160225,86.048,87.344,85.137,85.820,2943269.813
20160226,84.405,85.504,83.693,84.910,2582697.025
20160229,84.930,86.335,84.801,85.603,1755482.585
20160301,86.097,86.850,85.612,86.830,1820354.157
20160302,86.691,87.542,86.355,87.483,1465979.738
20160303,87.532,87.582,86.216,86.978,2248728.364
20160304,86.731,86.988,86.147,86.325,2004920.433
20160307,85.899,86.216,84.969,85.375,1746082.830
20160308,85.019,85.612,84.484,84.623,2295010.234
20160309,84.831,85.108,83.791,84.346,2773849.706
20160310,85.622,85.860,83.623,84.118,2182081.260
20160311,84.850,84.979,83.791,84.860,2736668.892
20160314,84.435,84.613,83.514,84.108,2816365.782
20160315,83.732,84.920,83.455,84.415,2776405.402
20160316,84.330,85.115,84.060,85.010,2899197.000
20160317,85.260,86.800,85.130,85.950,3650864.000
20160318,85.960,86.800,85.840,86.390,2996882.000
20160321,86.140,86.410,85.520,85.930,1838003.000
20160322,85.950,86.270,85.700,85.980,1753789.000
20160323,85.430,86.210,85.430,85.630,1454674.000
20160324,85.630,85.720,85.000,85.580,1873140.000
