Date,Open,High,Low,Close,Volume
20160104,4.440,4.970,4.400,4.970,36707074.000
20160105,4.890,5.090,4.840,5.010,22803489.000
20160106,4.770,4.875,4.600,4.690,23763043.000
20160107,4.430,4.640,4.350,4.410,22959692.000
20160108,4.440,4.530,4.260,4.430,27161874.000
20160111,4.490,4.500,4.080,4.170,23057531.000
20160112,4.270,4.280,3.750,4.060,28380283.000
20160113,4.100,4.180,3.610,3.640,19537919.000
20160114,3.610,3.820,3.560,3.710,27632715.000
20160115,3.480,3.600,3.280,3.570,23837451.000
20160119,3.580,3.610,2.950,3.080,25151841.000
20160120,2.860,3.450,2.690,3.310,35944366.000
20160121,3.250,3.660,3.170,3.520,23525833.000
20160122,3.830,4.150,3.460,3.510,32778564.000
20160125,3.270,3.600,2.950,2.965,24530753.000
20160126,3.080,3.250,2.880,3.190,26007246.000
20160127,3.220,3.630,3.170,3.267,27513719.000
20160128,3.520,3.570,3.100,3.164,28503725.000
20160129,3.190,3.460,3.160,3.370,23716916.000
20160201,3.340,3.380,3.100,3.200,15460533.000
20160202,3.120,3.140,2.990,3.000,16772421.000
20160203,3.080,3.390,2.750,3.370,26536111.000
20160204,3.400,3.650,3.190,3.250,37293578.000
20160205,3.210,3.260,3.030,3.070,20443379.000
20160208,2.560,2.590,1.500,2.050,114284553.000
20160209,2.090,2.090,1.800,1.940,37573805.000
20160210,1.990,2.010,1.630,1.690,31531794.000
20160211,1.660,1.810,1.530,1.765,46890702.000
20160212,1.850,1.890,1.560,1.590,42603231.000
20160216,1.680,1.930,1.650,1.850,33890079.000
20160217,1.940,2.010,1.850,1.880,30322969.000
20160218,1.970,2.140,1.900,1.980,35987898.000
20160219,2.030,2.030,1.900,2.010,18936576.000
20160222,2.090,2.490,2.070,2.400,32292750.000
20160223,2.530,2.710,2.140,2.200,46901325.000
20160224,2.440,2.750,2.350,2.690,58673532.000
20160225,2.640,2.900,2.500,2.560,36400264.000
20160226,2.880,2.890,2.650,2.700,29845379.000
20160229,2.820,2.820,2.530,2.610,27339302.000
20160301,2.640,2.780,2.550,2.760,21712440.000
20160302,2.620,3.750,2.600,3.400,72407114.000
20160303,3.370,4.720,3.320,4.280,135698296.000
20160304,4.590,5.430,4.300,5.082,184543115.000
20160307,5.380,5.760,5.180,5.200,113173472.000
20160308,5.050,5.060,4.100,4.290,62744723.000
20160309,4.560,4.700,4.300,4.620,38512395.000
20160310,4.620,4.740,4.320,4.590,41314824.000
20160311,4.880,4.990,4.630,4.690,39052258.000
20160314,4.420,4.500,4.270,4.410,38280862.000
20160315,4.210,4.260,3.950,4.160,33884808.000
20160316,4.260,4.590,4.260,4.420,43350344.000
20160317,4.620,4.880,4.450,4.780,34903808.000
20160318,5.070,5.300,4.770,4.980,63423478.000
20160321,4.930,5.050,4.790,4.870,23651097.000
20160322,4.780,4.940,4.660,4.830,16921750.000
20160323,4.740,4.830,4.100,4.125,33220365.000
20160324,3.880,4.450,3.780,4.235,29221059.000
