Date,Open,High,Low,Close,Volume
20160104,20.190,20.360,19.770,20.250,3588199.000
20160105,20.350,20.370,19.910,20.050,2714201.000
20160106,19.740,19.890,19.270,19.510,2882479.000
20160107,19.130,19.180,18.430,18.620,3934703.000
20160108,18.800,18.820,18.100,18.170,2925878.000
20160111,18.330,18.640,17.970,18.160,1919676.000
20160112,18.730,19.390,18.135,18.560,3472847.000
20160113,18.690,18.955,18.160,18.340,2515611.000
20160114,18.380,18.560,18.010,18.340,2246354.000
20160115,17.770,18.230,17.660,18.010,2664494.000
20160119,18.250,18.380,17.460,17.580,2548188.000
20160120,17.280,17.570,16.630,17.340,3599766.000
20160121,17.500,17.890,17.300,17.440,2695104.000
20160122,17.770,18.230,17.520,17.990,2094890.000
20160125,17.920,18.020,17.570,17.610,1339967.000
20160126,17.750,18.120,17.530,18.030,2280497.000
20160127,17.770,18.255,17.620,17.790,1894484.000
20160128,17.990,18.100,17.240,17.280,2508497.000
20160129,17.420,17.790,17.410,17.780,2969201.000
20160201,17.700,18.015,17.350,17.940,2348468.000
20160202,17.760,18.430,17.640,17.770,3153300.000
20160203,18.350,18.610,18.160,18.590,2885572.000
20160204,18.500,19.340,18.460,19.170,3114589.000
20160205,19.310,19.520,18.580,18.620,3050494.000
20160208,18.340,18.490,17.340,17.650,3064956.000
20160209,17.420,17.980,17.230,17.780,2394233.000
20160210,17.860,18.255,17.305,17.590,2463257.000
20160211,17.280,17.730,17.160,17.500,2290024.000
20160212,17.820,18.370,17.480,18.285,2557954.000
20160216,18.560,19.340,18.470,19.300,2621309.000
20160217,19.410,19.810,19.360,19.510,2092221.000
20160218,19.500,19.720,19.095,19.380,2062842.000
20160219,19.320,19.630,19.175,19.570,1254937.000
20160222,19.910,20.160,19.850,20.010,1937988.000
20160223,20.010,20.160,19.800,19.890,1763979.000
20160224,19.650,20.710,19.470,20.650,2844589.000
20160225,20.730,20.960,20.200,20.700,1971485.000
20160226,20.810,21.120,20.570,20.740,3228611.000
20160229,20.750,20.840,20.450,20.500,3007874.000
20160301,20.770,21.140,20.655,21.000,3466748.000
20160302,20.990,21.070,20.040,20.700,6836067.000
20160303,16.950,17.500,16.320,17.010,28907390.000
20160304,17.170,17.390,16.770,17.280,8018024.000
20160307,17.120,17.250,16.870,16.960,3970051.000
20160308,16.950,16.970,16.555,16.630,4858121.000
20160309,16.750,17.450,16.670,17.440,4957952.000
20160310,17.450,17.795,16.980,17.130,3835016.000
20160311,17.400,17.680,17.290,17.560,3067477.000
20160314,17.470,17.710,17.380,17.570,2115496.000
20160315,17.380,17.420,16.810,16.930,3526855.000
20160316,16.930,17.360,16.810,17.280,2643486.000
20160317,17.280,18.020,17.140,18.000,3314348.000
20160318,18.100,18.440,17.830,18.220,3555799.000
20160321,17.960,18.410,17.910,18.220,2310210.000
20160322,18.230,19.000,18.030,18.910,4342524.000
20160323,18.780,18.870,18.270,18.320,2947015.000
20160324,18.200,18.730,18.010,18.570,2116958.000
