Date,Open,High,Low,Close,Volume
20160104,57.686,57.795,56.525,57.110,639692.096
20160105,57.081,57.478,56.872,57.448,583444.877
20160106,56.683,56.951,56.366,56.654,429258.823
20160107,55.869,56.167,55.125,55.393,643733.650
20160108,55.939,56.227,55.016,55.125,626393.103
20160111,55.562,55.780,54.867,55.472,415909.604
20160112,54.370,55.929,54.370,55.869,441925.269
20160113,56.187,56.336,54.728,54.857,508916.085
20160114,55.115,56.306,54.887,55.790,699221.416
20160115,54.738,55.175,54.162,54.718,804386.943
20160119,55.562,55.581,54.499,54.827,586200.041
20160120,54.261,54.609,53.249,54.063,602786.062
20160121,54.231,54.569,53.497,53.715,622895.613
20160122,54.271,54.713,54.043,54.579,455019.735
20160125,54.499,54.638,53.705,53.765,593867.912
20160126,53.536,54.797,53.536,54.529,563941.551
20160127,54.529,55.244,54.162,54.430,451376.209
20160128,54.827,55.512,54.629,55.294,491145.550
20160129,55.591,57.259,55.462,57.209,824437.367
20160201,57.269,57.666,56.713,57.378,530548.851
20160202,57.319,57.716,56.296,56.425,665206.382
20160203,56.862,57.160,55.482,56.584,724158.462
20160204,56.932,58.659,56.395,58.609,1003174.054
20160205,58.877,59.880,58.758,59.820,787226.686
20160208,59.324,60.654,59.096,60.486,904235.136
20160209,59.900,61.073,59.870,60.803,1121739.118
20160210,61.071,61.200,60.620,60.843,704455.904
20160211,59.820,60.436,59.671,60.049,556635.305
20160212,60.773,61.478,60.555,61.309,1229551.948
20160216,61.965,62.034,60.964,61.647,725015.664
20160217,62.014,62.203,61.647,61.994,894062.957
20160218,62.024,62.084,61.587,62.024,571663.885
20160219,61.925,62.292,61.647,62.114,669909.583
20160222,62.709,63.007,62.382,62.620,637796.239
20160223,62.312,62.660,62.163,62.272,970741.453
20160224,61.984,62.605,61.508,62.451,830250.498
20160225,62.719,63.394,62.471,63.275,993500.410
20160226,63.672,63.748,62.957,63.096,664533.373
20160229,63.156,63.255,62.332,62.679,862846.287
20160301,63.146,63.632,62.878,63.612,950551.266
20160302,63.602,63.801,63.285,63.781,1035149.414
20160303,63.672,64.049,63.334,64.029,460793.037
20160304,63.910,64.109,63.483,64.049,537695.058
20160307,63.751,64.148,63.424,63.732,378588.229
20160308,63.384,63.861,63.285,63.573,828019.327
20160309,63.801,63.910,63.106,63.533,546462.966
20160310,63.821,63.940,63.166,63.642,1360229.353
20160311,64.148,65.429,63.920,65.409,696748.636
20160314,65.409,65.449,64.436,64.685,548623.803
20160315,64.387,64.824,64.198,64.645,489491.445
20160316,64.585,65.042,64.397,64.843,559738.889
20160317,64.873,65.469,64.645,65.310,739185.187
20160318,65.082,65.379,64.853,65.310,1170599.106
20160321,64.990,65.520,64.570,65.220,600680.000
20160322,65.050,65.410,64.770,65.150,352512.000
20160323,65.190,65.300,64.830,65.080,412759.000
20160324,64.970,65.138,64.640,64.740,458228.000
