Date,Open,High,Low,Close,Volume
20160104,65.002,65.042,63.591,64.336,5168090.010
20160105,64.336,64.863,64.202,64.605,3848368.450
20160106,63.730,64.247,63.566,63.760,4098158.059
20160107,62.984,63.511,62.378,62.617,4021008.090
20160108,62.716,63.034,61.990,62.160,2825630.254
20160111,62.468,62.815,61.702,62.428,2684020.637
20160112,62.885,63.114,62.289,63.024,2601435.001
20160113,63.213,63.546,62.418,62.517,3311073.616
20160114,62.647,63.750,62.577,63.123,3513296.040
20160115,61.990,63.531,61.931,62.965,6106834.800
20160119,63.402,64.127,63.312,63.909,4464784.730
20160120,63.074,63.292,61.018,62.070,7912385.770
20160121,62.320,63.960,61.910,63.660,5336391.000
20160122,64.490,64.910,63.870,64.630,4053836.000
20160125,64.330,64.610,63.760,63.940,3334272.000
20160126,63.500,64.810,63.320,64.330,3328218.000
20160127,64.290,65.130,63.870,64.310,2925434.000
20160128,64.560,65.550,64.320,65.020,5195930.000
20160129,64.990,67.650,64.350,67.500,8149543.000
20160201,66.930,67.080,65.890,66.150,4530706.000
20160202,65.640,66.080,65.170,65.360,3349307.000
20160203,65.840,66.260,65.000,66.020,3667486.000
20160204,65.900,66.230,65.494,65.980,2783983.000
20160205,65.990,66.320,65.410,66.200,3487278.000
20160208,65.160,66.300,65.160,66.080,3750506.000
20160209,65.480,66.310,64.930,65.910,4198468.000
20160210,66.390,66.830,65.710,65.810,2891269.000
20160211,64.710,65.300,63.990,64.430,4396670.000
20160212,64.780,65.750,64.530,65.700,2165996.000
20160216,66.520,66.700,65.520,65.810,2815563.000
20160217,66.120,67.200,65.960,67.050,2861742.000
20160218,66.900,67.340,66.630,67.210,2256053.000
20160219,67.290,67.480,66.360,67.450,2733777.000
20160222,67.780,68.390,67.390,67.600,2573778.000
20160223,67.390,67.710,67.010,67.170,1834736.000
20160224,66.940,66.990,66.030,66.330,4776120.000
20160225,66.610,67.450,66.330,67.430,2776230.000
20160226,67.200,67.530,66.060,66.280,2841020.000
20160229,66.440,66.700,65.610,65.630,2794175.000
20160301,66.060,67.390,65.930,67.300,3232423.000
20160302,67.060,67.430,66.390,67.080,2179649.000
20160303,66.860,67.600,66.700,67.590,1845753.000
20160304,67.420,68.330,67.280,68.150,2542213.000
20160307,67.800,67.940,67.370,67.560,2439266.000
20160308,67.210,67.930,66.860,67.530,1975574.000
20160309,67.880,68.580,67.610,68.000,2531764.000
20160310,68.110,68.460,67.530,68.240,2200592.000
20160311,68.280,68.500,67.950,68.370,2884502.000
20160314,68.340,68.590,68.035,68.230,2003137.000
20160315,67.950,68.750,67.700,68.585,2147689.000
20160316,68.410,68.820,67.860,68.700,2412081.000
20160317,68.760,69.990,68.550,69.880,3615085.000
20160318,69.980,70.500,69.660,70.440,5759528.000
20160321,70.030,70.870,69.791,70.430,3764726.000
20160322,70.020,70.300,69.280,69.550,3096853.000
20160323,69.080,70.080,69.080,69.790,1930212.000
20160324,69.540,69.960,69.380,69.930,3438218.000
