Date,Open,High,Low,Close,Volume
20160104,1.570,1.670,1.460,1.660,3318993.000
20160105,1.670,1.760,1.580,1.755,4290623.000
20160106,1.720,1.830,1.620,1.820,3602862.000
20160107,1.780,1.790,1.570,1.725,3868276.000
20160108,1.700,1.735,1.590,1.610,2688703.000
20160111,1.620,1.640,1.410,1.420,2836160.000
20160112,1.460,1.460,1.200,1.260,3298099.000
20160113,1.260,1.345,1.260,1.320,3033579.000
20160114,1.320,1.380,1.270,1.350,3814328.000
20160115,1.270,1.410,1.220,1.390,2742100.000
20160119,1.410,1.460,1.250,1.385,4341927.000
20160120,1.270,1.590,1.230,1.590,4064107.000
20160121,1.480,1.700,1.430,1.665,3501066.000
20160122,1.660,1.700,1.450,1.570,3400685.000
20160125,1.540,1.700,1.505,1.540,2593459.000
20160126,1.560,1.640,1.420,1.550,4325561.000
20160127,1.450,1.640,1.420,1.480,5971692.000
20160128,1.550,1.590,1.450,1.580,2548248.000
20160129,1.540,1.660,1.540,1.600,2167798.000
20160201,1.650,1.680,1.570,1.610,1579355.000
20160202,1.560,1.620,1.480,1.550,2021058.000
20160203,1.570,1.900,1.540,1.900,4274359.000
20160204,1.880,2.070,1.770,1.930,4909367.000
20160205,1.900,2.000,1.800,1.830,2736994.000
20160208,1.810,1.900,1.760,1.860,2350794.000
20160209,1.780,1.860,1.660,1.770,1905340.000
20160210,1.850,1.860,1.760,1.790,1380168.000
20160211,1.700,1.870,1.670,1.860,2216448.000
20160212,1.850,1.980,1.750,1.950,3657855.000
20160216,1.970,2.130,1.890,2.090,2797586.000
20160217,2.100,2.160,1.915,2.060,4977302.000
20160218,2.020,2.090,1.920,1.960,3261457.000
20160219,1.950,1.960,1.760,1.810,3441052.000
20160222,1.945,2.050,1.900,1.965,5423531.000
20160223,2.000,2.020,1.780,1.805,3038813.000
20160224,1.800,1.890,1.720,1.850,2691184.000
20160225,1.840,1.880,1.770,1.830,1525556.000
20160226,1.880,1.950,1.770,1.810,2551321.000
20160229,1.890,2.170,1.840,2.160,5715378.000
20160301,2.160,2.370,2.070,2.270,4627989.000
20160302,2.310,2.850,2.300,2.810,8551522.000
20160303,2.780,2.825,2.510,2.710,7399386.000
20160304,2.810,3.240,2.740,2.880,12176488.000
20160307,3.510,3.750,3.150,3.429,21806225.000
20160308,3.340,3.380,2.630,2.720,9720650.000
20160309,2.900,2.930,2.560,2.580,7236166.000
20160310,2.610,2.695,2.340,2.490,8982572.000
20160311,2.580,2.610,2.310,2.340,8607026.000
20160314,2.340,2.730,2.340,2.710,8722866.000
20160315,2.560,2.600,2.320,2.370,7025511.000
20160316,2.310,2.550,2.130,2.520,7956467.000
20160317,2.690,3.040,2.480,2.840,12035474.000
20160318,2.970,3.340,2.915,3.050,15750083.000
20160321,2.920,3.060,2.820,3.050,6201648.000
20160322,3.010,3.150,2.910,3.070,6391283.000
20160323,2.980,3.060,2.570,2.600,9012783.000
20160324,2.510,2.840,2.425,2.825,4532495.000
