Date,Open,High,Low,Close,Volume
20160104,124.464,125.100,123.043,124.494,1392367.588
20160105,124.762,126.780,124.534,126.343,1378688.195
20160106,124.922,126.777,124.822,126.243,996866.434
20160107,124.663,126.154,124.444,124.911,910940.888
20160108,125.090,126.641,124.812,125.379,1043442.598
20160111,125.906,127.406,125.568,126.929,1034659.552
20160112,127.794,127.923,126.611,127.645,977107.137
20160113,127.784,128.599,127.059,127.347,1335122.905
20160114,127.456,128.212,126.412,126.492,1087232.828
20160115,124.862,126.713,124.812,126.104,1186088.599
20160119,126.800,128.490,126.158,126.880,700960.537
20160120,125.488,126.611,122.997,124.623,1657993.637
20160121,124.613,125.617,123.495,125.120,1206083.223
20160122,126.094,127.208,125.021,126.810,775785.208
20160125,126.330,127.080,124.950,125.070,1590522.000
20160126,125.400,126.740,124.450,125.580,1504129.000
20160127,125.530,126.160,124.150,124.650,1393236.000
20160128,124.450,126.230,123.730,126.000,1021117.000
20160129,126.600,129.470,125.980,129.000,1487004.000
20160201,129.000,132.210,128.930,131.800,1203629.000
20160202,131.250,131.710,128.640,129.070,1401553.000
20160203,129.810,131.400,128.420,131.180,1756243.000
20160204,131.560,131.600,124.210,124.670,2421912.000
20160205,125.060,125.810,122.400,124.400,1613961.000
20160208,123.140,127.580,123.140,127.065,1641635.000
20160209,126.260,129.970,125.010,128.700,2147013.000
20160210,129.090,130.930,127.410,127.900,1489471.000
20160211,127.150,127.940,125.080,127.010,2051087.000
20160212,128.040,128.670,126.690,127.510,965493.000
20160216,127.820,128.460,126.680,128.040,908524.000
20160217,128.100,130.320,127.726,129.420,1109043.000
20160218,129.430,129.580,127.760,127.920,832613.000
20160219,127.890,128.780,126.870,128.600,680914.000
20160222,128.970,129.570,127.810,128.300,797198.000
20160223,128.400,129.279,128.310,128.860,630999.000
20160224,127.730,130.350,127.600,130.230,936589.000
20160225,130.500,131.500,130.110,131.450,841616.000
20160226,130.000,131.270,127.300,127.820,1045563.000
20160229,127.720,128.200,126.420,126.420,768415.000
20160301,126.570,127.170,124.770,125.480,1513305.000
20160302,125.200,126.200,124.150,126.060,1184908.000
20160303,126.050,126.050,124.400,125.570,963698.000
20160304,125.630,126.060,124.680,125.610,1292437.000
20160307,125.400,125.740,123.000,123.460,1117288.000
20160308,123.350,126.860,122.760,125.470,1256974.000
20160309,125.850,126.690,124.980,125.220,962956.000
20160310,125.720,126.570,124.910,125.580,845985.000
20160311,126.130,126.790,125.300,126.490,913987.000
20160314,126.450,126.950,125.570,125.900,874617.000
20160315,125.510,127.090,125.300,126.730,734615.000
20160316,125.900,128.170,125.615,127.400,1013737.000
20160317,127.190,128.190,126.940,127.600,750139.000
20160318,127.600,128.240,126.330,127.390,1196456.000
20160321,127.410,128.200,126.510,127.430,674635.000
20160322,127.290,127.940,126.000,126.300,599673.000
20160323,126.400,127.880,126.320,127.090,711384.000
20160324,126.910,127.580,126.170,126.570,528906.000
