Date,Open,High,Low,Close,Volume
20160104,40.376,41.221,40.316,41.211,4367507.384
20160105,41.291,41.509,40.525,40.764,1718442.364
20160106,40.207,40.605,39.839,40.267,2125732.038
20160107,39.919,40.316,39.332,39.471,2855664.019
20160108,40.008,40.068,38.706,38.765,2263884.655
20160111,39.103,39.242,38.129,38.527,3287488.952
20160112,38.069,38.686,37.483,38.298,2906779.500
20160113,38.566,38.626,36.270,36.459,4019330.536
20160114,36.528,36.990,35.778,36.707,3295491.680
20160115,35.186,36.071,34.917,35.852,3944454.240
20160119,36.289,36.757,34.311,34.510,3784633.680
20160120,34.182,34.182,32.758,33.794,4272732.110
20160121,33.973,34.023,32.954,33.098,3471344.643
20160122,33.705,33.983,33.277,33.476,3788282.865
20160125,33.207,33.396,31.736,31.855,3449177.497
20160126,32.124,33.138,32.124,32.770,2968895.837
20160127,32.750,34.410,32.472,33.267,4235830.662
20160128,34.231,34.987,33.874,33.973,3598936.496
20160129,34.112,34.401,33.595,34.112,2792944.724
20160201,34.082,34.082,33.108,33.406,3388338.050
20160202,33.287,33.307,32.715,33.212,4037197.751
20160203,33.456,34.131,32.104,34.053,5613897.810
20160204,34.122,35.236,33.864,34.748,5252715.260
20160205,34.898,35.484,34.251,34.371,4137237.578
20160208,33.705,33.705,31.816,32.099,7217075.308
20160209,31.418,32.521,31.269,32.263,3780547.603
20160210,32.591,33.108,31.845,31.855,2756370.436
20160211,30.801,31.229,30.304,30.851,3559298.790
20160212,31.557,33.029,31.557,32.720,2330048.982
20160216,33.357,34.401,32.800,34.033,2577020.156
20160217,33.665,34.758,33.486,33.675,3652642.924
20160218,33.834,34.361,33.535,33.943,3888738.498
20160219,33.685,34.485,33.476,34.132,2608048.718
20160222,34.560,35.643,34.510,35.365,3055149.131
20160223,35.156,35.236,33.406,33.764,3922844.348
20160224,33.009,33.754,32.551,33.695,3582415.127
20160225,33.724,34.092,33.279,34.043,2379947.818
20160226,34.510,35.275,34.301,34.758,2433795.368
20160229,34.341,34.460,33.575,33.575,2425024.839
20160301,33.695,35.166,33.625,34.899,2242333.045
20160302,34.947,35.614,34.659,35.594,2339556.851
20160303,35.574,37.025,35.425,36.986,2794543.726
20160304,37.343,38.104,37.324,38.020,4113556.724
20160307,37.572,38.208,37.373,37.955,2251598.036
20160308,37.383,37.632,36.200,36.389,2675221.256
20160309,36.816,36.936,35.683,35.872,2309786.193
20160310,36.399,36.697,35.365,36.210,2266988.587
20160311,36.570,37.790,36.570,37.610,2073622.000
20160314,37.970,38.310,37.650,38.120,2459810.000
20160315,37.690,38.175,37.400,38.130,2570888.000
20160316,37.880,38.760,37.500,38.130,3510855.000
20160317,38.160,38.895,37.665,38.830,2817618.000
20160318,39.230,39.740,38.840,39.240,2511317.000
20160321,39.250,39.860,38.960,39.530,2907120.000
20160322,39.000,39.710,38.572,39.360,1954406.000
20160323,39.360,39.360,38.550,38.570,1876529.000
20160324,38.070,38.780,37.640,38.770,2353579.000
