Date,Open,High,Low,Close,Volume
20160104,85.897,89.263,85.154,89.105,3385410.851
20160105,89.165,89.353,87.109,88.228,2520393.401
20160106,87.461,89.353,86.981,87.798,2378731.340
20160107,86.174,87.313,85.857,86.333,2666260.923
20160108,87.006,87.303,84.719,85.174,2720297.307
20160111,85.739,85.956,83.798,84.540,2688278.504
20160112,85.372,85.996,84.382,85.778,2258494.801
20160113,86.016,87.699,83.887,84.075,2349688.476
20160114,84.382,86.530,83.174,85.838,1948828.942
20160115,83.283,83.916,82.303,83.511,2570131.283
20160119,84.610,84.847,81.926,82.709,1958023.199
20160120,81.253,84.392,79.094,83.431,3512083.654
20160121,83.748,86.432,83.471,85.184,2511184.972
20160122,86.560,88.353,84.838,85.560,2114101.586
20160125,84.164,85.243,83.194,83.224,1755748.277
20160126,83.639,85.095,82.709,84.521,2510263.303
20160127,84.461,85.589,83.332,84.362,1650579.262
20160128,85.659,86.640,84.489,86.095,2049784.698
20160129,86.184,89.068,86.184,89.006,2159668.150
20160201,88.065,90.729,87.150,90.254,2341901.128
20160202,89.006,89.511,87.422,88.115,2094082.155
20160203,88.323,90.140,85.966,89.759,2874172.486
20160204,90.283,97.016,89.937,96.640,5505749.284
20160205,95.135,98.937,94.066,98.026,3698405.319
20160208,96.947,99.244,95.848,97.482,3106931.890
20160209,97.442,100.205,97.442,98.739,3348079.780
20160210,99.551,99.829,94.729,95.383,3918687.214
20160211,94.115,97.190,92.581,94.284,2434963.392
20160212,95.363,97.403,94.026,96.076,2027035.789
20160216,96.690,98.799,95.432,98.175,1995755.563
20160217,99.100,100.390,97.165,97.554,2685019.000
20160218,97.880,98.700,95.640,97.200,2409234.000
20160219,96.470,97.120,95.010,96.580,2123618.000
20160222,97.950,99.170,97.750,98.540,1698495.000
20160223,98.480,98.910,96.740,97.510,1975952.000
20160224,96.480,96.480,93.270,96.146,2201619.000
20160225,96.490,97.740,95.590,97.700,1452111.000
20160226,98.670,98.800,97.260,97.660,1391317.000
20160229,97.800,98.720,97.480,97.590,1268190.000
20160301,98.920,100.640,97.100,100.220,2023931.000
20160302,99.810,100.200,98.070,99.440,2159103.000
20160303,99.230,102.990,99.010,101.250,2474735.000
20160304,101.730,103.670,100.310,102.220,2384209.000
20160307,102.240,105.940,102.002,105.090,2172313.000
20160308,104.000,104.130,99.300,101.830,2788522.000
20160309,102.060,103.050,100.430,102.060,1474633.000
20160310,102.110,103.110,100.750,102.780,2265963.000
20160311,103.430,104.810,103.230,104.000,1735548.000
20160314,103.550,105.480,103.400,105.050,1767070.000
20160315,104.000,104.620,103.290,104.540,1475928.000
20160316,104.420,106.810,103.915,106.370,1822291.000
20160317,105.750,110.390,105.500,109.580,2558293.000
20160318,109.940,111.289,108.100,110.090,2355106.000
20160321,110.000,110.990,109.420,110.600,1415614.000
20160322,110.110,110.600,109.220,109.450,1439677.000
20160323,108.950,109.320,107.660,107.730,2054813.000
20160324,106.760,107.460,104.840,107.400,1597737.000
