Date,Open,High,Low,Close,Volume
20160104,35.549,35.816,34.983,35.350,4361968.146
20160105,35.281,35.737,34.685,35.608,2090299.219
20160106,35.390,35.787,35.241,35.668,1696722.308
20160107,35.310,35.955,35.231,35.876,3149903.498
20160108,35.876,36.104,35.707,35.806,2788565.181
20160111,35.866,36.134,35.544,35.787,2529260.019
20160112,35.777,35.985,35.221,35.638,2598500.157
20160113,35.658,36.184,35.658,35.836,3088229.560
20160114,35.816,36.665,35.638,36.402,3326371.973
20160115,35.955,36.451,35.588,35.906,2912823.270
20160119,36.055,36.700,36.045,36.580,3756606.869
20160120,36.382,36.561,35.211,35.678,2617549.290
20160121,35.737,35.985,35.320,35.668,2472217.014
20160122,35.926,36.347,35.529,36.273,2390717.298
20160125,36.352,36.372,35.916,36.104,1679645.953
20160126,36.194,36.962,36.149,36.590,2790789.305
20160127,36.571,37.305,36.451,37.057,3258252.376
20160128,37.057,38.009,36.749,37.573,2761742.159
20160129,37.940,38.793,37.741,38.565,4080285.494
20160201,38.565,39.130,38.356,38.872,2855962.194
20160202,38.971,39.299,38.664,39.160,3196820.934
20160203,39.780,39.780,39.205,39.430,4483204.000
20160204,36.840,39.760,36.840,39.260,3853719.000
20160205,39.060,40.000,38.630,39.880,2291890.000
20160208,39.970,40.580,39.390,39.830,3388052.000
20160209,39.830,40.210,39.530,39.870,2987106.000
20160210,39.750,40.080,38.960,39.480,3316651.000
20160211,39.450,39.620,39.080,39.260,2438936.000
20160212,39.330,39.635,38.850,39.170,3248942.000
20160216,39.340,39.360,38.630,39.160,2605404.000
20160217,39.190,39.370,38.800,39.010,2374195.000
20160218,38.980,39.850,38.860,39.690,2122497.000
20160219,39.650,39.800,39.270,39.410,1868972.000
20160222,39.470,39.840,39.350,39.670,1715329.000
20160223,39.580,39.995,39.200,39.940,2259231.000
20160224,39.940,40.280,39.750,40.210,2812195.000
20160225,40.390,40.790,40.130,40.590,2027222.000
20160226,40.310,40.465,39.400,39.500,2515577.000
20160229,39.410,39.890,39.320,39.570,2355109.000
20160301,39.700,39.890,39.090,39.440,2369220.000
20160302,39.260,39.460,38.290,39.450,2210971.000
20160303,39.330,39.710,38.780,39.710,2174774.000
20160304,39.420,40.475,39.270,40.390,3354802.000
20160307,40.480,40.610,40.130,40.560,2097888.000
20160308,40.530,41.130,40.390,40.880,3342444.000
20160309,40.660,41.150,40.660,40.900,2818089.000
20160310,40.920,41.160,40.630,40.990,2724379.000
20160311,41.120,41.320,40.790,40.990,2266212.000
20160314,40.990,41.190,40.700,40.950,1769332.000
20160315,41.030,41.175,40.840,41.050,1905303.000
20160316,40.920,41.500,40.595,41.400,2582870.000
20160317,41.500,41.865,41.360,41.790,3001792.000
20160318,41.860,41.920,41.320,41.330,2858376.000
20160321,41.090,41.600,40.825,41.330,1996782.000
20160322,41.430,41.560,41.060,41.090,1709317.000
20160323,41.150,41.870,40.940,41.600,2037664.000
20160324,41.580,41.850,41.420,41.690,1076293.000
