Date,Open,High,Low,Close,Volume
20160104,7.819,8.678,7.689,8.588,8778759.000
20160105,8.498,8.653,8.049,8.518,7394426.401
20160106,8.109,8.239,7.480,7.569,12093693.445
20160107,7.290,7.450,7.140,7.255,7173770.426
20160108,7.320,7.849,7.290,7.679,10941118.590
20160111,7.569,7.711,6.721,6.990,12049046.999
20160112,7.100,7.110,6.301,6.686,10292291.843
20160113,6.761,6.791,5.762,6.042,12314199.750
20160114,6.022,6.082,5.517,5.602,15357130.600
20160115,5.293,5.343,4.856,4.963,14135950.970
20160119,5.063,5.472,4.923,5.143,11223616.853
20160120,4.753,5.213,4.534,5.073,8717876.326
20160121,5.033,6.291,5.003,6.032,11693245.920
20160122,6.211,6.741,5.702,6.161,12377292.796
20160125,5.892,6.271,5.692,5.712,6171617.228
20160126,5.852,6.371,5.542,6.241,6970933.910
20160127,6.181,7.090,6.032,6.721,9875674.580
20160128,7.100,7.100,6.491,6.741,8387386.786
20160129,7.140,8.568,7.060,7.899,20890417.580
20160201,7.629,8.633,7.470,8.368,13171804.668
20160202,7.949,8.079,7.659,7.799,9712657.499
20160203,7.959,8.673,7.440,8.468,10426874.430
20160204,8.588,9.577,8.458,8.798,12816101.650
20160205,8.548,9.716,8.548,9.092,11144745.730
20160208,8.868,9.107,8.248,8.537,10593359.610
20160209,8.488,8.698,7.260,7.520,10580481.713
20160210,8.209,8.209,7.170,7.200,10441494.432
20160211,6.940,7.370,6.720,7.330,8056231.000
20160212,7.550,7.835,7.140,7.770,7162545.000
20160216,7.910,7.990,7.410,7.870,6116370.000
20160217,8.000,9.090,7.960,8.870,9006709.000
20160218,9.020,9.240,8.220,8.430,8654646.000
20160219,8.180,8.570,7.700,7.870,6476663.000
20160222,8.110,8.780,8.050,8.700,8026249.000
20160223,8.810,9.020,7.810,7.910,7029971.000
20160224,7.660,8.070,7.260,7.910,7378583.000
20160225,7.870,8.090,7.320,7.650,13951402.000
20160226,7.890,8.060,7.540,7.840,6967917.000
20160229,8.550,8.740,8.110,8.630,10081434.000
20160301,8.860,9.320,8.240,9.050,10574615.000
20160302,8.880,9.540,8.720,9.450,11796869.000
20160303,9.450,10.770,9.360,10.300,21883456.000
20160304,10.530,11.500,10.250,10.570,15189451.000
20160307,10.680,11.670,10.680,11.650,13263034.000
20160308,11.400,11.430,10.360,10.470,6519701.000
20160309,10.650,11.135,10.460,11.040,5770631.000
20160310,10.890,11.247,10.480,11.090,5680028.000
20160311,11.520,12.000,11.410,11.700,7637911.000
20160314,11.500,12.115,11.220,11.870,6590700.000
20160315,11.410,11.695,10.990,11.560,6183613.000
20160316,11.290,11.860,11.210,11.640,7740648.000
20160317,11.860,12.140,11.480,11.900,6214818.000
20160318,12.020,12.415,11.580,11.740,7304992.000
20160321,11.730,12.050,11.485,11.670,4722430.000
20160322,11.520,12.100,11.360,12.040,3750720.000
20160323,11.840,12.000,10.390,10.440,6795409.000
20160324,10.270,11.040,9.660,10.940,6184559.000
