Date,Open,High,Low,Close,Volume
20160104,17.652,17.922,17.282,17.582,7902379.898
20160105,17.642,17.852,17.052,17.582,10685059.451
20160106,17.042,17.042,15.869,16.023,9936054.684
20160107,15.694,16.688,15.654,16.563,8042953.105
20160108,16.763,17.317,16.513,17.172,9330193.680
20160111,17.062,17.142,15.764,15.983,12659508.580
20160112,16.303,16.313,14.855,15.474,10387423.040
20160113,15.694,16.223,15.224,15.694,10467891.380
20160114,15.834,16.428,15.634,16.283,8832683.680
20160115,15.454,16.413,15.454,16.383,8619058.190
20160119,16.513,16.758,16.123,16.413,10954304.610
20160120,16.044,17.352,15.804,17.122,13202649.880
20160121,16.933,18.941,16.853,18.621,13114025.130
20160122,19.340,19.540,18.581,19.510,11477511.190
20160125,18.921,19.760,18.361,18.391,11011497.050
20160126,18.791,19.480,18.561,19.410,5769206.305
20160127,19.270,20.450,19.130,19.530,8501116.000
20160128,20.400,20.470,19.315,19.400,12193212.000
20160129,19.680,20.800,19.600,20.740,8394538.000
20160201,20.240,20.870,19.780,20.570,8928870.000
20160202,20.170,21.000,19.790,20.400,14573027.000
20160203,20.820,21.210,19.880,21.180,8734180.000
20160204,21.070,21.480,20.200,20.890,10328477.000
20160205,21.190,21.190,20.070,20.660,7904670.000
20160208,20.310,22.250,20.010,20.900,12433585.000
20160209,20.420,20.770,18.960,19.590,11842399.000
20160210,19.490,20.000,18.860,19.750,7935669.000
20160211,19.310,20.085,18.730,19.880,7549413.000
20160212,20.210,20.460,19.070,19.750,6899610.000
20160216,20.090,20.090,18.480,19.240,8429544.000
20160217,19.410,20.540,19.030,20.480,6118118.000
20160218,20.530,20.530,19.310,19.570,8566530.000
20160219,19.350,20.480,18.400,19.940,10863198.000
20160222,20.440,21.940,20.170,21.540,8377450.000
20160223,20.330,20.400,19.160,19.260,56084324.000
20160224,18.920,19.970,18.810,19.710,14201954.000
20160225,19.710,20.060,19.010,19.410,11881224.000
20160226,20.130,20.450,19.620,20.430,10096540.000
20160229,20.350,20.430,19.010,20.130,12066703.000
20160301,20.390,21.165,19.580,21.010,10575103.000
20160302,20.860,22.060,20.770,22.040,9283677.000
20160303,21.890,22.550,21.675,22.160,9427534.000
20160304,22.520,22.700,21.130,21.480,9939035.000
20160307,21.370,22.490,21.010,22.380,11746796.000
20160308,22.020,22.060,21.250,21.360,8032845.000
20160309,21.860,22.010,19.770,21.240,21263390.000
20160310,20.680,22.170,20.450,21.910,11219462.000
20160311,22.390,22.510,21.640,21.950,5214100.000
20160314,21.570,22.210,21.470,22.090,4930503.000
20160315,21.870,22.600,21.650,22.590,5487537.000
20160316,22.600,23.020,22.270,22.940,6136955.000
20160317,23.250,23.310,22.420,22.760,5864044.000
20160318,22.890,22.920,22.080,22.780,6386141.000
20160321,22.700,22.700,21.640,21.780,7036912.000
20160322,21.800,22.080,21.410,21.780,4726892.000
20160323,21.630,22.000,21.390,21.470,4916461.000
20160324,21.020,22.140,20.930,21.960,5210482.000
