Date,Open,High,Low,Close,Volume
20160104,32.072,33.371,31.815,33.351,5942622.020
20160105,33.530,33.897,33.024,33.688,4469622.797
20160106,32.925,33.183,32.092,32.514,4242185.183
20160107,31.904,32.984,31.787,32.608,4957022.136
20160108,32.727,32.965,31.596,31.656,4328484.575
20160111,31.706,32.608,31.706,32.474,3822429.243
20160112,32.925,33.183,31.567,32.310,3248808.388
20160113,32.449,32.663,31.121,31.250,4330492.910
20160114,31.319,31.874,30.228,31.477,3959888.046
20160115,30.615,31.369,30.099,31.160,5202057.745
20160119,31.408,31.874,30.526,30.902,3516703.649
20160120,30.516,31.339,29.802,31.205,8412950.940
20160121,31.309,32.677,31.150,32.191,4558089.030
20160122,32.875,33.153,31.606,32.152,4944310.522
20160125,31.785,31.894,29.922,30.080,10397321.994
20160126,32.489,33.669,31.825,33.044,15681545.800
20160127,33.064,34.962,32.984,33.884,11048189.790
20160128,34.462,35.582,34.234,35.523,8183217.140
20160129,35.889,36.752,35.711,36.722,9988239.850
20160201,36.484,37.168,36.187,36.881,5573746.190
20160202,36.871,37.446,36.415,36.841,5064729.865
20160203,37.029,37.198,35.037,36.098,8848290.510
20160204,35.592,35.968,35.136,35.780,5066749.870
20160205,35.463,35.632,34.442,34.739,5448328.690
20160208,34.382,34.481,33.480,34.135,5077159.184
20160209,33.669,34.432,33.257,33.758,3320424.274
20160210,33.936,34.035,33.203,33.361,3432301.844
20160211,32.994,33.569,32.657,33.341,4213551.156
20160212,33.708,34.343,33.331,34.224,4012431.098
20160216,34.501,35.364,34.462,35.290,4105954.425
20160217,35.661,35.870,35.195,35.661,3441744.166
20160218,35.374,36.246,35.156,35.989,3339823.909
20160219,35.711,35.929,34.888,35.523,3146619.024
20160222,35.731,36.226,35.661,35.874,3195458.309
20160223,35.919,36.891,35.860,36.633,4686283.755
20160224,36.435,37.684,36.425,37.585,6301792.806
20160225,37.634,38.715,37.406,38.576,6692847.571
20160226,38.576,38.665,37.961,38.219,3222433.360
20160229,38.368,38.883,38.160,38.626,3971236.640
20160301,38.665,39.201,38.596,38.992,3707461.663
20160302,38.680,39.060,38.340,38.860,2675433.000
20160303,38.880,39.090,38.520,38.800,1978345.000
20160304,38.830,39.400,38.350,38.780,2670781.000
20160307,38.620,39.210,38.430,39.190,2649386.000
20160308,38.870,39.250,38.400,38.460,2296228.000
20160309,38.760,39.010,38.190,38.820,3187192.000
20160310,38.680,39.560,38.625,39.080,4172061.000
20160311,39.400,39.810,39.190,39.660,2744654.000
20160314,39.540,39.950,39.230,39.370,2590153.000
20160315,39.020,39.150,38.470,38.860,2740092.000
20160316,38.860,39.160,38.410,39.030,1271455.000
20160317,38.970,39.940,38.860,39.720,3012176.000
20160318,39.780,39.860,39.020,39.270,2328622.000
20160321,39.200,39.570,39.110,39.400,1787615.000
20160322,39.170,39.310,38.700,38.860,2237113.000
20160323,38.680,39.320,38.500,38.760,1838163.000
20160324,38.710,38.910,38.060,38.670,1651195.000
