Date,Open,High,Low,Close,Volume
20160104,90.224,90.792,89.029,90.244,683055.800
20160105,90.394,92.266,90.314,92.216,930118.486
20160106,91.409,92.007,89.955,90.543,572403.062
20160107,89.218,90.065,87.585,88.950,1008766.740
20160108,89.238,89.866,86.570,86.739,993081.725
20160111,87.267,87.764,86.153,86.958,667523.403
20160112,87.934,88.602,86.968,88.462,603334.168
20160113,88.910,89.089,86.669,86.828,727205.912
20160114,86.988,87.574,85.603,86.978,599721.193
20160115,85.255,86.470,84.788,85.494,805456.466
20160119,85.992,86.550,84.330,85.255,886318.710
20160120,84.289,85.295,82.825,84.588,1020008.211
20160121,84.976,85.952,84.274,85.424,1421197.962
20160122,82.427,84.548,80.903,84.090,2226701.645
20160125,83.990,84.159,79.190,80.186,2312424.336
20160126,81.610,83.393,80.714,81.979,1498820.737
20160127,80.664,81.769,79.160,79.469,1568245.998
20160128,79.977,81.122,79.419,80.823,1028014.610
20160129,81.351,81.600,80.087,80.545,1591685.060
20160201,80.604,81.769,79.798,81.212,1086389.151
20160202,80.146,80.724,78.374,78.573,977224.622
20160203,79.370,79.708,77.368,78.533,1346661.102
20160204,78.493,80.674,78.398,80.067,1002339.065
20160205,80.076,81.082,79.688,80.923,1358835.427
20160208,80.096,81.411,79.549,80.833,1516453.126
20160209,80.007,80.953,79.559,80.405,1880246.162
20160210,80.485,80.943,79.140,79.240,826322.031
20160211,78.190,78.880,76.030,78.310,1540306.000
20160212,78.900,80.990,78.545,80.950,1158038.000
20160216,81.990,82.990,81.180,82.810,1078875.000
20160217,83.220,84.600,83.050,84.280,866562.000
20160218,84.250,85.810,84.030,85.200,838080.000
20160219,85.220,86.460,84.510,86.070,1144643.000
20160222,87.000,88.190,86.690,88.170,1058207.000
20160223,87.530,90.580,87.530,89.130,1598638.000
20160224,88.490,88.560,87.690,88.300,1005394.000
20160225,88.790,89.050,87.760,88.620,516589.000
20160226,88.930,88.980,88.160,88.410,490234.000
20160229,88.270,88.730,87.390,87.560,565244.000
20160301,88.320,89.340,87.530,88.870,584390.000
20160302,89.000,89.240,88.150,88.730,428648.000
20160303,88.700,89.250,88.290,89.200,424358.000
20160304,89.000,90.390,88.670,89.640,538353.000
20160307,88.520,89.640,88.390,89.070,509169.000
20160308,88.260,88.770,87.860,87.930,442195.000
20160309,88.600,88.890,88.180,88.380,407197.000
20160310,88.680,89.068,87.320,87.800,491428.000
20160311,88.750,89.950,88.210,89.760,385079.000
20160314,89.370,89.980,88.920,89.540,345103.000
20160315,89.140,89.420,88.520,89.130,431195.000
20160316,88.970,90.610,88.635,90.410,403725.000
20160317,90.310,91.400,89.500,91.310,473837.000
20160318,91.660,92.590,91.270,91.660,693080.000
20160321,91.400,92.960,91.100,92.670,640790.000
20160322,91.890,92.850,91.500,92.420,333056.000
20160323,92.480,92.730,91.610,91.680,373441.000
20160324,90.870,91.310,90.130,91.230,311224.000
