Date,Open,High,Low,Close,Volume
20160104,46.916,47.423,46.092,47.363,505989.819
20160105,47.532,47.840,46.787,47.184,427241.116
20160106,46.360,47.313,46.132,46.519,355739.107
20160107,45.615,46.271,45.426,45.625,566976.759
20160108,45.864,45.933,45.089,45.148,420724.448
20160111,45.893,46.082,45.297,45.814,571444.376
20160112,46.320,46.737,45.178,46.002,346772.680
20160113,46.112,46.549,45.536,45.595,550923.637
20160114,45.864,45.913,44.721,45.158,635717.986
20160115,43.927,44.483,43.589,44.354,527173.032
20160119,44.761,45.198,44.404,44.860,813967.548
20160120,44.205,44.275,41.384,42.844,556181.789
20160121,43.301,44.264,42.666,43.291,592349.687
20160122,43.927,45.208,43.738,44.503,444213.498
20160125,44.086,44.662,43.192,43.281,485673.680
20160126,42.388,47.035,42.388,46.211,1117499.770
20160127,45.913,46.996,45.148,45.645,738916.293
20160128,46.181,46.569,45.377,45.754,402053.528
20160129,45.903,47.492,45.864,47.492,512487.404
20160201,47.264,47.373,46.441,47.045,340785.549
20160202,46.459,46.469,45.496,45.893,422282.159
20160203,46.529,47.055,45.317,46.926,255700.481
20160204,46.896,49.389,46.896,48.595,431177.075
20160205,48.346,49.032,47.770,47.929,226130.797
20160208,47.194,48.068,46.926,48.068,323938.095
20160209,47.403,48.227,47.145,47.264,359198.821
20160210,47.453,47.760,46.469,46.589,347506.614
20160211,45.705,46.549,45.198,45.824,255829.315
20160212,46.519,47.749,45.814,47.304,423599.258
20160216,47.919,48.138,46.837,47.860,452926.189
20160217,48.356,49.409,48.138,48.982,304399.249
20160218,48.992,49.220,48.128,48.505,254175.978
20160219,48.207,48.207,47.492,48.148,184571.982
20160222,48.724,49.320,48.227,48.893,215764.715
20160223,48.624,49.141,47.880,47.959,458243.658
20160224,47.393,47.989,46.847,47.820,383840.613
20160225,48.060,48.060,47.291,48.020,229403.000
20160226,48.450,50.130,48.210,49.760,522174.000
20160229,49.940,50.060,49.030,49.060,238008.000
20160301,49.900,51.020,49.137,50.940,480332.000
20160302,50.820,51.390,50.400,51.150,323396.000
20160303,51.130,51.910,51.000,51.820,200556.000
20160304,52.540,52.870,51.670,52.550,236393.000
20160307,52.410,54.390,52.410,54.170,364370.000
20160308,53.370,53.540,51.570,51.780,369479.000
20160309,51.420,51.760,51.130,51.340,360488.000
20160310,51.610,51.820,50.880,51.500,256231.000
20160311,51.930,53.060,51.830,52.740,342532.000
20160314,52.400,52.880,52.280,52.410,128598.000
20160315,51.790,51.990,51.380,51.810,168293.000
20160316,51.680,53.160,51.680,53.090,167038.000
20160317,53.440,54.830,53.110,54.330,261086.000
20160318,54.380,55.390,54.380,54.890,441733.000
20160321,54.700,55.049,54.260,54.895,215118.000
20160322,54.530,55.030,54.290,54.450,166604.000
20160323,54.250,54.380,52.990,53.020,258184.000
20160324,52.550,53.420,52.190,53.380,182617.000
