Date,Open,High,Low,Close,Volume
20160104,29.570,29.748,28.840,29.200,1633956.000
20160105,29.000,29.480,28.005,28.540,2260111.000
20160106,28.060,28.380,27.870,28.080,1442888.000
20160107,27.660,28.110,27.340,27.480,2472197.000
20160108,27.710,28.060,27.190,27.690,1822421.000
20160111,27.820,28.210,27.360,28.100,1544567.000
20160112,28.090,29.110,27.810,29.040,1580219.000
20160113,29.080,29.310,28.440,28.760,1506541.000
20160114,28.980,29.300,28.620,29.150,1444874.000
20160115,28.540,28.660,27.920,28.430,2081417.000
20160119,28.560,29.150,28.480,28.820,2755142.000
20160120,28.480,28.670,27.110,27.930,2212950.000
20160121,28.070,28.270,26.650,26.790,1446584.000
20160122,27.100,27.950,26.490,27.850,1497603.000
20160125,27.650,27.740,26.420,26.500,1546146.000
20160126,26.540,27.320,26.060,26.840,1403118.000
20160127,26.810,26.950,24.740,26.110,2691512.000
20160128,26.080,26.480,25.600,25.900,997023.000
20160129,26.080,26.920,25.710,26.780,1473486.000
20160201,26.740,27.060,26.380,26.810,1140964.000
20160202,26.460,26.620,26.040,26.460,960947.000
20160203,26.580,26.630,25.490,26.180,846981.000
20160204,26.190,26.650,25.740,25.850,1342351.000
20160205,25.710,25.880,24.500,24.650,1514077.000
20160208,24.240,24.280,20.980,22.905,2729272.000
20160209,22.200,23.210,21.040,22.330,2973221.000
20160210,22.290,23.850,22.040,22.320,2519051.000
20160211,25.250,25.380,23.710,24.750,3386131.000
20160212,24.950,26.030,24.060,25.760,2458990.000
20160216,25.900,26.540,25.120,25.300,1466819.000
20160217,25.600,26.350,24.870,25.360,1271713.000
20160218,25.520,25.940,24.950,25.850,813797.000
20160219,25.880,26.360,25.680,26.130,939255.000
20160222,26.590,27.450,26.160,26.690,843469.000
20160223,26.560,26.930,25.470,26.220,1288337.000
20160224,26.530,26.660,24.890,25.760,1527378.000
20160225,26.100,26.560,25.360,26.550,930543.000
20160226,26.590,27.500,26.310,26.600,902313.000
20160229,26.440,27.160,25.920,25.920,726391.000
20160301,26.370,26.500,25.490,25.800,843619.000
20160302,25.710,26.330,25.580,25.800,832132.000
20160303,25.770,26.260,25.560,26.120,822831.000
20160304,26.300,26.370,25.430,25.810,778388.000
20160307,25.760,26.400,25.650,26.200,842742.000
20160308,25.960,26.120,25.490,25.510,954908.000
20160309,26.000,26.000,24.930,25.320,859787.000
20160310,25.570,25.570,24.580,24.670,711420.000
20160311,24.940,25.230,24.720,25.000,840661.000
20160314,24.860,25.360,24.760,25.150,708970.000
20160315,24.970,25.300,24.630,25.080,866556.000
20160316,24.990,25.100,24.630,24.660,773260.000
20160317,24.720,25.270,24.650,24.780,1198944.000
20160318,24.940,25.210,24.450,24.490,1261230.000
20160321,24.620,24.980,24.300,24.590,1621041.000
20160322,24.450,24.740,24.190,24.200,1033250.000
20160323,23.660,24.260,23.660,24.180,936270.000
20160324,24.030,24.735,23.890,24.370,957330.000
