Date,Open,High,Low,Close,Volume
20160104,58.800,58.810,57.470,58.140,4592171.000
20160105,58.450,58.675,57.970,58.120,3492499.000
20160106,57.000,57.885,56.600,57.130,4385973.000
20160107,56.030,57.950,55.530,56.640,5088320.000
20160108,56.910,56.910,55.700,55.760,4515498.000
20160111,56.080,56.520,55.580,56.110,4005506.000
20160112,57.500,59.920,57.450,59.650,8066837.000
20160113,59.740,59.950,57.380,57.780,6100852.000
20160114,58.170,61.085,58.000,60.205,7574285.000
20160115,58.290,59.330,57.800,58.710,5418708.000
20160119,59.570,60.240,58.310,59.955,7600755.000
20160120,58.440,59.940,58.030,59.260,6078075.000
20160121,59.480,60.160,58.630,59.060,4207920.000
20160122,59.640,60.640,59.340,60.500,4877099.000
20160125,60.230,61.805,60.160,60.920,6753686.000
20160126,61.040,62.110,60.660,61.940,4788355.000
20160127,61.740,62.590,60.620,61.030,4535256.000
20160128,61.790,62.260,61.140,61.340,3933820.000
20160129,61.830,63.430,61.810,63.310,3942309.000
20160201,62.480,62.910,62.070,62.330,3697294.000
20160202,61.040,61.210,59.780,60.110,5250137.000
20160203,60.630,61.020,59.510,60.760,3431953.000
20160204,60.070,60.270,58.970,59.620,5312146.000
20160205,59.190,59.720,57.950,58.540,7206362.000
20160208,55.000,55.440,53.040,54.050,11641866.000
20160209,53.300,54.030,51.220,52.330,7928146.000
20160210,53.600,54.290,52.940,53.320,5793954.000
20160211,52.220,52.860,51.320,52.110,5351376.000
20160212,53.390,53.870,52.510,53.860,3951738.000
20160216,54.580,55.210,54.020,55.010,4521626.000
20160217,55.460,56.875,55.365,56.610,5640078.000
20160218,57.020,57.270,55.870,56.020,4298392.000
20160219,55.400,56.030,55.070,55.900,4712330.000
20160222,56.740,57.410,56.340,56.630,3160407.000
20160223,56.520,56.750,55.700,55.760,3013849.000
20160224,55.180,56.330,54.530,56.190,2818192.000
20160225,56.560,57.250,55.560,57.240,2781160.000
20160226,57.520,57.800,56.870,57.030,3212517.000
20160229,57.130,57.500,56.660,56.990,3799233.000
20160301,57.830,58.425,57.470,58.210,5149247.000
20160302,58.210,58.250,57.240,57.680,3931313.000
20160303,57.680,58.000,56.730,57.810,3561132.000
20160304,58.310,58.400,57.424,57.740,3373890.000
20160307,57.250,57.290,56.460,56.990,3770465.000
20160308,56.410,56.595,55.780,55.930,3254501.000
20160309,56.200,56.240,55.660,56.040,2991007.000
20160310,56.390,56.980,54.650,55.420,4831477.000
20160311,56.190,57.080,55.620,56.970,4433672.000
20160314,56.550,58.220,56.450,58.130,5152797.000
20160315,57.700,58.230,57.550,58.030,3244357.000
20160316,57.700,58.975,57.300,58.910,3660457.000
20160317,58.570,58.990,58.235,58.740,3189688.000
20160318,58.210,59.320,57.930,59.250,4893016.000
20160321,59.330,59.720,58.730,59.530,2981967.000
20160322,59.280,59.640,58.800,58.845,4370733.000
20160323,58.660,59.270,58.230,59.070,4659839.000
20160324,58.820,60.640,58.780,60.310,4615365.000
