Date,Open,High,Low,Close,Volume
20160104,24.427,24.447,23.590,23.869,647353.046
20160105,23.899,24.058,23.719,23.859,595878.112
20160106,24.018,25.504,23.859,24.637,1222699.340
20160107,24.108,24.397,23.839,23.849,731533.446
20160108,23.949,24.078,23.330,23.360,660713.909
20160111,23.510,23.779,23.231,23.430,732055.019
20160112,23.640,23.769,23.121,23.530,418127.510
20160113,23.659,23.739,22.483,22.752,605866.760
20160114,22.912,23.659,22.732,23.450,510437.076
20160115,22.822,23.360,22.712,23.311,577113.306
20160119,23.530,23.540,22.712,22.991,447552.105
20160120,22.613,23.380,22.463,23.131,610116.434
20160121,23.221,23.679,22.902,23.241,447889.907
20160122,23.630,23.719,23.330,23.709,415644.106
20160125,23.590,23.689,22.872,22.922,679716.515
20160126,22.971,23.729,22.892,23.619,570313.076
20160127,23.510,23.769,23.041,23.141,422858.490
20160128,23.440,23.500,22.951,23.251,395198.343
20160129,23.380,24.402,23.320,24.357,635389.774
20160201,24.128,24.308,23.899,24.058,578638.755
20160202,23.749,24.230,23.659,24.158,416347.202
20160203,24.308,24.756,23.640,24.612,687515.652
20160204,24.537,24.756,24.198,24.537,434054.941
20160205,24.427,24.567,23.839,23.929,452396.361
20160208,23.600,24.158,23.360,24.088,507783.968
20160209,23.699,24.308,23.659,23.909,414324.212
20160210,24.118,24.517,23.819,23.829,464197.549
20160211,23.370,23.919,23.311,23.769,384040.066
20160212,24.038,24.437,24.038,24.387,1216573.831
20160216,24.776,24.896,24.577,24.816,393616.658
20160217,24.956,25.145,24.826,24.946,311630.800
20160218,24.956,25.105,24.696,24.756,368559.118
20160219,24.736,24.766,24.507,24.617,429787.295
20160222,24.856,24.976,24.706,24.746,481248.261
20160223,24.627,24.726,24.337,24.337,737487.122
20160224,24.457,26.401,24.058,25.973,1901690.428
20160225,25.424,25.973,25.115,25.963,943357.517
20160226,25.983,26.042,25.494,25.654,382909.731
20160229,25.663,26.112,25.604,25.693,381567.723
20160301,25.783,26.311,25.663,26.272,379230.705
20160302,26.252,26.521,26.022,26.521,415364.260
20160303,26.541,26.561,26.187,26.441,441956.371
20160304,26.531,26.710,26.351,26.591,420616.820
20160307,26.421,26.561,26.212,26.401,378859.724
20160308,26.202,26.401,26.032,26.052,343841.511
20160309,26.162,26.431,26.122,26.292,234626.838
20160310,26.351,26.571,25.903,26.062,277343.850
20160311,26.252,26.451,26.092,26.391,279998.694
20160314,26.272,26.401,25.823,26.072,286791.825
20160315,25.873,26.232,25.723,25.948,252044.585
20160316,25.913,26.311,25.743,26.142,328350.468
20160317,26.072,26.730,26.052,26.631,252337.436
20160318,26.710,26.947,26.521,26.740,541392.303
20160321,26.660,26.888,26.532,26.820,224108.521
20160322,26.640,26.960,26.600,26.710,317489.000
20160323,26.590,26.840,26.550,26.590,313909.000
20160324,26.370,26.750,26.320,26.600,255758.000
