Date,Open,High,Low,Close,Volume
20160104,66.300,66.834,65.667,66.834,3474321.740
20160105,66.617,67.438,65.587,67.379,2344443.658
20160106,66.894,68.181,66.656,67.794,2537848.161
20160107,67.082,68.032,66.913,67.824,3796158.500
20160108,67.795,69.200,67.696,68.804,5075779.940
20160111,68.894,69.240,68.616,68.725,3814900.516
20160112,68.943,69.181,67.824,68.210,4038938.857
20160113,68.349,68.794,68.171,68.329,3310552.799
20160114,68.280,69.279,68.141,68.963,2833518.925
20160115,68.309,68.745,67.498,68.171,3441333.224
20160119,68.537,69.359,68.002,69.191,2833922.113
20160120,68.755,69.052,67.260,68.052,3640758.270
20160121,68.359,68.408,67.290,67.834,2032309.365
20160122,68.438,69.131,67.824,69.052,1927097.442
20160125,69.091,69.438,68.577,68.884,2071243.043
20160126,68.884,69.854,68.666,69.022,1944268.320
20160127,68.913,69.418,68.478,69.022,2177347.212
20160128,69.002,70.804,68.733,70.240,3647318.496
20160129,70.765,71.477,70.319,71.428,2824574.301
20160201,69.567,70.705,69.240,69.418,9290060.780
20160202,68.517,69.408,67.923,69.200,5793254.080
20160203,69.349,69.715,68.584,69.220,5346331.080
20160204,69.091,70.443,68.913,69.725,3879601.826
20160205,69.636,70.715,68.993,70.349,3512575.953
20160208,69.428,70.180,68.389,68.794,5453051.250
20160209,68.794,70.161,68.448,69.745,3654963.220
20160210,69.478,70.032,68.359,69.582,3073427.200
20160211,69.250,69.844,68.409,68.498,2702219.186
20160212,68.646,68.943,67.765,68.240,2649704.725
20160216,68.794,68.864,67.864,68.458,2034016.710
20160217,68.765,69.131,68.111,69.042,2377275.711
20160218,68.616,69.507,68.478,69.042,6040753.890
20160219,68.854,69.072,68.309,68.755,3482007.607
20160222,69.082,70.072,68.923,70.052,2398760.961
20160223,69.686,70.478,69.567,70.180,2333109.838
20160224,70.210,70.586,69.626,70.497,3287494.981
20160225,70.626,71.151,70.448,71.111,1836711.241
20160226,70.883,71.032,69.200,69.319,2601040.541
20160229,69.309,70.022,69.151,69.220,2825077.786
20160301,69.626,69.715,68.864,69.240,2402608.774
20160302,69.060,69.250,67.540,68.770,4097769.000
20160303,68.890,70.030,68.290,69.990,3187811.000
20160304,69.540,70.780,69.310,70.610,2591888.000
20160307,70.250,71.375,70.130,71.230,2196355.000
20160308,71.090,71.780,70.710,71.710,2540479.000
20160309,71.700,72.330,71.600,72.100,2156489.000
20160310,72.120,72.260,71.060,71.590,1994623.000
20160311,71.800,72.340,71.605,72.210,1669866.000
20160314,72.340,72.470,71.900,72.320,1669565.000
20160315,72.160,73.070,72.120,72.980,1905900.000
20160316,72.750,73.800,72.080,73.570,2750004.000
20160317,73.760,74.900,73.340,74.550,2729892.000
20160318,74.610,74.890,73.450,73.470,3432376.000
20160321,73.650,73.810,72.590,73.635,2055918.000
20160322,73.710,73.740,72.920,72.950,2525395.000
20160323,73.180,73.750,72.630,73.510,1629099.000
20160324,73.510,73.620,73.020,73.420,1391710.000
